system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.26,0.071935,0.44,0.14,5.55,0.1009675,134.4,3.17,196,0.27792,0.35,9,0.09762,8.17,0.218005,0.1545975,-1.1896170313899697,0.42,228.8521,203,226,2024-01-31,BAGHPAT,230,2024-06-30T00:00:00,7.57,2.2251217,415,402,382,372,1.4092658,2023-07-01T00:00:00,30.160578947368425,Vazidpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.30762096263564,29.093422696429503]}"
1_0,0.59,0.09381795,0.54,0.19,5.37,0.118415385,162.4,5.12,184.8,0.22305384,0.33,9,0.13627179,15.32,0.2464282,0.20545128,-2.046666345282377,0.73,253.77159,217,232,2024-03-12,BAGHPAT,232,2024-06-30T00:00:00,8.05,2.3695302,437,427,346,341,3.315078,2023-07-01T00:00:00,30.13702564102564,Luhara,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.21976572784875,29.168072696539834]}"
2_0,0.32,0.062565,0.69,0.65,4.23,0.090905,210.56,5.27,184.8,0.3035025,0.33,9,0.08079,11.92,0.1963775,0.125725,0.8839260091203118,0.62,270.0,190,212,2024-02-06,BAGHPAT,236,2024-06-30T00:00:00,7.25,2.5364995,441,424,369,364,3.1840065,2023-07-01T00:00:00,30.160486486486484,Mozizabad Nagal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.35559099880763,29.192057714625825]}"
3_0,1.37,0.09611,0.51,0.15,6.19,0.12833875,212.8,2.8,235.2,0.26983625,0.42,27,0.13609,7.99,0.26018,0.213085,2.4890062122056893,0.83,-0.0,215,228,2024-03-19,BAGHPAT,212,2024-06-30T00:00:00,7.99,2.2012172,439,427,346,345,0.92740995,2023-07-01T00:00:00,30.21405555555556,Makarandpur Ogti,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.38334894108692,28.885642371212658]}"
4_0,0.65,0.0982125,0.63,0.75,3.44,0.12999,168,2.7,201.6,0.3017525,0.36,22.5,0.13696,7.54,0.25367,0.20058501,3.2019184699062513,0.98,180.0,268,258,2024-03-14,BAGHPAT,214,2024-06-30T00:00:00,7.8,2.1598146,402,403,330,339,0.92740995,2023-07-01T00:00:00,30.252,Phulera,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.38119298440503,28.810453381931854]}"
5_0,0.55,0.0731725,0.66,0.4,4.48,0.1029725,95.2,4.36,201.6,0.299085,0.36,4.5,0.0952575,15.06,0.22515,0.1489575,-1.6835333558657863,0.56,113.63474,230,239,2024-02-13,BAGHPAT,221,2024-06-30T00:00:00,7.7,2.0809414,418,407,352,354,2.3122394,2023-07-01T00:00:00,30.239027027027028,Ahera,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.27528161240734,28.92849201026516]}"
6_0,1.01,0.0738825,0.98,0.4,4.37,0.102395,168,5.21,156.8,0.27171,0.28,27,0.1046175,13.49,0.223595,0.16844,-2.001528315915691,1.13,90.0,201,218,2024-03-01,BAGHPAT,222,2024-06-30T00:00:00,7.23,2.263509,445,429,355,354,3.176114,2023-07-01T00:00:00,30.172054054054055,Ghatoli,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.41811374258235,28.935498869481293]}"
7_0,0.78,0.06908718,0.8,0.56,6.02,0.09512564,241.92,4.79,246.4,0.2842359,0.44,13.5,0.09113077,9.03,0.20437948,0.13538206,-0.9901129144360674,0.96,66.362045,208,228,2024-03-19,BAGHPAT,224,2024-06-30T00:00:00,7.95,2.1989622,423,405,369,367,2.3119433,2023-07-01T00:00:00,30.17878947368421,Makarandpur Ogti,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.38469641401309,28.91286132432148]}"
8_0,0.62,0.07981125,0.93,0.27,3.44,0.11079625,113.5,4.47,151.2,0.31808874,0.27,27,0.10821,9.69,0.2444725,0.160505,2.408804708919342,0.79,180.0,220,230,2024-03-11,BAGHPAT,221,2024-06-30T00:00:00,8,2.0647886,450,435,330,335,0.92740995,2023-07-01T00:00:00,30.278756756756763,Katha,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.24806265929851,28.899117100474452]}"
9_0,0.78,0.06618974,0.8,0.44,6.02,0.09474359,241.92,4.79,184.8,0.29017693,0.33,13.5,0.0868359,9.03,0.20732564,0.13362052,-1.711089798812355,0.96,167.1301,208,228,2024-03-19,BAGHPAT,224,2024-06-30T00:00:00,8,2.1989622,423,405,369,367,4.7460723,2023-07-01T00:00:00,30.17878947368421,Makarandpur Ogti,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.38469641401309,28.912591829736243]}"
