system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.45,0.11268096,0.32,0.29,9.7,0.14016429,175,2.8,47.25,0.30397382,0.21,16.2,0.14980476,12.15,0.29032144,0.22283572,2.024539994718468,0.88,-0.0,247,256,2024-03-02,BAHRAICH,139,2024-06-30T00:00:00,7.6,2.680242,389,384,364,360,0.0,2023-07-01T00:00:00,30.30817647058823,Nanpara Dehati,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.48802096881424,27.87530717116343]}"
1_0,0.38,0.12754872,0.23,0.38,9.9,0.14440769,207,3.9,99,0.21454102,0.44,15.75,0.15321538,13.13,0.24168974,0.20963077,3.9226441264122602,0.65,113.96407,283,284,2024-02-18,BAHRAICH,111,2024-06-30T00:00:00,7.4,2.3943927,379,375,338,341,4.5574436,2023-07-01T00:00:00,30.241437500000004,Maholi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.54757927215137,27.257895076388085]}"
2_0,0.29,0.1266975,0.34,0.72,10.3,0.1535025,182,3.8,78.75,0.2977575,0.35,14.4,0.15809,12.34,0.2929225,0.2187925,2.0926359463197515,0.96,311.59122,225,247,2024-02-24,BAHRAICH,112,2024-06-30T00:00:00,7.4,2.4463623,386,365,389,388,1.3969432,2023-07-01T00:00:00,30.28690909090909,Muse Patti,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.52575021074726,27.430910600109506]}"
3_0,0.48,0.1311675,0.28,0.49,10.3,0.1582175,161,2.4,121.5,0.30169,0.54,19.35,0.1611025,13.71,0.2793775,0.220415,-2.018815930412902,0.98,106.45448,235,253,2024-02-28,BAHRAICH,118,2024-06-30T00:00:00,7.3,2.5746448,376,359,389,388,3.2708623,2023-07-01T00:00:00,30.21363636363636,Baundi Fateullapur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.55027421800374,27.619287315189368]}"
4_0,0.46,0.12754872,0.24,0.42,11.8,0.14440769,152,2.9,74.25,0.21454102,0.33,18.9,0.15321538,14.3,0.24168974,0.20963077,3.9226441264122602,0.68,113.96407,283,284,2024-02-24,BAHRAICH,111,2024-06-30T00:00:00,7.5,2.3943927,379,375,338,341,4.5574436,2023-07-01T00:00:00,30.241437500000004,Hisampur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.54757927215137,27.257895076388085]}"
5_0,0.43,0.10781795,0.39,0.56,11.4,0.1290282,183,2.9,96.75,0.24693076,0.43,17.55,0.13242564,8.82,0.23194616,0.18639743,-2.261683054774784,0.71,131.63559,283,284,2024-02-25,BAHRAICH,113,2024-06-30T00:00:00,7.3,2.3943927,379,375,338,341,4.1805735,2023-07-01T00:00:00,30.241437500000004,Hisampur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.54757927215137,27.25816457097332]}"
6_0,0.44,0.09411429,0.2,0.4,10.4,0.12678096,161,2.5,65.25,0.3166262,0.29,16.2,0.13841191,11.95,0.29593572,0.2261262,-1.5743227681980028,0.65,270.0,264,250,2024-03-01,BAHRAICH,134,2024-06-30T00:00:00,7.5,2.696802,401,411,335,339,2.0955577,2023-07-01T00:00:00,30.249500000000005,Baijnathpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.63785995820538,27.772899228773806]}"
7_0,0.57,0.107405,0.19,0.42,13.2,0.141025,159,2.4,78.75,0.305505,0.35,15.75,0.1544725,10.19,0.298725,0.2371725,2.886958079079926,0.75,66.049065,244,259,2024-02-19,BAHRAICH,111,2024-06-30T00:00:00,7.2,2.536555,396,385,360,355,2.2835085,2023-07-01T00:00:00,30.316787878787878,Nakauda,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.56590490394741,27.32634670103799]}"
8_0,0.37,0.149085,0.33,0.66,11.2,0.1708575,182,3.9,65.25,0.226935,0.29,18,0.192295,10.19,0.274685,0.2454825,-1.1715258508730888,0.78,48.52021,238,229,2024-02-29,BAHRAICH,139,2024-06-30T00:00:00,7.2,2.680242,387,393,375,378,1.4000124,2023-07-01T00:00:00,30.356312500000005,Bhatehta,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.49907024680891,27.85940699063452]}"
9_0,0.47,0.08010476,0.35,0.65,9.7,0.1,138,4,67.5,0.28671667,0.3,17.1,0.09042619,11.56,0.21871667,0.14543809,-2.3543110907151954,0.68,113.89418,222,232,2024-02-22,BAHRAICH,128,2024-06-30T00:00:00,7.2,2.7332602,393,384,385,384,4.5699353,2023-07-01T00:00:00,30.377096774193536,Makolia,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.6537601387343,27.620904282700785]}"
