system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.24,0.11317778,0.22,0.58,1.58,0.14968611,201.6,1.27,72,0.2969139,0.58,13.5,0.16589166,12.38,0.3057861,0.25461668,10.874633720433952,0.51,114.040886,271,294,2024-02-24,BARABANKI,111,2024-06-30T00:00:00,7.24,2.3954773,338,327,391,379,2.2754776,2023-07-01T00:00:00,30.26135294117647,Umarpur Raisaheb,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.47373775579675,26.853114209363827]}"
1_0,0.43,0.0881,0.23,0.41,1.81,0.12332683,266.4,1.79,9,0.31429026,0.4,36,0.11873171,9.88,0.2637512,0.19472195,-1.4262107776143602,0.56,120.67659,281,314,2024-03-13,BARABANKI,124,2024-06-30T00:00:00,7.3,2.629687,371,354,347,332,3.6309853,2023-07-01T00:00:00,30.182470588235294,Isepur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.24143342332344,27.151175220634684]}"
2_0,0.53,0.123756096,0.25,0.34,3.53,0.14515853,157.9,1.79,37.7,0.29995853,0.15,18,0.14786097,8.96,0.25501952,0.1874561,-2.280015187882676,0.51,282.54395,287,313,2024-03-17,BARABANKI,124,2024-06-30T00:00:00,7.7,2.5859442,351,335,362,353,4.262561,2023-07-01T00:00:00,30.183636363636364,Israli,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.19292439798099,27.12692070796346]}"
3_0,0.32,0.06493948,0.62,0.72,2.15,0.090463154,134.4,1.15,13.5,0.22319473,0.45,18,0.09226579,8.95,0.19792895,0.13796052,-2.1746375279539647,0.72,164.3474,251,285,2024-03-22,BARABANKI,115,2024-06-30T00:00:00,7.29,2.2971625,347,326,402,390,3.847054,2023-07-01T00:00:00,30.245437500000005,Aliabad,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.63139208815973,26.84449038263628]}"
4_0,0.3,0.09626582,0.49,0.3,1.96,0.12809874,100,2.12,6.7,0.3232215,0.03,9,0.121324055,11.08,0.25992152,0.18573418,-0.46822099164952524,0.42,131.66698,271,284,2024-03-17,BARABANKI,126,2024-06-30T00:00:00,8.3,2.4129088,359,354,369,362,1.3948672,2023-07-01T00:00:00,30.238181818181815,Odaria,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.0428159140046,27.135005545520535]}"
5_0,0.44,0.06575263,0.13,0.58,2.57,0.09652105,170.24,1.87,54,0.29821315,0.24,31.5,0.09187895,10.95,0.23717631,0.16522895,-2.07088934428399,0.34,323.2349,278,300,2024-03-19,BARABANKI,121,2024-06-30T00:00:00,7.1,2.3599582,343,329,378,371,3.4690874,2023-07-01T00:00:00,30.233314285714282,Karaundi Khurd,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.24736230419863,26.838292007175856]}"
6_0,0.41,0.059479486,0.51,0.62,3.58,0.08445128,156.8,1.06,81,0.28136155,0.6,13.5,0.070738465,8.95,0.20514102,0.12982564,-1.5815599556691624,0.7,209.29199,252,276,2024-02-22,BARABANKI,119,2024-06-30T00:00:00,7.33,2.5553727,330,324,417,401,2.1259608,2023-07-01T00:00:00,30.206823529411768,Itahua Purab,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.5756067090159,26.965223956821944]}"
7_0,0.51,0.092790246,0.13,0.4,1.45,0.122946344,88.4,1.7,40.5,0.29454634,0.18,5.4,0.11702683,9.37,0.24615122,0.1809439,-0.12649475423521533,0.54,339.45096,277,307,2024-03-13,BARABANKI,125,2024-06-30T00:00:00,8,2.65842,342,322,381,371,2.9688864,2023-07-01T00:00:00,30.174060606060618,Achaicha,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.18214461457156,27.224747242404074]}"
8_0,0.45,0.0853925,0.65,0.67,2.52,0.11942,231,1.53,135,0.32450625,0.6,22.5,0.11322375,9.46,0.26768875,0.19518624,-0.3473822238071247,0.31,-0.0,256,289,2024-03-04,BARABANKI,112,2024-06-30T00:00:00,7.7,2.4745064,355,339,389,373,1.8543341,2023-07-01T00:00:00,30.21970588235294,Amoli Kiratpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.37806717803802,27.10724760324124]}"
9_0,0.45,0.12634616,0.53,0.57,2.54,0.14957948,176,1.56,96,0.29808462,0.423,31.5,0.1558,8.51,0.27883077,0.2207282,-1.6544821631288373,0.3,246.02782,254,278,2024-03-04,BARABANKI,116,2024-06-30T00:00:00,7.4,2.5857725,361,343,386,379,2.2816052,2023-07-01T00:00:00,30.22957575757576,Indaura,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.33117512020698,27.21531493192082]}"
