system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.36,0.07504091,0.67,0.41,7.85,0.10170682,168,5.39,83.25,0.27484772,0.37,13.5,0.10027273,16.16,0.23479319,0.17273182,-1.6786531849483424,0.85,66.30887,233,241,2024-02-26,BAREILLY,185,2024-06-30T00:00:00,7.1,3.1213703,342,338,425,420,2.3070571,2023-07-01T00:00:00,30.146000000000004,Ganu Nagala,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.43824515351032,28.649565114546046]}"
1_0,0.59,0.07728222,0.57,0.8,5.93,0.09846889,134,2.6,67.5,0.25472888,0.3,18,0.10116,10.41,0.22324888,0.15785111,-1.1809024825417749,0.53,228.69238,251,261,2024-02-16,BAREILLY,173,2024-06-30T00:00:00,7.5,2.8193197,370,362,379,377,1.4047916,2023-07-01T00:00:00,30.160114285714286,Gohana,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.31373865513136,28.507271973541517]}"
2_0,0.36,0.112444445,0.18,0.73,4.94,0.13854444,156,3.88,67.5,0.2717311,0.3,18,0.15314445,12.97,0.26202223,0.20402223,3.1166972257350967,0.49,-0.0,248,261,2024-02-12,BAREILLY,173,2024-06-30T00:00:00,7.4,2.945491,360,350,392,389,0.0,2023-07-01T00:00:00,30.230685714285716,Narkhera,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.25579731930564,28.57599309277666]}"
3_0,0.6,0.11229348,0.99,0.119,4.29,0.1432,134,3.44,49.5,0.33938697,0.22,18,0.13970652,11.5,0.28458697,0.2101087,2.960922763608145,0.98,113.74764,234,241,2024-02-29,BAREILLY,176,2024-06-30T00:00:00,7.4,2.8521624,405,399,361,361,2.30189,2023-07-01T00:00:00,30.27741176470588,Ram Nagar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.11296518913065,28.366865294633634]}"
4_0,0.63,0.07592445,0.27,0.9,8.75,0.09532889,100,2.72,83.25,0.25998223,0.37,4.5,0.08981333,11.06,0.21543555,0.14013556,0.5975640921694312,0.64,29.654318,250,248,2024-02-15,BAREILLY,176,2024-06-30T00:00:00,7.3,3.023195,344,344,406,407,2.1335654,2023-07-01T00:00:00,30.142333333333326,Turasapatti,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.36682908842282,28.571681179412884]}"
5_0,0.67,0.102347724,0.14,0.77,3.27,0.1376909,134,2.27,101.25,0.31537274,0.45,22.5,0.14841136,10.21,0.28391817,0.222125,2.8073825610891063,0.48,48.704815,261,264,2024-02-15,BAREILLY,173,2024-06-30T00:00:00,7.1,3.0423582,373,369,366,367,1.4051384,2023-07-01T00:00:00,30.21045714285714,Gugai,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.18653721090003,28.553355547616846]}"
6_0,0.62,0.14350666,0.33,0.68,6.41,0.16209778,123,2.58,83.25,0.22757334,0.37,27,0.17969334,13.39,0.27518445,0.23903555,-1.5994374271662093,0.56,150.3503,213,230,2024-02-13,BAREILLY,176,2024-06-30T00:00:00,7.3,3.0728006,343,333,443,437,2.1334677,2023-07-01T00:00:00,30.16781818181818,Jauner,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.24771248174858,28.55200807469067]}"
7_0,0.97,0.121806525,0.9,0.76,5.94,0.15461087,112,2.68,83.25,0.30855218,0.37,13.5,0.16752174,13.33,0.2969522,0.23628043,-0.642129700960348,0.6,286.37607,213,224,2024-02-10,BAREILLY,163,2024-06-30T00:00:00,7.2,2.7964404,372,362,415,414,3.2860558,2023-07-01T00:00:00,30.331657142857143,Bhagwanpur Phulwa,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.58350273495245,28.16555283946245]}"
8_0,0.57,0.1012234,0.29,0.63,4,0.1289298,179,2.68,83.25,0.2873319,0.37,4.5,0.14065957,14.48,0.27312768,0.19984256,0.9013687700876005,0.71,311.35977,220,235,2024-02-10,BAREILLY,171,2024-06-30T00:00:00,7.3,2.7847893,385,374,395,391,1.403339,2023-07-01T00:00:00,30.3784,Urla Jagir,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.49618648933603,28.312696883001227]}"
9_0,0.47,0.11326304,0.3,0.81,4.99,0.14258479,190,4.57,49.5,0.30037826,0.22,4.5,0.15054783,14.08,0.28015652,0.2115913,-1.5963507005439013,1.12,150.41211,230,240,2024-02-22,BAREILLY,173,2024-06-30T00:00:00,7.3,2.744856,418,408,352,351,2.132161,2023-07-01T00:00:00,30.337085714285706,Dharoopur Thakuran,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.46708107413056,28.286016919062877]}"
