system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.53,0.1175603,0.49,0.4,7.8,0.13583088,225,4.39,213,0.26693088,0.45,18,0.1372147,9.32,0.25168675,0.19326912,-2.360558309489699,0.51,-0.0,237,246,2024-02-28,BASTI,95,2024-06-30T00:00:00,6.4,2.8818035,340,331,422,424,4.6273675,2023-07-01T00:00:00,30.26206060606061,Dohawa,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.58890634950272,26.90889958850765]}"
1_0,0.46,0.08262621,0.49,0.6,7.4,0.10862414,108,5.46,203,0.27675447,0.51,18,0.11165035,9.36,0.22254483,0.1561738,-0.7528763807952572,0.53,180.0,304,297,2024-03-11,BASTI,91,2024-06-30T00:00:00,7.1,3.1027443,310,309,386,394,0.92740995,2023-07-01T00:00:00,30.30843750000001,Kataria Nankar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.6961651944266,27.109673054508363]}"
2_0,0.51,0.086062856,0.42,0.5,9.17,0.116267145,189,4.41,238,0.31885427,0.3,31.5,0.11285286,9.5,0.25,0.17203428,2.0352457355776408,0.48,-0.0,196,211,2024-02-27,BASTI,86,2024-06-30T00:00:00,7.6,2.700947,349,338,455,451,0.0,2023-07-01T00:00:00,30.32327272727273,Ranipur Lad,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.59052331701413,26.665545978039674]}"
3_0,0.44,0.08166579,0.498,0.5,8.79,0.11112368,171,5.24,216,0.29221052,0.21,22.5,0.11898421,9.7,0.23108947,0.16939737,-0.05698913091845877,0.51,48.226643,235,257,2024-02-21,BASTI,91,2024-06-30T00:00:00,7.9,2.8253393,327,313,438,429,1.3919668,2023-07-01T00:00:00,30.245000000000005,Ranipur Lad,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.4264011146055,26.71324651962642]}"
4_0,0.4,0.08727428,0.52,0.6,8.51,0.11489572,180,5.57,238,0.29816857,0.33,13.5,0.12527572,9.51,0.25474,0.18418857,-0.46237137905936115,0.59,131.7751,223,227,2024-03-19,BASTI,83,2024-06-30T00:00:00,6.7,2.8364193,293,289,484,484,1.3919196,2023-07-01T00:00:00,30.30170588235294,Ahirawli,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.91068288427434,26.706509154995523]}"
5_0,0.51,0.07146842,0.46,0.6,7.38,0.09955,175.5,4.48,200,0.26711053,0.35,22.5,0.10626579,9.63,0.22723421,0.16211052,-0.17073725774138984,0.75,90.0,241,254,2024-01-11,BASTI,91,2024-06-30T00:00:00,7.8,2.7045221,340,324,419,422,1.0390375,2023-07-01T00:00:00,30.330937499999997,Basdeo Kunwar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.42559263084979,26.80487467860661]}"
6_0,0.49,0.06728451,0.49,0.7,8.41,0.0931338,108,4.51,222,0.271531,0.45,22.5,0.094864786,9.62,0.24880704,0.17362113,-0.9534764836392166,0.51,114.06432,215,223,2024-03-13,BASTI,88,2024-06-30T00:00:00,6.6,2.7538226,341,332,444,446,2.2733953,2023-07-01T00:00:00,30.334606060606063,Rakhiya,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.56411284766102,26.728338216399628]}"
7_0,0.5,0.12175,0.6,0.9,9.36,0.14497143,225,5.71,238,0.33134142,0.3,31.5,0.15106714,9.42,0.26973,0.20123428,-1.1545680720740126,0.55,131.79256,203,215,2024-03-05,BASTI,83,2024-06-30T00:00:00,6.8,2.5891001,283,280,513,505,1.3914449,2023-07-01T00:00:00,30.317818181818186,Kabra tappa kaprimahaso,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.85220255927815,26.6364405628342]}"
8_0,0.55,0.11817222,0.46,0.9,9.46,0.1507125,139.5,5.26,206,0.31964862,0.4,18,0.16668333,9.54,0.30456945,0.2322125,0.9202886955645667,0.49,48.29208,241,244,2024-02-11,BASTI,89,2024-06-30T00:00:00,7.1,2.8974178,359,353,400,403,1.393749,2023-07-01T00:00:00,30.327937500000004,Mugaraha,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.76677277575838,26.973578288964255]}"
9_0,0.4,0.10755789,0.44,0.4,9.42,0.13640264,17.55,4.13,203,0.2816316,0.4,13.5,0.14497632,9.5,0.22274737,0.16672894,-1.578304671428545,0.41,29.226912,239,248,2024-02-22,BASTI,89,2024-06-30T00:00:00,6.1,2.647588,332,325,428,428,2.1246097,2023-07-01T00:00:00,30.221487179487177,ashokpur tappa puraina,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.43933685469682,26.663390021357785]}"
10_0,0.48,0.070207894,0.57,0.4,7.85,0.09134737,171,5.36,228,0.2606658,0.18,13.5,0.08601316,9.28,0.20693947,0.13638684,0.6529822942832701,0.52,114.02936,243,265,2024-03-10,BASTI,91,2024-06-30T00:00:00,7.5,2.7974408,359,346,398,390,2.2765033,2023-07-01T00:00:00,30.30163636363636,Kusmaur Dih,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.28168252233384,26.914289480212368]}"
11_0,0.4,0.11096428,0.55,0.5,7.75,0.13437143,108,4.75,169,0.32335284,0.45,27,0.13527714,9.52,0.26184857,0.19377142,-0.7510393279266576,0.54,180.0,238,242,2024-03-07,BASTI,85,2024-06-30T00:00:00,7.1,2.7552574,327,320,435,439,0.92740995,2023-07-01T00:00:00,30.301333333333336,Pakrijai,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.8352244004083,26.899736772609632]}"
12_0,0.54,0.05380526,0.7,0.4,8.14,0.07838947,108,5.18,197,0.28278157,0.4,22.5,0.06791579,9.38,0.20437631,0.123560525,-1.9132540400765932,0.62,159.53564,233,255,2024-02-18,BASTI,94,2024-06-30T00:00:00,6.4,2.8253393,328,313,439,432,2.9672482,2023-07-01T00:00:00,30.24111111111112,Batauli,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.4196637499746,26.71755843299019]}"
14_0,0.5,0.11104246,0.46,0.6,7.51,0.1329904,171,5.88,203,0.28187534,0.25,27,0.13941164,9.51,0.2666952,0.20322123,4.429374235416107,0.54,-0.0,260,251,2024-03-19,BASTI,89,2024-06-30T00:00:00,6.4,2.9522328,316,318,424,431,0.0,2023-07-01T00:00:00,30.274500000000014,Kohara,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.71826375041593,27.09970175485464]}"
15_0,0.49,0.10099143,0.59,0.5,8.46,0.12954715,108,4.83,250,0.29788142,0.22,18,0.13356143,9.6,0.23963286,0.17726286,2.7621274388103654,0.52,344.37964,228,232,2024-03-06,BASTI,83,2024-06-30T00:00:00,7.1,2.4484532,307,304,465,464,3.84645,2023-07-01T00:00:00,30.230628571428575,Kudraha,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.78509840755443,26.597902837145472]}"
16_0,0.4,0.08169474,0.45,0.6,8.87,0.10577369,225,4.73,203,0.30105525,0.4,22.5,0.10034474,9.6,0.22184737,0.14989737,-0.05794396594585493,0.52,-0.0,237,254,2024-03-13,BASTI,96,2024-06-30T00:00:00,7.5,2.7974408,362,348,401,398,0.92740995,2023-07-01T00:00:00,30.312749999999994,Nand Nagar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.26901627682776,26.906204642655293]}"
17_0,0.55,0.10842712,0.56,0.3,9.31,0.14087288,108,4.93,216,0.32692373,0.31,22.5,0.16148475,9.54,0.29811695,0.22560847,3.419325458846168,0.47,-0.0,233,242,2024-02-01,BASTI,93,2024-06-30T00:00:00,7,2.9419541,347,338,421,420,0.0,2023-07-01T00:00:00,30.21805714285716,Sumahi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.54551772127975,26.921835328598974]}"
