system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.635,0.0530725,1.64,0.73,9.96,0.06734875,224,5.32,54,0.2057425,0.24,13.5,0.06079125,16.25,0.14633624,0.09497125,-0.9067977551495455,1.33,270.0,240,253,2024-02-08,BIJNOR,225,2024-06-30T00:00:00,7.3,3.3668766,347,341,413,406,1.0617446,2023-07-01T00:00:00,30.14205405405405,Jafrabad Kurai,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.39584009781802,29.137619808408182]}"
1_0,0.36,0.0925575,0.825,0.54,9.96,0.1176625,179.2,5.32,87.75,0.2678225,0.39,13.5,0.11878875,10.62,0.234505,0.17284125,-1.6069756861524138,0.82,209.80078,234,249,2024-02-13,BIJNOR,229,2024-06-30T00:00:00,7.3,3.4638386,361,354,404,397,2.1366794,2023-07-01T00:00:00,30.12794594594594,Khajuri,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.36080580173737,29.188284790432526]}"
2_0,0.5,0.0722725,0.36,0.42,8.23,0.09682625,216,4.62,67.5,0.28526875,0.3,13.5,0.09561625,15.62,0.22772625,0.1653225,-0.9166593049612597,1.32,150.14256,246,257,2024-02-14,BIJNOR,244,2024-06-30T00:00:00,7.4,3.681362,386,379,368,363,2.1378899,2023-07-01T00:00:00,30.12821052631579,Pittanherijia,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.35487692086218,29.422206090417248]}"
3_0,0.62,0.08454458,0.64,0.9,7.28,0.11033012,198.9,6.32,81,0.27014577,0.36,22.5,0.11655663,15.62,0.24495181,0.18473615,2.012072867686645,1.32,-0.0,250,264,2024-02-14,BIJNOR,227,2024-06-30T00:00:00,7,3.6853352,363,355,386,381,0.0,2023-07-01T00:00:00,30.134400000000007,Mubarakpur Madhu,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.55591988144813,29.20957486266616]}"
4_0,0.69,0.06813695,0.64,0.56,8.23,0.09223696,137.7,5.32,87.75,0.26532826,0.39,18,0.09846304,12.25,0.21579348,0.15635435,-1.6868145587313286,1.17,293.59695,216,237,2024-02-15,BIJNOR,211,2024-06-30T00:00:00,6.8,3.3680036,384,376,401,388,2.3157258,2023-07-01T00:00:00,30.11497297297297,Sahaspur Ahatmali,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.64269713789407,29.114173779492663]}"
5_0,0.45,0.0669025,0.83,0.87,8.87,0.092805,136.8,3.62,81,0.265885,0.36,13.5,0.096655004,16.33,0.22570625,0.1634725,-1.6094074375724292,0.92,29.849596,255,275,2024-03-02,BIJNOR,241,2024-06-30T00:00:00,7.9,3.691254,377,370,368,355,2.137722,2023-07-01T00:00:00,30.13710526315789,Ibrahimpur Sadho,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.35029551291316,29.390136234774182]}"
6_0,0.58,0.057555843,0.53,0.84,10.25,0.07753377,189,4.62,65.25,0.26523116,0.29,18,0.06957403,9.62,0.19162987,0.1162065,-0.5875781109382655,0.62,113.60422,247,269,2024-03-02,BIJNOR,218,2024-06-30T00:00:00,7.9,3.2341244,375,362,378,369,2.3150551,2023-07-01T00:00:00,30.164944444444448,Shahpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.52573648790171,29.07860049424153]}"
7_0,0.56,0.0679425,0.36,0.79,8.23,0.1001025,171,5.32,87.75,0.30202,0.39,9,0.09809,12.9,0.25309,0.17493,-0.7730582722210431,1.35,-0.0,261,259,2024-02-23,BIJNOR,225,2024-06-30T00:00:00,7.1,3.7342334,407,401,332,340,0.92740995,2023-07-01T00:00:00,30.18359999999999,Machmar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.7106097733735,29.299586054134934]}"
8_0,0.66,0.0774441,1.51,0.73,8.23,0.10113106,162,5.32,92.25,0.29828447,0.41,3.5,0.099734165,11.62,0.2301646,0.16631676,-2.1041190252518307,1.15,142.55548,243,267,2024-02-14,BIJNOR,252,2024-06-30T00:00:00,7.3,3.8770366,378,366,379,367,3.500267,2023-07-01T00:00:00,30.13670270270271,Boodpur nainsingh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.19398865347637,29.47610500746442]}"
9_0,0.35,0.082265854,0.63,0.81,9.62,0.10535122,154.8,3.5,72,0.26858902,0.32,9,0.10419878,16.25,0.21806829,0.16055976,-0.7728115208172803,0.96,-0.0,250,256,2024-03-02,BIJNOR,236,2024-06-30T00:00:00,7.6,3.455503,358,356,392,388,0.92740995,2023-07-01T00:00:00,30.126972972972965,Aaku,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.39422313030661,29.274523057708]}"
10_0,0.85,0.082755,0.43,0.81,9.96,0.1131875,162,4.62,67.5,0.2560325,0.3,27,0.11745875,15.33,0.245715,0.18783624,1.8250897326669866,1.62,209.83873,264,278,2024-03-04,BIJNOR,223,2024-06-30T00:00:00,8,3.6600049,402,391,335,331,2.1374898,2023-07-01T00:00:00,30.151837837837842,Mo.Alipur Lalman,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.58906771543214,29.34540013362503]}"
11_0,0.36,0.07311975,0.36,0.92,12.02,0.09955185,207,4.26,33.75,0.24769753,0.15,9,0.10282222,15.62,0.22881605,0.16695061,2.704886692750821,0.64,-0.0,250,281,2024-03-11,BIJNOR,227,2024-06-30T00:00:00,7.1,3.603284,384,366,366,353,0.0,2023-07-01T00:00:00,30.05947368421053,Salem Sarai,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.52735345541313,29.243261685820638]}"
