system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,1.01,0.06291282,1.15,0.63,2.56,0.088260256,171,1.31,184.8,0.2841359,0.33,33,0.0831218,7.3,0.2233141,0.14934231,-0.07329329720711293,1.09,180.0,216,241,2024-02-27,BULANDSHAHR,205,2024-06-30T00:00:00,7.9,2.7731562,423,408,361,352,0.92740995,2023-07-01T00:00:00,30.097641025641025,Basi Bangar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.18293937548171,28.602942551300245]}"
1_0,0.62,0.07178302,0.69,0.45,2.52,0.103984274,144,4.04,235.2,0.30354464,0.42,33,0.10938176,6.8,0.25016227,0.18675911,1.8132896818324629,1.27,131.27972,213,244,2024-02-28,BULANDSHAHR,206,2024-06-30T00:00:00,7.9,2.5023372,407,387,380,369,1.40557,2023-07-01T00:00:00,30.160944444444446,Sahanpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.04253269657382,28.610488399686847]}"
2_0,0.82,0.08226913,0.86,0.71,5.57,0.11606914,126,4.93,156.8,0.34822592,0.28,18,0.111777775,6.8,0.26054198,0.18732345,2.0223089507257694,0.15,-0.0,234,246,2024-03-22,BULANDSHAHR,194,2024-06-30T00:00:00,7.6,2.3932602,446,438,320,316,0.0,2023-07-01T00:00:00,30.28754285714286,Sarsal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.94120273252514,28.119469265387117]}"
3_0,2.13,0.089096755,0.22,0.5,3.75,0.11983312,183,5.68,240.8,0.28496817,0.43,22.5,0.1189513,6.4,0.26359934,0.19336623,5.116108579371441,0.23,90.0,208,247,2024-03-21,BULANDSHAHR,196,2024-06-30T00:00:00,7,2.5951622,411,388,381,365,3.1581652,2023-07-01T00:00:00,30.200108108108108,Kishanpur Urf Kishan Khera,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.12230309380364,28.339646341524812]}"
4_0,1.01,0.08713896,0.46,0.51,1.52,0.11602078,206,2.23,123.2,0.33793506,0.21,9,0.10833766,6,0.2516039,0.17686753,-2.278426056423069,0.71,90.0,196,239,2024-03-14,BULANDSHAHR,201,2024-06-30T00:00:00,7.8,2.5782688,411,388,393,374,4.208597,2023-07-01T00:00:00,30.234277777777777,Birauli,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.1732375704132,28.365517821707456]}"
5_0,1.34,0.088436306,0.77,0.6,3.67,0.12845606,193,3.27,145.6,0.31956178,0.26,26,0.15034203,6.4,0.2991223,0.23535924,0.897021317074595,0.34,228.72035,203,225,2024-03-06,BULANDSHAHR,207,2024-06-30T00:00:00,7.6,2.588819,400,385,396,390,2.8094544,2023-07-01T00:00:00,30.183999999999994,Chitsona Alipur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.99213720913471,28.610757894272083]}"
6_0,2.72,0.10000921,0.66,0.71,5.98,0.13105921,162,3.98,201.6,0.2783658,0.36,4.5,0.14852105,3.6,0.27132896,0.21937105,-0.7641872515694502,1.24,-0.0,217,251,2024-03-17,BULANDSHAHR,198,2024-06-30T00:00:00,7.2,2.7050772,412,391,371,358,1.8543341,2023-07-01T00:00:00,30.194270270270266,Jatvai,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.25597240808062,28.362283886684626]}"
7_0,1.67,0.1122513,0.62,0.62,4.21,0.14477272,180,5.76,123.2,0.31383246,0.22,35,0.16070649,5.8,0.29797274,0.2403461,-0.4982999593579722,0.76,150.40099,255,277,2024-02-23,BULANDSHAHR,199,2024-06-30T00:00:00,7.2,2.3868852,417,402,328,321,2.1323957,2023-07-01T00:00:00,30.140571428571423,Jalaluddinpur Ginauri,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.99078973620854,28.334256449820096]}"
8_0,1.83,0.10118269,0.52,0.67,4.01,0.13010962,229,5.36,229,0.300675,0.41,28,0.1372032,6.8,0.2786109,0.21194166,-1.8713835216852013,0.94,311.35645,234,266,2024-02-23,BULANDSHAHR,199,2024-06-30T00:00:00,7.1,2.4432492,431,411,335,323,2.8051817,2023-07-01T00:00:00,30.16377777777778,Jalaluddinpur Ginauri,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.00722890590792,28.325363128507313]}"
9_0,1.54,0.103336945,0.45,0.43,5.38,0.13755542,189,1.47,235.2,0.31541148,0.42,40,0.14576496,7.2,0.2764223,0.21634077,3.406344054121969,0.62,-0.0,214,235,2024-02-24,BULANDSHAHR,197,2024-06-30T00:00:00,7.3,2.5816061,417,404,369,361,0.0,2023-07-01T00:00:00,30.199210526315795,Chakla,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.09993504322905,28.363361865025567]}"
