system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.65,0.08554615,1.03,0.95,8.88,0.12036667,283,3.25,314,0.26761281,0.56,15.75,0.13221282,4.25,0.24601538,0.19935128,-1.1818987007012705,1.43,311.28928,209,239,2024-02-25,GAUTAM BUDDHA NAGAR,214,2024-06-30T00:00:00,7.86,2.1814227,464,443,326,318,1.4053037,2023-07-01T00:00:00,30.232256410256415,Salarpur Kalan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.61134136019645,28.57518460902095]}"
1_0,0.72,0.084526315,1.83,0.96,4.48,0.11416052,114,1.83,140,0.29155,0.25,23.4,0.115318425,14.78,0.24840526,0.18496843,-1.6771741280417571,1.1,113.70825,210,243,2024-02-26,GAUTAM BUDDHA NAGAR,211,2024-06-30T00:00:00,7.79,2.2116528,467,441,324,316,2.3054893,2023-07-01T00:00:00,30.38927777777778,Badhpura,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.5552864864674,28.564135331026282]}"
2_0,0.42,0.07508948,0.12,0.78,5.81,0.10385,148,6.74,67,0.26948947,0.12,9.9,0.106578946,8.37,0.23986842,0.1776921,0.4276536113362245,1.17,228.7085,206,230,2024-02-24,GAUTAM BUDDHA NAGAR,207,2024-06-30T00:00:00,7.86,2.2116528,453,432,340,337,1.405241,2023-07-01T00:00:00,30.268000000000004,Badhpura,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.56121536734258,28.56683027687864]}"
3_0,0.72,0.06713077,1.12,1.1,6.48,0.09999744,271,2.06,168,0.2752487,0.29,6.75,0.104305126,8.37,0.23820256,0.17736153,-1.1817357111639064,0.51,131.29227,240,245,2024-03-05,GAUTAM BUDDHA NAGAR,211,2024-06-30T00:00:00,7.66,2.1814227,403,397,357,358,1.40522,2023-07-01T00:00:00,30.29050000000001,Khatana Dhirkhera,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.60406500639509,28.564135331026282]}"
4_0,0.65,0.07138974,1.54,0.95,8.65,0.10029231,206,3.38,286,0.26069486,0.51,6.75,0.10878718,16.08,0.25073078,0.18362051,-0.4886442070660119,1.24,311.2913,239,248,2024-03-03,GAUTAM BUDDHA NAGAR,209,2024-06-30T00:00:00,7.86,2.1814227,413,404,348,348,1.4052472,2023-07-01T00:00:00,30.24497435897436,Khatana Dhirkhera,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.60702944683268,28.56790825521958]}"
5_0,0.65,0.10591,0.67,0.98,3.48,0.1382075,222,2.26,151,0.2642975,0.27,9.9,0.15887,13.61,0.26939,0.239125,-0.28971856269303653,0.27,246.27823,260,267,2024-02-21,GAUTAM BUDDHA NAGAR,206,2024-06-30T00:00:00,7.89,2.0689225,417,410,322,323,2.304253,2023-07-01T00:00:00,30.32361111111112,Luharli,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.62993648657772,28.496761684717317]}"
6_0,1.08,0.059907693,1.54,0.92,6.73,0.08906411,255,3.96,185,0.2948718,0.33,8.1,0.08206154,4.25,0.20860513,0.14661795,1.4299017722832232,1.42,286.31613,230,244,2024-02-26,GAUTAM BUDDHA NAGAR,211,2024-06-30T00:00:00,8.33,2.1814227,425,414,345,342,3.2977757,2023-07-01T00:00:00,30.230052631578946,Salarpur Kalan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.60002258761655,28.576532081947132]}"
7_0,0.78,0.09258,1.41,0.85,4.81,0.1190425,129,4.53,157,0.2903425,0.28,6.75,0.122935,9.61,0.249645,0.1888625,-2.0367830406412724,1.15,286.30823,229,251,2024-03-01,GAUTAM BUDDHA NAGAR,216,2024-06-30T00:00:00,7.82,2.2734177,423,405,348,344,3.2993226,2023-07-01T00:00:00,30.270342857142857,Kachheda Warsabad,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.51674876077867,28.630161504409067]}"
8_0,0.65,0.06948975,1.02,1.05,8.46,0.098907694,271,3.01,342,0.2703718,0.61,17.55,0.10935641,16.08,0.22440769,0.17429487,-0.8959363239556701,1.15,270.0,235,249,2024-03-03,GAUTAM BUDDHA NAGAR,209,2024-06-30T00:00:00,7.96,2.1814227,430,417,335,334,2.1111789,2023-07-01T00:00:00,30.246052631578937,Khatana Dhirkhera,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.60702944683268,28.568177749804818]}"
9_0,0.62,0.089275,0.55,0.68,3.52,0.1167125,204,2.29,134,0.2905625,0.24,9.45,0.117355004,10.99,0.226155,0.168375,-0.7619852695163039,0,180.0,261,255,2024-01-08,GAUTAM BUDDHA NAGAR,199,2024-06-30T00:00:00,8.2,1.9670944,418,425,320,320,0.92740995,2023-07-01T00:00:00,30.35,Mangroli,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.59355471757088,28.123511684165656]}"
