system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.605,0.09868,1.24,0.568,6.54,0.1253925,212.8,5.18,101.25,0.30659,0.45,22.5,0.12501,9.6,0.2646525,0.197305,-1.143055517344758,0.78,132.0057,266,296,2024-02-24,GHAZIPUR,68,2024-06-30T00:00:00,7.5,2.0815496,272,263,462,441,1.3856899,2023-07-01T00:00:00,30.419066666666662,Govindpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.88813974492479,25.76489507418144]}"
1_0,0.935,0.0813425,1.04,0.955,9.86,0.108302504,291.2,4.38,74.25,0.300305,0.33,4.5,0.10941,7.2,0.2336925,0.1661925,-2.2416488601979934,0.31,312.0061,272,298,2024-02-23,GHAZIPUR,69,2024-06-30T00:00:00,7.5,2.0815496,275,269,453,433,4.1505723,2023-07-01T00:00:00,30.4354375,Govindpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.88894822868049,25.763278106670025]}"
2_0,0.66,0.0813425,0.85,0.972,8.6,0.108302504,280,6.54,84.38,0.300305,0.38,9,0.10941,7.8,0.2336925,0.1661925,-2.2416488601979934,0.47,312.0061,272,298,2024-02-23,GHAZIPUR,69,2024-06-30T00:00:00,7.7,2.0815496,275,269,453,433,4.1505723,2023-07-01T00:00:00,30.4354375,Govindpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.88894822868049,25.763278106670025]}"
3_0,0.55,0.08335,1.77,0.795,6.54,0.1144525,268.8,4.38,77.63,0.30099,0.35,13.5,0.118507504,7.2,0.258665,0.1908125,-0.8055744477081072,0.19,159.6892,266,296,2024-02-23,GHAZIPUR,66,2024-06-30T00:00:00,7.9,2.0815496,272,263,462,441,2.9642997,2023-07-01T00:00:00,30.419066666666662,Govindpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.88840923951003,25.76354760125526]}"
4_0,0.55,0.0813425,1.27,0.785,5.75,0.108302504,212.8,8.77,77.63,0.300305,0.35,13.5,0.10941,9,0.2336925,0.1661925,-2.2416488601979934,0.24,312.0061,272,298,2024-02-23,GHAZIPUR,69,2024-06-30T00:00:00,7.6,2.0815496,275,269,453,433,4.1505723,2023-07-01T00:00:00,30.4354375,Govindpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.88894822868049,25.763278106670025]}"
5_0,0.77,0.10325,1.85,0.577,5.75,0.135835,235.2,4.38,77.63,0.335055,0.35,9,0.13825,9,0.2776525,0.20371,-1.1429799265249094,0.47,47.992893,268,291,2024-02-23,GHAZIPUR,68,2024-06-30T00:00:00,7.6,2.0815496,278,268,454,441,1.3856523,2023-07-01T00:00:00,30.429999999999996,Govindpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.89622458248186,25.759235687891486]}"
6_0,0.275,0.0955775,1.17,0.77,6.54,0.122784995,280,7.08,77.63,0.32833248,0.35,13.5,0.119215,9.6,0.2591725,0.1805075,-1.5391510443774163,0.31,90.0,268,291,2024-02-24,GHAZIPUR,69,2024-06-30T00:00:00,7.5,2.0815496,278,268,454,441,2.0587656,2023-07-01T00:00:00,30.429999999999996,Govindpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.89595508789662,25.759235687891486]}"
7_0,0.275,0.114325,0.94,0.78,7.54,0.146545,313.6,4.12,74.25,0.3106475,0.33,18,0.1491725,6,0.272635,0.20288,-1.9041432629073936,0.49,20.310152,268,291,2024-02-23,GHAZIPUR,69,2024-06-30T00:00:00,7.9,2.0815496,278,268,454,441,2.964287,2023-07-01T00:00:00,30.429999999999996,Govindpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.89568559331138,25.759505182476722]}"
8_0,0.715,0.096365,0.94,0.595,5.67,0.1269275,235.2,4.12,84.38,0.2842175,0.38,18,0.1402625,6,0.2646175,0.2044275,-2.1647580712836163,0.55,164.48613,278,309,2024-02-24,GHAZIPUR,65,2024-06-30T00:00:00,7.4,2.0815496,294,285,428,405,3.8444645,2023-07-01T00:00:00,30.419066666666662,Govindpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.8822108640496,25.75977467706196]}"
9_0,0.825,0.096365,2.24,0.597,7.08,0.1269275,224,5.45,81,0.2842175,0.36,27,0.1402625,7.2,0.2646175,0.2044275,-2.1647580712836163,0.65,164.48613,278,309,2024-02-24,GHAZIPUR,65,2024-06-30T00:00:00,7.5,2.0815496,294,285,428,405,3.8444645,2023-07-01T00:00:00,30.419066666666662,Govindpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.8822108640496,25.75977467706196]}"
