system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.51,0.10882162,1.4,0.25,5.92,0.14213243,166.5,4.72,67.5,0.30242974,0.3,18,0.15704325,11.25,0.2938,0.23330541,0.7878268097815778,0.69,311.7277,294,297,2024-03-05,GORAKHPUR,80,2024-06-30T00:00:00,7.2,2.7591376,295,288,411,415,1.3932099,2023-07-01T00:00:00,30.197375,Ramughat,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.288514292775,26.89515536466062]}"
1_0,0.48,0.08776487,1.37,0.34,6.96,0.117772974,161.5,4.26,47.25,0.29465947,0.21,13.5,0.12967297,13.5,0.26682433,0.20761621,2.2477567331918906,0.89,209.27795,294,297,2024-03-05,GORAKHPUR,80,2024-06-30T00:00:00,7.5,2.9013555,295,288,411,415,2.125669,2023-07-01T00:00:00,30.2233125,Ramughat,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.2952516574059,26.90054525636534]}"
2_0,0.81,0.08362973,1.28,0.37,3.96,0.11696757,135,2.15,162,0.29318377,0.72,13.5,0.12505946,17.1,0.27326757,0.20727298,-1.444158244365498,0.75,-0.0,294,297,2024-03-19,GORAKHPUR,82,2024-06-30T00:00:00,7.4,2.7591376,295,288,411,415,1.8543341,2023-07-01T00:00:00,30.197375,Ramughat,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.29120923862736,26.8965028375868]}"
3_0,0.74,0.08362973,1.7,0.42,6.34,0.11696757,157.5,6.14,150.75,0.29318377,0.67,18,0.12505946,16.2,0.27326757,0.20727298,-1.444158244365498,0.54,-0.0,294,297,2024-03-05,GORAKHPUR,82,2024-06-30T00:00:00,7.2,2.7591376,295,288,411,415,1.8543341,2023-07-01T00:00:00,30.197375,Ramughat,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.29120923862736,26.8965028375868]}"
4_0,0.66,0.08362973,0.57,0.51,8.1,0.11696757,112.5,3.72,67.5,0.29318377,0.3,18,0.12505946,17.55,0.27326757,0.20727298,-1.444158244365498,0.52,-0.0,294,297,2024-03-05,GORAKHPUR,82,2024-06-30T00:00:00,7.4,2.7591376,295,288,411,415,1.8543341,2023-07-01T00:00:00,30.197375,Ramughat,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.29120923862736,26.8965028375868]}"
5_0,0.62,0.08362973,1.15,0.28,5.82,0.11696757,162,2.12,148.5,0.29318377,0.66,13.5,0.12505946,11.7,0.27326757,0.20727298,-1.444158244365498,1.12,-0.0,294,297,2024-03-05,GORAKHPUR,82,2024-06-30T00:00:00,7.2,2.7591376,295,288,411,415,1.8543341,2023-07-01T00:00:00,30.197375,Ramughat,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.29120923862736,26.8965028375868]}"
6_0,0.59,0.08354324,1.42,0.63,3.95,0.11155406,216,2.15,90,0.27736485,0.4,18,0.12581082,16.2,0.25714865,0.19271082,-0.8655135848958859,0.84,270.0,294,297,2024-03-05,GORAKHPUR,80,2024-06-30T00:00:00,7.1,2.7591376,295,289,411,414,2.0790892,2023-07-01T00:00:00,30.197375,Ramughat,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.28986176570119,26.897580815927746]}"
7_0,0.62,0.1004973,1.44,0.45,4.51,0.12503514,139,4.16,40.5,0.2970027,0.28,13.5,0.13255405,10.8,0.2743027,0.21511622,1.5497379308549932,0.68,48.27679,302,305,2024-03-02,GORAKHPUR,81,2024-06-30T00:00:00,7.4,2.9013555,306,299,392,396,1.393332,2023-07-01T00:00:00,30.239483870967746,Ramwapur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.28447187399647,26.912942007286187]}"
8_0,0.51,0.1004973,1.45,0.37,6.13,0.12503514,112.5,5.21,138.5,0.2970027,0.58,4.5,0.13255405,12.6,0.2743027,0.21511622,1.5497379308549932,0.85,48.27679,302,305,2024-03-02,GORAKHPUR,81,2024-06-30T00:00:00,7.3,2.9013555,306,299,392,396,1.393332,2023-07-01T00:00:00,30.239483870967746,Ramwapur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.28447187399647,26.912942007286187]}"
9_0,0.66,0.09114324,0.98,0.31,6.12,0.12018108,180,6.18,117,0.30635136,0.52,13.5,0.13363783,16.65,0.2772108,0.21535675,-1.1583146686172763,0.74,131.72328,302,305,2024-03-02,GORAKHPUR,81,2024-06-30T00:00:00,7.4,2.9013555,306,299,392,396,1.3933301,2023-07-01T00:00:00,30.239483870967746,Ramwapur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.28420237941123,26.912672512700954]}"
10_0,0.51,0.08604054,1.69,0.22,4.67,0.11820811,166.5,4.35,47.15,0.305,0.21,18,0.13398108,9,0.2863081,0.22115946,-0.7528309855095262,0.78,48.27651,298,300,2024-03-02,GORAKHPUR,80,2024-06-30T00:00:00,7,2.9013555,301,295,401,405,2.7850027,2023-07-01T00:00:00,30.239483870967746,Ramwapur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.28501086316693,26.911864028945246]}"
11_0,0.74,0.09318649,1.43,0.39,4.27,0.12092703,195.5,3.87,101.25,0.2982189,0.45,18,0.13223784,19.8,0.2794081,0.21407297,-1.017063561172079,0.56,59.269836,298,300,2024-03-02,GORAKHPUR,82,2024-06-30T00:00:00,7,2.9013555,301,295,401,405,3.6252878,2023-07-01T00:00:00,30.239483870967746,Ramwapur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.2847413685817,26.911864028945246]}"
12_0,0.92,0.08604054,1.35,0.36,8.97,0.11820811,184.5,6.18,54,0.305,0.24,18,0.13398108,14.4,0.2863081,0.22115946,-0.7528309855095262,0.45,48.27651,298,300,2024-03-02,GORAKHPUR,80,2024-06-30T00:00:00,7.4,2.9013555,301,295,401,405,2.7850027,2023-07-01T00:00:00,30.239483870967746,Ramwapur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.28501086316693,26.911864028945246]}"
13_0,0.55,0.08604054,1.78,0.27,7.18,0.11820811,184.5,6.21,60.75,0.305,0.27,18,0.13398108,17.55,0.2863081,0.22115946,-0.7528309855095262,0.64,48.27651,298,300,2024-03-02,GORAKHPUR,80,2024-06-30T00:00:00,7.1,2.9013555,301,295,401,405,2.7850027,2023-07-01T00:00:00,30.239483870967746,Ramwapur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.28501086316693,26.911864028945246]}"
14_0,0.51,0.09318649,1.63,0.4,5.27,0.12092703,198,4.38,148.5,0.2982189,0.66,4.5,0.13223784,20.7,0.2794081,0.21407297,-1.017063561172079,0.55,59.269836,298,300,2024-03-02,GORAKHPUR,82,2024-06-30T00:00:00,7.4,2.9013555,301,295,401,405,3.6252878,2023-07-01T00:00:00,30.239483870967746,Ramwapur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.2847413685817,26.911864028945246]}"
15_0,0.62,0.08604054,1.71,0.39,4.67,0.11820811,157.5,4.27,36,0.305,0.16,22.5,0.13398108,24.75,0.2863081,0.22115946,-0.7528309855095262,0.66,48.27651,298,300,2024-03-02,GORAKHPUR,80,2024-06-30T00:00:00,7,2.9013555,301,295,401,405,2.7850027,2023-07-01T00:00:00,30.239483870967746,Ramwapur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.28501086316693,26.911864028945246]}"
16_0,0.7,0.096283786,1.44,0.37,6.98,0.12331621,171,4.29,60.75,0.28597298,0.27,18,0.13245405,19.35,0.27591082,0.21108648,-1.5589202028525222,0.72,90.0,302,305,2024-03-02,GORAKHPUR,81,2024-06-30T00:00:00,7.3,2.9013555,306,299,392,396,2.07936,2023-07-01T00:00:00,30.239483870967746,Ramwapur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.2847413685817,26.912133523530482]}"
17_0,0.62,0.096283786,0.78,0.33,9.1,0.12331621,137.5,5.18,114.75,0.28597298,0.51,18,0.13245405,10.35,0.27591082,0.21108648,-1.5589202028525222,1.12,90.0,302,305,2024-03-02,GORAKHPUR,81,2024-06-30T00:00:00,7.3,2.9013555,306,299,392,396,2.07936,2023-07-01T00:00:00,30.239483870967746,Ramwapur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.2847413685817,26.912133523530482]}"
18_0,0.59,0.096283786,0.99,0.48,6.98,0.12331621,193.5,5.13,76.5,0.28597298,0.34,13.5,0.13245405,13.28,0.27591082,0.21108648,-1.5589202028525222,0.61,90.0,302,305,2024-03-02,GORAKHPUR,81,2024-06-30T00:00:00,7.4,2.9013555,306,299,392,396,2.07936,2023-07-01T00:00:00,30.239483870967746,Ramwapur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.2847413685817,26.912133523530482]}"
19_0,0.77,0.096283786,1.93,0.41,3.64,0.12331621,171,6.39,144,0.28597298,0.64,18,0.13245405,10.24,0.27591082,0.21108648,-1.5589202028525222,0.56,90.0,302,305,2024-03-02,GORAKHPUR,81,2024-06-30T00:00:00,7.3,2.9013555,306,299,392,396,2.07936,2023-07-01T00:00:00,30.239483870967746,Ramwapur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.2847413685817,26.912133523530482]}"
20_0,0.74,0.10316216,0.98,0.55,5.14,0.13714595,126,5.24,108,0.3074054,0.48,13.5,0.15567297,19.8,0.3004081,0.23937838,-0.8657754669656055,0.73,90.0,302,305,2024-03-02,GORAKHPUR,82,2024-06-30T00:00:00,7.3,2.9013555,306,299,392,396,1.040025,2023-07-01T00:00:00,30.239483870967746,Ramwapur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.2847413685817,26.912403018115718]}"
21_0,0.55,0.096283786,1.77,0.48,8.57,0.12331621,139.5,6.67,29.25,0.28597298,0.13,4.5,0.13245405,17.55,0.27591082,0.21108648,-1.5589202028525222,0.92,90.0,302,305,2024-03-02,GORAKHPUR,81,2024-06-30T00:00:00,7.3,2.9013555,306,299,392,396,2.07936,2023-07-01T00:00:00,30.239483870967746,Ramwapur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.2847413685817,26.912133523530482]}"
22_0,0.37,0.09071765,1.12,0.36,8.62,0.123344116,180,5.28,81,0.30268234,0.36,13.5,0.1412,12.15,0.28200883,0.21442352,-0.058071268162097386,0.77,180.0,292,289,2024-03-02,GORAKHPUR,80,2024-06-30T00:00:00,7.1,2.9272163,306,303,402,409,0.92740995,2023-07-01T00:00:00,30.334375000000005,Ramwapur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.34968956362354,26.920218361087557]}"
24_0,0.88,0.103444114,0.86,0.39,9.68,0.14615588,168,4.59,56.25,0.2135353,0.25,18,0.14640294,10.35,0.1989353,0.15468235,-0.5510428363359295,1.12,114.028786,255,247,2024-03-04,GORAKHPUR,77,2024-06-30T00:00:00,7,2.9272163,312,311,433,442,2.2765546,2023-07-01T00:00:00,30.3083125,Laxmipur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.33648432894698,26.917253920649962]}"
25_0,0.77,0.103444114,1.84,0.31,4.4,0.14615588,139.5,5.68,76.5,0.2135353,0.34,18,0.14640294,13.5,0.1989353,0.15468235,-0.5510428363359295,0.79,114.028786,255,247,2024-03-04,GORAKHPUR,77,2024-06-30T00:00:00,7.1,2.9272163,312,311,433,442,2.2765546,2023-07-01T00:00:00,30.3083125,Laxmipur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.33648432894698,26.917253920649962]}"
26_0,0.77,0.09736471,1.36,0.47,8.74,0.12693235,175.5,4.93,96.75,0.30195883,0.43,18,0.13872352,14.4,0.26276177,0.19954412,3.8688300562069813,0.46,-0.0,267,259,2024-03-05,GORAKHPUR,75,2024-06-30T00:00:00,7.3,2.9272163,307,306,425,435,1.8543341,2023-07-01T00:00:00,30.32690322580645,Laxmipur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.33837079104364,26.91806240440567]}"
27_0,0.66,0.08352059,2.16,0.42,9.24,0.11623824,157.5,6.29,103.5,0.30603528,0.46,4.5,0.12795,17.1,0.25529116,0.18841764,3.491958607594404,0.97,65.97148,283,274,2024-03-04,GORAKHPUR,78,2024-06-30T00:00:00,7.3,2.9272163,301,302,416,424,2.276578,2023-07-01T00:00:00,30.32690322580645,Laxmipur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.33971826396981,26.918601393576143]}"
28_0,0.59,0.08281471,1.64,0.32,5.29,0.1149,157.5,5.29,60.75,0.28748822,0.27,18,0.12902059,14.85,0.26676765,0.20162353,-0.8658916592997616,1.2,270.0,283,274,2024-03-05,GORAKHPUR,78,2024-06-30T00:00:00,7.2,2.9272163,301,302,416,424,1.040089,2023-07-01T00:00:00,30.32690322580645,Laxmipur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.3402572531403,26.919409877331848]}"
29_0,0.59,0.08281471,1.4,0.27,9.1,0.1149,175.5,4.7,103.5,0.28748822,0.46,13.5,0.12902059,11.25,0.26676765,0.20162353,-0.8658916592997616,1.1,270.0,283,274,2024-03-05,GORAKHPUR,78,2024-06-30T00:00:00,7.3,2.9272163,301,302,416,424,1.040089,2023-07-01T00:00:00,30.32690322580645,Laxmipur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.3402572531403,26.919409877331848]}"
30_0,0.85,0.08827941,1.79,0.51,8.72,0.11881471,139.5,5.86,117,0.29852647,0.52,18,0.13497941,13.95,0.26460883,0.19788529,-1.964489097802878,1.2,270.0,283,274,2024-03-05,GORAKHPUR,77,2024-06-30T00:00:00,7.2,2.9272163,301,302,416,424,3.1175067,2023-07-01T00:00:00,30.32690322580645,Laxmipur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.33917927479935,26.918601393576143]}"
31_0,0.48,0.11045294,1.52,0.28,4.86,0.13786176,139.5,5.86,76.5,0.30160883,0.34,4.5,0.15069705,19.8,0.2824147,0.21615882,-0.7511919870612989,1.15,-0.0,283,275,2024-03-05,GORAKHPUR,78,2024-06-30T00:00:00,7.4,2.9272163,313,312,404,413,0.92740995,2023-07-01T00:00:00,30.32690322580645,Laxmipur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.3381012964584,26.917253920649962]}"
32_0,0.55,0.08590588,1.94,0.39,5.29,0.11791176,112.5,5.62,103.5,0.30354705,0.46,13.5,0.13105,19.35,0.2687853,0.2005353,3.9535579435766044,1.12,131.72174,283,274,2024-03-05,GORAKHPUR,76,2024-06-30T00:00:00,7.3,2.9272163,301,302,416,424,1.3933722,2023-07-01T00:00:00,30.32690322580645,Laxmipur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.34133523148124,26.91887088816138]}"
34_0,0.81,0.09458529,0.98,0.43,5.61,0.11841764,202.5,5.26,96.75,0.3022147,0.43,18,0.12525,10.8,0.2488353,0.18265,-0.551035502983799,0.78,294.02872,283,275,2024-03-05,GORAKHPUR,76,2024-06-30T00:00:00,7.4,2.9272163,313,312,404,413,2.2765594,2023-07-01T00:00:00,30.32690322580645,Laxmipur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.33971826396981,26.9175234152352]}"
35_0,0.66,0.09458529,1.78,0.33,4.95,0.11841764,121.5,3.38,148.5,0.3022147,0.66,18,0.12525,14.4,0.2488353,0.18265,-0.551035502983799,0.64,294.02872,283,275,2024-03-05,GORAKHPUR,76,2024-06-30T00:00:00,7.4,2.9272163,313,312,404,413,2.2765594,2023-07-01T00:00:00,30.32690322580645,Laxmipur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.33971826396981,26.9175234152352]}"
36_0,1.14,0.097100005,1.5,0.32,5.86,0.12673824,94.5,6.72,150.75,0.31403825,0.67,18,0.1391353,16.65,0.27218235,0.20148236,3.3413884779550482,0.72,48.27798,283,275,2024-03-05,GORAKHPUR,75,2024-06-30T00:00:00,7.4,2.9272163,313,312,404,413,2.7850828,2023-07-01T00:00:00,30.32690322580645,Laxmipur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.33890978021411,26.917792909820434]}"
37_0,0.36,0.08222353,1.86,0.39,5.86,0.11456177,175.5,6.29,151,0.2867559,0.76,18,0.12562059,14.4,0.25598234,0.18915883,-0.8658743007776358,0.8,90.0,283,274,2024-03-05,GORAKHPUR,79,2024-06-30T00:00:00,7.4,2.9272163,301,302,416,424,1.0400788,2023-07-01T00:00:00,30.32690322580645,Laxmipur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.34079624231076,26.918331898990907]}"
