system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.257,0.075642504,0.31,0.524,5.88,0.1061575,112,3.57,81,0.2479525,0.36,31.5,0.126755,12,0.24578,0.1869375,0.8690536662720435,0.8,180.0,278,308,2024-02-24,HAMIRPUR,153,2024-06-30T00:00:00,7.5,2.1070538,362,343,360,350,0.92740995,2023-07-01T00:00:00,30.531837837837834,Tola Raath,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.60587078552703,25.64389200541054]}"
1_0,0.238,0.1108025,0.26,0.524,5.19,0.1500425,229,3.18,41.5,0.3236325,0.18,9,0.18109751,14.5,0.2952325,0.2188525,-1.6911110905809639,0.88,334.54428,244,275,2024-02-27,HAMIRPUR,142,2024-06-30T00:00:00,7.1,2.153479,384,365,372,360,7.153111,2023-07-01T00:00:00,30.56850000000001,Baukhar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.60048089382231,25.80127684318828]}"
2_0,0.396,0.06391025,0.24,0.621,4.38,0.10109487,193,2.64,47.25,0.3050154,0.21,13.5,0.10922051,10.5,0.24614103,0.17524102,-1.4030774100270067,0.74,58.98451,224,242,2024-02-24,HAMIRPUR,154,2024-06-30T00:00:00,7.3,2.1939723,376,367,401,390,3.5952942,2023-07-01T00:00:00,30.510594594594597,Dhanouri,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.64602547872717,25.598616915090915]}"
3_0,0.272,0.1002225,0.19,0.456,5.04,0.13556,202,2.82,135,0.2617175,0.6,13.5,0.1555875,12,0.275825,0.2201425,-2.681423701065466,1,253.29399,238,270,2024-02-26,HAMIRPUR,141,2024-06-30T00:00:00,7.2,2.1864824,375,356,387,374,6.425907,2023-07-01T00:00:00,30.607388888888877,Gutakbara,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.59050959416858,25.79103604894932]}"
6_0,0.36,0.112449996,0.12,0.59,4.82,0.14423077,130.5,3.41,69.75,0.3266359,0.31,22.5,0.16061538,8.5,0.3033641,0.23483077,-1.6327888526458312,0.75,114.22714,237,259,2024-02-16,HAMIRPUR,127,2024-06-30T00:00:00,7.19,1.945267,385,371,378,370,2.2590444,2023-07-01T00:00:00,30.540756756756757,Banki,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.11090363825902,25.845204460581726]}"
7_0,0.48,0.10577436,0.28,0.39,4.02,0.1368141,130.5,2.26,103.5,0.27864742,0.46,22.5,0.15434615,15.5,0.27008846,0.2088936,-1.1416839743442588,0.81,312.0312,256,280,2024-02-12,HAMIRPUR,141,2024-06-30T00:00:00,7.96,2.0178602,376,363,368,357,1.3850064,2023-07-01T00:00:00,30.678514285714282,Baswari,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.86242963067156,25.658714207598514]}"
8_0,0.328,0.075642504,0.27,0.524,5.07,0.1061575,238,2.78,110.25,0.2479525,0.49,9,0.126755,11.5,0.24578,0.1869375,0.8690536662720435,0.74,180.0,278,308,2024-02-24,HAMIRPUR,153,2024-06-30T00:00:00,7.7,2.1070538,362,343,360,350,0.92740995,2023-07-01T00:00:00,30.531837837837834,Tola Raath,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.60587078552703,25.64389200541054]}"
9_0,0.257,0.11226709,0.27,0.64,5.28,0.14221899,202.5,2.58,94.5,0.28464556,0.42,22.5,0.15652911,7.5,0.27940887,0.21577975,-1.2925640865346018,0.85,73.27269,220,226,2024-02-11,HAMIRPUR,112,2024-06-30T00:00:00,7,1.9066896,381,377,399,397,3.2191105,2023-07-01T00:00:00,30.711062499999997,Urdana,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.1685754794995,25.630686770733984]}"
10_0,0.28,0.10196536,0.24,0.77,5.52,0.13726929,247.5,3.85,101.25,0.32693923,0.45,18,0.15001242,17,0.29070458,0.22387385,2.066549880938859,0.92,330.9176,221,247,2024-02-19,HAMIRPUR,117,2024-06-30T00:00:00,7.05,1.9184624,352,339,427,413,2.1216252,2023-07-01T00:00:00,30.531157894736847,Bhaisapali,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.07344389091124,25.976717818176823]}"
11_0,0.388,0.08184872,0.34,0.38,5.55,0.12415897,175,1.68,103.5,0.29747435,0.46,13.5,0.16192564,15,0.28172308,0.22922821,-1.14012905218894,0.8,227.93996,211,224,2024-02-21,HAMIRPUR,150,2024-06-30T00:00:00,7.5,2.2138875,386,380,402,396,1.3842335,2023-07-01T00:00:00,30.185179487179486,Kaswa Khera,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.62958630902779,25.537441644242378]}"
