system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
1_0,1.18,0.06931585,0.58,0.4,7.27,0.10246097,260,7.28,220,0.28398782,0.58,9,0.11345122,5.65,0.2537061,0.1845122,3.3931699494584504,0.55,259.75534,249,264,2024-03-17,JHANSI,235,2024-06-30T00:00:00,7,2.118278,429,421,322,315,5.200637,2023-07-01T00:00:00,30.519315789473684,Luhari,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.90410688557286,25.35580229379341]}"
2_0,0.75,0.08340059,1.31,0.35,7.6,0.112543784,242,5.25,210,0.30183372,0.54,13.5,0.13191774,4.3,0.30320355,0.2335355,-1.9798456755855807,1.42,253.22389,226,234,2024-01-16,JHANSI,268,2024-06-30T00:00:00,7.6,2.2244055,446,442,328,324,3.2100325,2023-07-01T00:00:00,30.503945945945944,Simiriya,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.53328233628832,25.2587842431085]}"
3_0,0.69,0.0618929,0.57,0.37,6.43,0.09030947,282,8.25,236,0.28832427,0.63,13.5,0.10217515,3.22,0.2410852,0.17451893,-1.5635653256880455,0.81,208.93288,225,235,2024-02-08,JHANSI,256,2024-06-30T00:00:00,7.8,2.1824248,455,447,320,319,2.11856,2023-07-01T00:00:00,30.467384615384624,Lahar Thakur Pura,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.56454370817568,25.240997600482935]}"
4_0,0.79,0.09967436,1.13,0.44,5.74,0.12926154,267,3.59,146,0.2956641,0.31,13.5,0.1395359,3.82,0.28255385,0.21346924,2.485510872630203,0.72,47.91664,245,254,2024-02-18,JHANSI,176,2024-06-30T00:00:00,7.6,2.1039183,419,414,336,331,2.7656078,2023-07-01T00:00:00,30.601444444444446,Puchhi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.24313107379956,25.439076120631288]}"
5_0,0.69,0.0887575,0.7,0.6,5.28,0.1292,273,5.78,169,0.272835,0.37,9,0.151925,4.91,0.3001325,0.24177,2.376790535960666,0.95,294.2534,277,284,2024-03-05,JHANSI,172,2024-06-30T00:00:00,7.2,2.1326475,381,376,342,340,2.2567487,2023-07-01T00:00:00,30.664756756756756,Asta,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.22264948532164,25.6999468791396]}"
6_0,0.79,0.06434768,0.85,0.49,8.92,0.0909686,251,4.39,205,0.24093255,0.52,13.5,0.099968605,3.63,0.22145581,0.16048372,-1.5360456263871465,0.94,270.0,219,231,2024-01-27,JHANSI,200,2024-06-30T00:00:00,7.6,2.0977683,413,407,368,362,2.055543,2023-07-01T00:00:00,30.504756756756755,Ranguwan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.6887807119694,25.5722064457378]}"
7_0,0.66,0.07826628,0.54,0.37,9.83,0.11268372,242,6.74,247,0.33001512,0.66,9,0.12352791,3.66,0.2685058,0.19489186,-2.468341054338323,0.98,100.22666,222,232,2024-01-27,JHANSI,205,2024-06-30T00:00:00,7.7,2.0977683,410,404,368,364,5.209641,2023-07-01T00:00:00,30.531135135135138,Ranguwan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.69336211991842,25.571936951152566]}"
8_0,1.31,0.06925357,0.93,0.3,4.38,0.10016666,314,4.82,191,0.2991381,0.45,13.5,0.11154643,6.42,0.25278094,0.17825477,-1.0666149283252035,0.77,111.13678,219,234,2024-03-05,JHANSI,195,2024-06-30T00:00:00,7.1,2.0858667,428,419,353,347,7.670175,2023-07-01T00:00:00,30.507888888888886,Mirona,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.80547186737653,25.567355543203558]}"
9_0,0.69,0.066630766,0.91,0.48,7.97,0.097533725,255,8.18,196,0.27679706,0.48,4.5,0.123849705,3.81,0.2714947,0.21476983,-1.5635695560728724,0.84,208.93294,226,236,2024-02-07,JHANSI,257,2024-06-30T00:00:00,7.7,2.1824248,461,452,313,312,2.1185613,2023-07-01T00:00:00,30.467384615384624,Lahar Thakur Pura,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.56454370817568,25.24126709506817]}"
10_0,0.92,0.09294379,0.81,0.36,9.09,0.12144734,251,5.51,251,0.27358934,0.67,9,0.15512486,4.18,0.3265284,0.25911835,3.8908226928105365,1.11,227.87077,225,229,2024-01-15,JHANSI,268,2024-06-30T00:00:00,7.6,2.1584365,441,438,334,333,2.7631626,2023-07-01T00:00:00,30.503692307692308,Simiriya,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.53624677672592,25.244501030091]}"
11_0,0.92,0.07638095,0.76,0.54,9.56,0.11141309,278,4.77,176,0.28323334,0.39,4.5,0.13639642,4.98,0.3081488,0.24537499,-1.5348186221046625,0.62,90.0,240,254,2024-01-27,JHANSI,218,2024-06-30T00:00:00,7.9,2.269151,431,421,329,326,2.0542734,2023-07-01T00:00:00,30.451599999999992,Mustra,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.6308393761437,25.498095434797943]}"
12_0,1.04,0.08516905,1.05,0.4,6.84,0.116778575,282,5.23,187,0.2938524,0.43,18,0.12375476,4.44,0.24607976,0.19302738,-0.9349123363932517,0.94,245.71701,231,244,2024-03-06,JHANSI,199,2024-06-30T00:00:00,7.2,2.1433651,414,408,354,348,2.2541673,2023-07-01T00:00:00,30.451526315789476,Pahari Buzurg,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.76100526081261,25.535285687560492]}"
13_0,0.88,0.064036906,0.83,0.3,7.27,0.09815119,336,3.69,118,0.31363213,0.25,9,0.094336905,3.71,0.2320988,0.16083214,-2.239136440707385,0.71,47.947292,219,234,2024-03-05,JHANSI,193,2024-06-30T00:00:00,7.2,2.0858667,429,419,352,346,4.146842,2023-07-01T00:00:00,30.507888888888886,Mirona,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.80385489986512,25.568433521544502]}"
14_0,0.88,0.07085952,0.64,0.37,6.2,0.09856607,273,5.71,169,0.27906725,0.37,13.5,0.117027976,4.39,0.2407762,0.18284404,2.7400780757631504,1.36,-0.0,196,210,2024-04-04,JHANSI,265,2024-06-30T00:00:00,7.5,2.1654704,451,441,353,349,0.0,2023-07-01T00:00:00,30.476473684210525,Rasoi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.47210706543977,25.2692945319327]}"
15_0,0.95,0.08403846,0.57,0.64,5.76,0.109907694,323,5.04,251,0.24645385,0.67,9,0.118346155,6.1,0.2572,0.19611026,-1.207993362966561,0.98,339.74057,247,255,2024-01-11,JHANSI,183,2024-06-30T00:00:00,7.8,2.105784,440,437,313,309,2.963319,2023-07-01T00:00:00,30.658457142857138,Mar Kuwan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.27035002690839,25.433955723511808]}"
