system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.99,0.07000975,0.45,0.52,5.67,0.10021464,140,3.85,56.25,0.29258415,0.25,16,0.09670061,8,0.2432439,0.1625811,0.5057200501716453,0.66,-0.0,258,276,2024-02-02,KANPUR DEHAT,130,2024-06-30T00:00:00,7.6,1.9186196,381,376,362,348,1.8543341,2023-07-01T00:00:00,30.346457142857144,Karchal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.03598414356345,26.4372840643449]}"
1_0,0.49,0.10861,0.77,0.65,4.41,0.14246,160,3.86,47.25,0.3351725,0.21,10,0.1533925,11,0.28299,0.2111225,2.217909336671198,0.51,311.8889,196,231,2024-02-06,KANPUR DEHAT,132,2024-06-30T00:00:00,7.8,2.1723201,353,337,451,432,1.388836,2023-07-01T00:00:00,30.441,Rurgaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.75948269911146,26.24675139258315]}"
2_0,0.52,0.073529266,0.4,0.68,7.08,0.1138439,147,1.72,40.5,0.3274049,0.18,10,0.13170244,16,0.2830561,0.21408048,-0.8543662457642529,0.25,90.0,190,222,2024-02-06,KANPUR DEHAT,135,2024-06-30T00:00:00,8.1,2.2686865,351,338,459,440,1.0340612,2023-07-01T00:00:00,30.424294117647058,Rurgaon,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.734958691855,26.253758251799283]}"
3_0,0.55,0.12739515,0.42,0.6,6.29,0.1537006,221,1.71,90,0.25110123,0.4,17,0.17116,7,0.2742218,0.23976061,-1.6403890829400425,1.21,245.86243,255,263,2024-02-06,KANPUR DEHAT,129,2024-06-30T00:00:00,7.5,2.073583,369,364,376,373,2.2669141,2023-07-01T00:00:00,30.48923529411765,Korari,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.9987938908009,26.33460662737004]}"
4_0,0.56,0.07194651,0.36,0.57,7.36,0.102711625,129,3.15,49.5,0.23736046,0.22,16,0.10123256,13,0.20169535,0.14862558,7.075093224860934,0.94,-0.0,192,217,2024-02-28,KANPUR DEHAT,133,2024-06-30T00:00:00,7.8,2.1849499,339,331,468,453,0.0,2023-07-01T00:00:00,30.341151515151513,Doharapur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.77888630924845,26.327060778983437]}"
5_0,0.72,0.12739515,0.32,0.64,5.37,0.1537006,181,3.02,53,0.25110123,0.24,15,0.17116,13,0.2742218,0.23976061,-1.6403890829400425,1.67,245.86243,255,263,2024-02-05,KANPUR DEHAT,129,2024-06-30T00:00:00,7.5,2.073583,369,364,376,373,2.2669141,2023-07-01T00:00:00,30.48923529411765,Korari,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.9987938908009,26.33460662737004]}"
6_0,0.47,0.10358095,0.89,0.71,4.56,0.13368095,218,4.01,42.75,0.34956428,0.19,13,0.14576904,11,0.25843096,0.1868143,-1.1505304081728975,0.71,228.13274,208,223,2024-02-28,KANPUR DEHAT,134,2024-06-30T00:00:00,7.6,2.1849499,338,335,454,442,1.3894205,2023-07-01T00:00:00,30.35878787878788,Doharapur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.78023378217462,26.33460662737004]}"
7_0,0.66,0.0645619,0.3,0.48,7.6,0.10124524,173,3.24,56.25,0.29462618,0.25,17,0.10894762,7,0.2575738,0.1862238,-1.1507310864351008,0.83,48.1365,212,245,2024-02-10,KANPUR DEHAT,136,2024-06-30T00:00:00,8,2.294486,328,313,460,442,1.3895222,2023-07-01T00:00:00,30.480375000000006,Rasadhan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.67755634519976,26.349967818728484]}"
8_0,0.62,0.09338405,0.52,0.64,5.31,0.12681963,246,1.25,56.25,0.32016933,0.25,10,0.13346565,14,0.28179938,0.2098092,-0.7470700297510986,0.28,180.0,228,244,2024-02-04,KANPUR DEHAT,133,2024-06-30T00:00:00,7.4,1.9186196,375,371,397,386,0.92740995,2023-07-01T00:00:00,30.377500000000005,Karbak,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.04945887282524,26.439709515612023]}"
9_0,0.54,0.08466667,0.51,0.6,4.87,0.11008182,157,4.21,56.25,0.2972794,0.25,17,0.105744846,9,0.23720606,0.16727333,2.038208163786777,1.3,-0.0,222,244,2024-02-04,KANPUR DEHAT,128,2024-06-30T00:00:00,7.8,1.9502566,364,355,414,401,0.0,2023-07-01T00:00:00,30.342937500000005,Korari,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.01954497386407,26.320053919767304]}"
10_0,0.66,0.17844523,0.83,0.48,6.6,0.20857382,192,4.38,56.25,0.31653094,0.25,12,0.23002143,15,0.33953094,0.29952857,-1.6402983607954438,0.23,245.86134,200,230,2024-03-01,KANPUR DEHAT,137,2024-06-30T00:00:00,6.6,2.294486,334,323,466,448,2.266819,2023-07-01T00:00:00,30.48690322580645,Budhauli,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.67216645349505,26.328947241080087]}"
11_0,0.45,0.08851667,0.45,0.58,7.63,0.11750952,217,3.02,49.5,0.27890953,0.22,19,0.1361643,16,0.29254285,0.22578572,-2.0654285990188423,0.63,143.34663,208,237,2024-02-13,KANPUR DEHAT,139,2024-06-30T00:00:00,6.9,2.30825,332,320,460,442,3.4640584,2023-07-01T00:00:00,30.452875000000002,Jarauli,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.70908721167235,26.372874858473534]}"
12_0,0.46,0.1116988,0.61,0.68,3.62,0.143,264,3.45,56.25,0.34156507,0.25,19,0.15299398,14,0.2812253,0.20707229,4.809689751444759,0.22,-0.0,230,265,2024-02-29,KANPUR DEHAT,132,2024-06-30T00:00:00,7.9,2.0518315,379,360,391,376,0.0,2023-07-01T00:00:00,30.34569696969697,Asanda,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.95351880048128,26.44914182609528]}"
13_0,0.6,0.08407317,0.45,0.65,8.61,0.11621708,203,3.48,56.25,0.31412196,0.25,15,0.11322927,12,0.2501683,0.17231585,-0.8558059975045706,1.54,90.0,256,262,2024-02-04,KANPUR DEHAT,133,2024-06-30T00:00:00,7.4,2.073583,376,376,368,362,1.0348119,2023-07-01T00:00:00,30.462999999999997,Jalalpur Nagin,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.9837021940277,26.338110056978106]}"
15_0,0.36,0.12675595,0.52,0.74,5.02,0.15475953,135,3.23,36,0.28025237,0.16,9,0.18215,14,0.34063214,0.273025,-1.7880185109764863,0.45,280.16107,262,273,2024-02-04,KANPUR DEHAT,130,2024-06-30T00:00:00,8.4,2.073583,376,373,362,354,5.242723,2023-07-01T00:00:00,30.488941176470597,Korari,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.98046825900487,26.345386410779476]}"
16_0,0.46,0.08380698,0.42,0.63,6.09,0.116976745,150,1.98,60.75,0.31433254,0.27,19,0.1314,8,0.28188837,0.21533954,-1.68916794423341,1.31,12.608463,232,264,2024-02-10,KANPUR DEHAT,142,2024-06-30T00:00:00,7.2,2.2143755,395,376,373,360,4.7412014,2023-07-01T00:00:00,30.409870967741934,Kathika,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.7605606774524,26.60329272885019]}"
17_0,0.38,0.095070735,0.41,0.71,7.6,0.13394146,253,2.08,40.5,0.33125854,0.18,13,0.15391463,10,0.2902317,0.22015122,-2.332320035267592,1.24,245.84813,196,229,2024-02-14,KANPUR DEHAT,138,2024-06-30T00:00:00,7.6,2.2254422,358,344,446,428,4.524245,2023-07-01T00:00:00,30.447249999999997,Jahangirpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.75651825867386,26.25726168140735]}"
18_0,0.61,0.10112558,0.49,0.47,6.87,0.13439302,157,2.35,47.25,0.28325582,0.21,13,0.14910698,10,0.29848605,0.2427814,-1.1544356464390022,1.07,131.79492,237,268,2024-02-17,KANPUR DEHAT,141,2024-06-30T00:00:00,7.9,2.2143755,383,371,380,362,1.391381,2023-07-01T00:00:00,30.41117647058824,Salempur Mahera,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.76837602042424,26.627008252350944]}"
19_0,0.45,0.06967317,0.4,0.51,4.81,0.100185364,162,2.35,56.25,0.26039025,0.25,9,0.10377317,16,0.22453903,0.16929269,2.0374636745968613,1.04,-0.0,202,223,2024-02-19,KANPUR DEHAT,138,2024-06-30T00:00:00,7.8,2.2786603,340,333,458,444,0.0,2023-07-01T00:00:00,30.398914285714284,Jalalpur Derapur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.66785454013127,26.407639659968957]}"
20_0,0.56,0.13060994,0.41,0.57,4.03,0.15525529,106,4.08,76.5,0.2605497,0.34,20,0.17077205,13,0.2793087,0.23136087,-1.6420681380240043,1.07,245.88217,236,251,2024-02-02,KANPUR DEHAT,134,2024-06-30T00:00:00,7.6,1.9186196,381,376,383,373,2.268657,2023-07-01T00:00:00,30.3694705882353,Karchal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.04487746487624,26.44132648312344]}"
21_0,0.75,0.09449383,0.59,0.68,5.6,0.13533333,161,3.98,42.75,0.35532716,0.19,18,0.15712963,14,0.30860618,0.22457531,-2.3326262761727,0.78,114.14824,246,260,2024-03-04,KANPUR DEHAT,133,2024-06-30T00:00:00,7.8,2.0693486,365,358,389,382,4.524882,2023-07-01T00:00:00,30.440787878787877,Malasa,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.92225742859392,26.276934786129566]}"
22_0,0.58,0.07229512,0.72,0.59,7.84,0.09923903,151,6.9,63,0.2832,0.28,20,0.09739024,11,0.24753658,0.18285854,-1.4386179329769815,0.81,-0.0,204,232,2024-02-20,KANPUR DEHAT,133,2024-06-30T00:00:00,7.9,2.2686865,360,348,436,420,1.8543341,2023-07-01T00:00:00,30.430352941176466,Kathari,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.7282213272241,26.251602295117397]}"
