system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.5,0.069809526,1.384,0.71,11.624,0.09413333,140,16.334,63,0.24454285,0.28,15,0.089990474,13,0.21063095,0.15771547,1.3302714336819736,1.502,-0.0,243,284,2024-03-11,KANPUR NAGAR,132,2024-06-30T00:00:00,7.7,2.252312,375,356,383,360,0.92740995,2023-07-01T00:00:00,30.413882352941187,Dubiyana,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.13920056970879,26.68441059900618]}"
1_0,0.56,0.069809526,1.194,0.7,16.462,0.09413333,138,19.71,54,0.24454285,0.24,21,0.089990474,13,0.21063095,0.15771547,1.3302714336819736,1.064,-0.0,243,284,2024-03-11,KANPUR NAGAR,132,2024-06-30T00:00:00,8.1,2.252312,375,356,383,360,0.92740995,2023-07-01T00:00:00,30.413882352941187,Dubiyana,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.13920056970879,26.68441059900618]}"
3_0,0.47,0.078791566,1.282,0.7,11.638,0.10640241,239,10.234,56.25,0.28443855,0.25,17,0.10739879,18,0.25635302,0.19251928,-1.5785466668823234,1.876,209.23167,243,284,2024-03-07,KANPUR NAGAR,135,2024-06-30T00:00:00,7.8,2.252312,375,356,383,360,2.1247082,2023-07-01T00:00:00,30.413882352941187,Dubiyana,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.13893107512355,26.685488577347126]}"
4_0,0.59,0.069809526,1.29,0.68,16.09,0.09413333,200,18.214,74.25,0.24454285,0.33,11,0.089990474,18,0.21063095,0.15771547,1.3302714336819736,1.238,-0.0,243,284,2024-03-07,KANPUR NAGAR,132,2024-06-30T00:00:00,7.8,2.252312,375,356,383,360,0.92740995,2023-07-01T00:00:00,30.413882352941187,Dubiyana,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.13920056970879,26.68441059900618]}"
6_0,0.6,0.0665,0.588,0.59,16.658,0.09377952,166,15.83,49.5,0.30475783,0.22,15,0.083426505,11,0.22749037,0.16073614,-0.8617209391619864,1.158,90.0,259,296,2024-02-03,KANPUR NAGAR,136,2024-06-30T00:00:00,8.4,2.2865222,385,365,356,339,1.0379038,2023-07-01T00:00:00,30.375444444444433,Bhatpura Shivrajpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.15213630980011,26.680907169398115]}"
7_0,0.68,0.0665,0.736,0.77,13.064,0.09377952,96,17.696,56.25,0.30475783,0.25,11,0.083426505,12,0.22749037,0.16073614,-0.8617209391619864,1.294,90.0,259,296,2024-02-04,KANPUR NAGAR,136,2024-06-30T00:00:00,7.9,2.2865222,385,365,356,339,1.0379038,2023-07-01T00:00:00,30.375444444444433,Bhatpura Shivrajpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.15213630980011,26.680907169398115]}"
8_0,0.64,0.0665,0.23,0.56,8.416,0.09377952,116,10.87,56.25,0.30475783,0.25,13,0.083426505,10,0.22749037,0.16073614,-0.8617209391619864,1.692,90.0,259,296,2024-02-03,KANPUR NAGAR,136,2024-06-30T00:00:00,8.2,2.2865222,385,365,356,339,1.0379038,2023-07-01T00:00:00,30.375444444444433,Bhatpura Shivrajpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.15213630980011,26.680907169398115]}"
9_0,0.65,0.0665,0.61,0.55,10.348,0.09377952,138,16.828,121.5,0.30475783,0.54,13,0.083426505,17,0.22749037,0.16073614,-0.8617209391619864,1.228,90.0,259,296,2024-02-03,KANPUR NAGAR,136,2024-06-30T00:00:00,8,2.2865222,385,365,356,339,1.0379038,2023-07-01T00:00:00,30.375444444444433,Bhatpura Shivrajpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.15213630980011,26.680907169398115]}"
10_0,0.52,0.0665,1.826,0.56,10.11,0.09377952,195,18.566,114.75,0.30475783,0.51,16,0.083426505,13,0.22749037,0.16073614,-0.8617209391619864,1.11,90.0,259,296,2024-02-03,KANPUR NAGAR,136,2024-06-30T00:00:00,8.2,2.2865222,385,365,356,339,1.0379038,2023-07-01T00:00:00,30.375444444444433,Bhatpura Shivrajpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.15213630980011,26.680907169398115]}"
11_0,0.45,0.089125,1.19,0.52,10.372,0.12155833,228,16.827,96.75,0.3386905,0.43,9,0.12851429,15,0.27094167,0.19680595,-1.1550180581662535,1.628,131.78426,236,271,2024-02-04,KANPUR NAGAR,133,2024-06-30T00:00:00,7.7,2.2865222,368,350,396,379,1.3916707,2023-07-01T00:00:00,30.38647058823529,Bhatpura Shivrajpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.1626465986243,26.66958839681821]}"
12_0,0.72,0.13160361,1.438,0.5,14.138,0.15183012,138,11.404,54,0.23169157,0.24,8,0.16825663,10,0.25511205,0.21134578,-1.442031427966864,1.748,-0.0,240,284,2024-02-03,KANPUR NAGAR,134,2024-06-30T00:00:00,8.2,2.2865222,385,361,375,355,1.8543341,2023-07-01T00:00:00,30.466333333333335,Bhatpura Shivrajpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.15833468526053,26.651532259607407]}"
13_0,0.59,0.13160361,1.872,0.53,16.256,0.15183012,115,15.124,63,0.23169157,0.28,12,0.16825663,15,0.25511205,0.21134578,-1.442031427966864,1.312,-0.0,240,284,2024-02-03,KANPUR NAGAR,134,2024-06-30T00:00:00,8,2.2865222,385,361,375,355,1.8543341,2023-07-01T00:00:00,30.466333333333335,Bhatpura Shivrajpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.15833468526053,26.651532259607407]}"
14_0,0.62,0.13160361,1.686,0.57,18.162,0.15183012,128,16.99,49.5,0.23169157,0.22,14,0.16825663,10,0.25511205,0.21134578,-1.442031427966864,1.052,-0.0,240,284,2024-02-03,KANPUR NAGAR,134,2024-06-30T00:00:00,8.2,2.2865222,385,361,375,355,1.8543341,2023-07-01T00:00:00,30.466333333333335,Bhatpura Shivrajpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.15833468526053,26.651532259607407]}"
19_0,0.64,0.094220236,0.758,0.8,9.588,0.13678214,132,15.236,101.25,0.31094524,0.45,18,0.15652262,15,0.30816904,0.25020477,-0.8851808056612931,1.542,150.77274,246,284,2024-02-04,KANPUR NAGAR,132,2024-06-30T00:00:00,8.1,2.2865222,373,354,381,362,2.124617,2023-07-01T00:00:00,30.44251428571429,Bhatpura Shivrajpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.15321428814104,26.6650069888692]}"
20_0,0.46,0.12394458,1.086,0.85,14.212,0.1634976,179,14.322,74.25,0.30729276,0.33,13,0.18721566,10,0.33171326,0.28259277,-0.7487358720455494,1.802,-0.0,258,299,2024-02-11,KANPUR NAGAR,130,2024-06-30T00:00:00,7.5,2.0560467,379,362,364,339,0.92740995,2023-07-01T00:00:00,30.45175,Markhara,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.22166591279095,26.634015111567077]}"
21_0,0.56,0.08429277,1.14,0.72,17.748,0.11705422,169,6.686,63,0.29235783,0.28,11,0.1243012,16,0.30019638,0.23991084,-0.8609092364147695,0.834,90.0,258,299,2024-02-11,KANPUR NAGAR,130,2024-06-30T00:00:00,8,2.0560467,379,362,364,339,1.037477,2023-07-01T00:00:00,30.45175,Markhara,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.2219354073762,26.634015111567077]}"
22_0,0.5,0.08429277,1.34,0.67,15.34,0.11705422,119,8.588,54,0.29235783,0.24,16,0.1243012,18,0.30019638,0.23991084,-0.8609092364147695,0.484,90.0,258,299,2024-02-11,KANPUR NAGAR,130,2024-06-30T00:00:00,7.7,2.0560467,379,362,364,339,1.037477,2023-07-01T00:00:00,30.45175,Markhara,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.2219354073762,26.634015111567077]}"
23_0,0.47,0.069524094,1.506,0.7,18.464,0.099620484,176,13.702,67.5,0.34483373,0.3,9,0.092587955,16,0.2599494,0.18006746,-1.5779937340078456,1.03,29.220676,258,299,2024-02-11,KANPUR NAGAR,129,2024-06-30T00:00:00,8.2,2.0560467,379,362,364,339,2.1244802,2023-07-01T00:00:00,30.45175,Markhara,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.2219354073762,26.634284606152313]}"
24_0,0.7,0.08429277,1.16,0.48,16.706,0.11705422,192,11.316,94.5,0.29235783,0.42,12,0.1243012,14,0.30019638,0.23991084,-0.8609092364147695,1.942,90.0,258,299,2024-02-11,KANPUR NAGAR,130,2024-06-30T00:00:00,7.7,2.0560467,379,362,364,339,1.037477,2023-07-01T00:00:00,30.45175,Markhara,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.2219354073762,26.634015111567077]}"
25_0,0.55,0.12288434,0.82,0.7,18.646,0.16815302,160,18.686,76.5,0.33241084,0.34,12,0.20291686,15,0.371047,0.3084265,4.78796800230348,1.164,90.0,262,301,2024-02-11,KANPUR NAGAR,128,2024-06-30T00:00:00,7.9,2.0560467,375,359,364,340,1.0374821,2023-07-01T00:00:00,30.43075,Markhara,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.21950995610906,26.63455410073755]}"
26_0,0.56,0.08406625,1.596,0.63,15.124,0.11416,248,16.236,81,0.303635,0.36,12,0.121955,10,0.25892127,0.193075,-0.7459354532503893,1.078,180.0,226,253,2024-02-14,KANPUR NAGAR,126,2024-06-30T00:00:00,7.9,1.6838186,359,347,415,400,0.92740995,2023-07-01T00:00:00,30.360228571428575,Khersa,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.273139378571,26.30684868509075]}"
27_0,0.59,0.154695,1.09,0.54,16.682,0.2006025,200,14.43,74.25,0.33386624,0.33,18,0.22821625,13,0.34079877,0.28601375,-0.34447027856611423,0.894,90.0,237,253,2024-02-14,KANPUR NAGAR,123,2024-06-30T00:00:00,7.7,1.6838186,360,352,403,395,3.1009452,2023-07-01T00:00:00,30.381058823529408,Khersa,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.27852927027573,26.308465652602163]}"
28_0,0.57,0.102735,1.716,0.66,16.424,0.13750625,131,12.228,36,0.30625,0.16,11,0.157605,12,0.29902124,0.23865125,-2.064689984215572,0.946,143.36179,238,259,2024-02-14,KANPUR NAGAR,127,2024-06-30T00:00:00,7.7,1.6838186,359,351,403,391,3.4633787,2023-07-01T00:00:00,30.377999999999997,Khersa,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.27286988398578,26.309004641772635]}"
