system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.61,0.072885364,0.45,0.72,3.5,0.10332195,268.8,3.26,90,0.28701708,0.4,18,0.10761951,11.35,0.24745366,0.17781708,-1.2927263846511348,0.76,73.274086,166,193,2024-03-14,KAUSHAMBI,104,2024-06-30T00:00:00,7.3,2.0090988,315,303,519,504,3.219371,2023-07-01T00:00:00,30.564428571428568,Rampur Dhamawan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.29721880246726,25.64119705955818]}"
1_0,0.57,0.074305,0.36,0.75,6.61,0.1034925,302.4,3.45,72,0.3211725,0.32,13.5,0.1039675,11.05,0.23899,0.162375,-0.44501599788448887,1.06,132.09648,225,245,2024-03-18,KAUSHAMBI,104,2024-06-30T00:00:00,7.7,1.9761068,370,360,404,395,1.383259,2023-07-01T00:00:00,30.401272727272726,Rasoolpur Soni,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.4688868532625,25.383560236072704]}"
2_0,0.55,0.093346156,0.2,0.62,6.61,0.12828206,268.8,2.06,90,0.31141025,0.4,18,0.14275384,14.19,0.29178205,0.22770512,-1.5664551333451318,1.1,28.990507,186,197,2024-03-14,KAUSHAMBI,109,2024-06-30T00:00:00,7.4,1.9098555,303,295,511,508,2.1197386,2023-07-01T00:00:00,30.457212121212123,Juwara,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.2651489468242,25.527739839173886]}"
3_0,0.68,0.086812496,0.32,0.65,6.22,0.1266175,291.2,3.29,76.5,0.3199575,0.34,13.5,0.1405125,12.47,0.302895,0.2342275,-0.44821034201775384,0.38,47.96278,206,229,2024-03-19,KAUSHAMBI,100,2024-06-30T00:00:00,7.5,1.9728742,342,332,452,439,1.3848447,2023-07-01T00:00:00,30.361085714285718,Tarshaura Kachhar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.42819317089189,25.633381716586342]}"
4_0,0.55,0.097005,0.23,0.72,7.39,0.1265625,291.2,2.91,69.75,0.3252,0.31,22.5,0.149275,10.32,0.2620575,0.1826175,-0.8512977748760877,0.57,312.0814,216,222,2024-03-15,KAUSHAMBI,104,2024-06-30T00:00:00,7.9,1.931117,315,312,469,466,4.144551,2023-07-01T00:00:00,30.32911764705882,Sarasawan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.2479012933691,25.447430452773602]}"
5_0,0.62,0.074086845,0.33,0.62,4.67,0.10888158,268.8,3.35,81,0.2913158,0.36,18,0.11045263,11.35,0.26963684,0.1975658,-1.9021184130781097,0.95,20.275875,184,200,2024-03-13,KAUSHAMBI,105,2024-06-30T00:00:00,7.4,1.9098555,299,290,518,509,2.9636326,2023-07-01T00:00:00,30.400322580645163,Nara,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.28670851364306,25.5398670955095]}"
6_0,0.61,0.08489487,0.25,0.62,6.61,0.11484359,291.2,1.65,81,0.2525513,0.36,13.5,0.12021795,10.32,0.24475642,0.19434872,-1.1401371207187763,0.39,312.0599,196,210,2024-03-15,KAUSHAMBI,107,2024-06-30T00:00:00,7.6,1.9228085,355,349,449,441,1.384237,2023-07-01T00:00:00,30.447586206896553,Sarasawan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.3794146509642,25.53798063341285]}"
7_0,0.57,0.1238825,0.24,0.76,6.61,0.153355,280,2.37,83.25,0.2619325,0.37,18,0.177635,13.76,0.288765,0.2431425,-1.9815364664451534,0.6,106.76203,218,247,2024-03-20,KAUSHAMBI,107,2024-06-30T00:00:00,7.7,1.9783748,369,355,414,399,3.2126462,2023-07-01T00:00:00,30.318647058823537,Padumnathpur Sursaini,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.55674208804939,25.366582077202843]}"
8_0,0.64,0.092757896,0.32,0.77,5.83,0.118828945,324.8,2.87,76.5,0.34476054,0.34,22.5,0.106242105,12.47,0.2534421,0.17076579,-0.8412342226176068,0.41,90.0,220,244,2024-03-20,KAUSHAMBI,102,2024-06-30T00:00:00,7.7,2.004198,342,333,438,423,1.0272415,2023-07-01T00:00:00,30.34527272727273,Chilla Shah Bazi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.64190237698392,25.47168496544483]}"
9_0,0.55,0.080717504,0.34,0.68,6.22,0.1045675,268.8,1.65,81,0.2473675,0.36,13.5,0.105155,11.61,0.21171,0.158455,-1.565095416746368,0.41,151.03662,205,234,2024-03-15,KAUSHAMBI,103,2024-06-30T00:00:00,7.9,2.0077262,377,364,419,402,2.1191835,2023-07-01T00:00:00,30.46073333333333,Bat Bandhuri,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.54380634795807,25.393262041141195]}"
