system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,1.11,0.08526486,1.4,0.61,7.58,0.10672973,190,1.51,204.75,0.2916189,0.91,9,0.099502705,12.5,0.23936217,0.16168648,-2.2731980985045808,1.21,77.4132,310,327,2024-03-14,LUCKNOW,120,2024-06-30T00:00:00,7.6,2.467324,334,327,356,346,4.248337,2023-07-01T00:00:00,30.29860606060606,Mahurakala,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.13094064337673,26.729685689325805]}"
1_0,0.82,0.09234722,0.98,0.312,10.79,0.11262778,78,3.62,110.25,0.3081139,0.49,18,0.116,14.9,0.251125,0.16780834,-2.450403074292805,0.98,204.1257,310,327,2024-03-14,LUCKNOW,124,2024-06-30T00:00:00,7.3,2.467324,334,327,356,346,5.0680428,2023-07-01T00:00:00,30.29860606060606,Mahurakala,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.13013215962103,26.72995518391104]}"
2_0,1.21,0.09720556,1.4,0.434,11.36,0.118711114,56,3.36,128.25,0.28655833,0.57,9,0.11899722,11.44,0.271225,0.20110834,-2.069607538996238,0.94,216.73883,310,327,2024-03-14,LUCKNOW,122,2024-06-30T00:00:00,7.4,2.467324,334,327,356,346,3.467902,2023-07-01T00:00:00,30.29860606060606,Mahurakala,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.13040165420627,26.729685689325805]}"
3_0,1.31,0.13849722,1.19,0.288,10.42,0.17,257,3.42,204.75,0.3043389,0.91,18,0.18429722,11.97,0.3104361,0.24789166,-2.0695971471426846,1.19,216.73875,310,327,2024-03-14,LUCKNOW,121,2024-06-30T00:00:00,7.4,2.467324,334,327,356,346,3.4678988,2023-07-01T00:00:00,30.29860606060606,Mahurakala,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.13040165420627,26.72941619474057]}"
4_0,1.11,0.13101111,1.19,0.348,10.79,0.15526389,100,1.84,191.25,0.26554722,0.85,22.5,0.17213888,16.23,0.29400277,0.24670278,-0.4626768601824851,1.28,228.23067,310,327,2024-03-14,LUCKNOW,116,2024-06-30T00:00:00,7.3,2.467324,334,327,356,346,1.3920764,2023-07-01T00:00:00,30.29860606060606,Mahurakala,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.12905418128008,26.72941619474057]}"
5_0,0.98,0.10499167,1.41,0.998,7.42,0.1324861,313,3.41,141.75,0.30893612,0.63,18,0.13423611,13.57,0.26538333,0.19168334,-0.4612829255478108,1.1,311.79504,281,305,2024-01-25,LUCKNOW,119,2024-06-30T00:00:00,8.1,2.3668234,315,308,403,387,1.3913772,2023-07-01T00:00:00,30.28706250000001,Nagram,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.14630183473518,26.626469263180475]}"
6_0,0.72,0.10499167,1.8,1.088,8.03,0.1324861,280,6.76,144,0.30893612,0.64,13.5,0.13423611,11.44,0.26538333,0.19168334,-0.4612829255478108,1.21,311.79504,281,305,2024-01-25,LUCKNOW,119,2024-06-30T00:00:00,8.2,2.3668234,315,308,403,387,1.3913772,2023-07-01T00:00:00,30.28706250000001,Nagram,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.14630183473518,26.626469263180475]}"
7_0,1.11,0.10499167,2.39,0.755,12.34,0.1324861,89,2.57,135,0.30893612,0.6,31.5,0.13423611,14.76,0.26538333,0.19168334,-0.4612829255478108,1.72,311.79504,281,305,2024-01-25,LUCKNOW,119,2024-06-30T00:00:00,7.7,2.3668234,315,308,403,387,1.3913772,2023-07-01T00:00:00,30.28706250000001,Nagram,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.14630183473518,26.626469263180475]}"
8_0,0.88,0.10499167,2.29,0.622,6.18,0.1324861,369,5.92,96.75,0.30893612,0.43,13.5,0.13423611,18.89,0.26538333,0.19168334,-0.4612829255478108,1.45,311.79504,281,305,2024-01-25,LUCKNOW,119,2024-06-30T00:00:00,7.6,2.3668234,315,308,403,387,1.3913772,2023-07-01T00:00:00,30.28706250000001,Nagram,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.14630183473518,26.626469263180475]}"
9_0,0.59,0.10499167,2.29,0.94,16.34,0.1324861,257,5.92,110.25,0.30893612,0.49,36,0.13423611,17.42,0.26538333,0.19168334,-0.4612829255478108,1.58,311.79504,281,305,2024-01-25,LUCKNOW,119,2024-06-30T00:00:00,7.9,2.3668234,315,308,403,387,1.3913772,2023-07-01T00:00:00,30.28706250000001,Nagram,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.14630183473518,26.626469263180475]}"
