system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.247,0.055714287,0.45,0.531,6.41,0.0877381,448,5.09,63,0.29354998,0.28,40.5,0.09055238,10.75,0.24430001,0.17985715,-0.7537508476367332,0.73,-0.0,205,224,2024-02-25,MAINPURI,155,2024-06-30T00:00:00,8.1,2.5613523,453,441,342,335,0.92740995,2023-07-01T00:00:00,30.351375000000004,Ratanpur Kirkitch,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.21914605571357,27.209116556460394]}"
1_0,0.21,0.07630714,0.87,0.582,6.44,0.10718334,403,5.09,78.25,0.30912143,0.35,27,0.11660476,10.45,0.27082857,0.211,2.0305052228770197,0.73,-0.0,205,224,2024-02-25,MAINPURI,155,2024-06-30T00:00:00,7.1,2.5613523,453,441,342,335,0.0,2023-07-01T00:00:00,30.351375000000004,Ratanpur Kirkitch,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.2194155502988,27.209116556460394]}"
2_0,0.341,0.08890476,0.45,0.43,2.09,0.120188095,280,4.06,78.15,0.28810477,0.35,49.5,0.13494286,18.69,0.2780857,0.22369523,-1.6543832098639093,0.97,113.97341,205,224,2024-02-25,MAINPURI,155,2024-06-30T00:00:00,7.5,2.5613523,453,441,342,335,2.281496,2023-07-01T00:00:00,30.351375000000004,Ratanpur Kirkitch,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.21914605571357,27.208847061875158]}"
3_0,0.243,0.07380864,0.12,0.672,4.98,0.10218148,336,4.95,85.5,0.26391235,0.38,27,0.1133321,19.36,0.2711321,0.20508148,-1.5842816270142375,0.83,29.346281,179,200,2024-03-04,MAINPURI,158,2024-06-30T00:00:00,7.6,1.9577873,459,445,362,355,2.1270914,2023-07-01T00:00:00,30.37676470588235,Adhar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.00705381713296,27.21396745899464]}"
4_0,0.294,0.07214524,0.2,0.485,4.45,0.11255238,448,3.09,33.75,0.33862856,0.15,36,0.11512143,13.81,0.27029762,0.20435715,4.25013647231798,0.74,-0.0,202,221,2024-02-25,MAINPURI,152,2024-06-30T00:00:00,7.1,2.5613523,449,436,349,342,0.92740995,2023-07-01T00:00:00,30.351375000000004,Adhar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.22211049615116,27.214236953579878]}"
5_0,0.128,0.068890475,0.45,0.731,3.09,0.11097381,448,3.67,72,0.31214046,0.32,13.5,0.12296191,13.08,0.30054048,0.23679523,-1.1623438568645559,0.88,311.64893,208,224,2024-02-24,MAINPURI,153,2024-06-30T00:00:00,7.2,2.5613523,449,439,343,337,1.3953612,2023-07-01T00:00:00,30.38425806451613,Adhar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.22480544200353,27.205882621437564]}"
6_0,0.31,0.0471,0.36,0.285,9.89,0.08354762,319,3.05,119,0.3358381,0.53,40.5,0.08085,23.11,0.2402381,0.16560239,-0.753733854481429,0.87,180.0,206,225,2024-02-25,MAINPURI,152,2024-06-30T00:00:00,7.2,2.5613523,458,446,336,329,0.92740995,2023-07-01T00:00:00,30.347823529411773,Adhar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.22130201239545,27.20749958894898]}"
7_0,0.307,0.068890475,0.22,0.73,3.4,0.11097381,426,3.07,132.75,0.31214046,0.59,13.5,0.12296191,16.99,0.30054048,0.23679523,-1.1623438568645559,0.8,311.64893,208,224,2024-02-25,MAINPURI,153,2024-06-30T00:00:00,7.5,2.5613523,449,439,343,337,1.3953612,2023-07-01T00:00:00,30.38425806451613,Adhar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.22480544200353,27.205882621437564]}"
8_0,0.166,0.07987907,0.2,0.373,3.65,0.119153485,45,4.29,92.25,0.30849302,0.41,27,0.13072325,14.87,0.28207675,0.21979535,-0.8708318484024452,0.34,270.0,202,214,2024-02-25,MAINPURI,154,2024-06-30T00:00:00,7.7,2.4928448,437,429,361,357,1.0426804,2023-07-01T00:00:00,30.29888235294117,Adhar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.20621031562224,27.198606267636197]}"
9_0,0.251,0.089527905,0.2,1.132,5.65,0.12445116,314,1.11,119.25,0.29396045,0.53,27,0.13163954,10.75,0.26087674,0.19985582,3.2198367542858555,0.29,131.65163,214,227,2024-02-25,MAINPURI,151,2024-06-30T00:00:00,7.2,2.4928448,443,435,343,338,1.3952874,2023-07-01T00:00:00,30.29181818181818,Adhar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.21052222898602,27.195372332613367]}"
10_0,0.323,0.05810476,0.22,0.93,4.44,0.090585716,291,3.47,15.75,0.25984287,0.07,31.5,0.09927381,11.48,0.23920476,0.17531905,-1.5842379423149175,0.25,330.6545,205,224,2024-02-25,MAINPURI,156,2024-06-30T00:00:00,7.8,2.5613523,449,437,346,339,2.127075,2023-07-01T00:00:00,30.351375000000004,Adhar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.22049352863975,27.21019453480134]}"
11_0,0.287,0.06838571,0.17,0.892,4.04,0.11111905,437,3.87,72,0.32326904,0.32,22.5,0.11686905,16.42,0.2933357,0.2233381,2.0304919582349714,0.53,-0.0,205,224,2024-02-24,MAINPURI,154,2024-06-30T00:00:00,7.4,2.5613523,449,437,346,339,0.0,2023-07-01T00:00:00,30.351375000000004,Adhar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.21968504488405,27.21073352397181]}"
12_0,0.251,0.06838571,0.17,0.926,3.9,0.11111905,325,3.56,49.5,0.32326904,0.22,45,0.11686905,14.02,0.2933357,0.2233381,2.0304919582349714,0.53,-0.0,205,224,2024-02-25,MAINPURI,154,2024-06-30T00:00:00,7.1,2.5613523,449,437,346,339,0.0,2023-07-01T00:00:00,30.351375000000004,Adhar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.21968504488405,27.21073352397181]}"
13_0,0.284,0.055714287,0.28,0.731,4.01,0.0877381,403,4.45,60.75,0.29354998,0.27,18,0.09055238,15.33,0.24430001,0.17985715,-0.7537508476367332,0.33,-0.0,205,224,2024-02-25,MAINPURI,155,2024-06-30T00:00:00,7.4,2.5613523,453,441,342,335,0.92740995,2023-07-01T00:00:00,30.351375000000004,Adhar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.21914605571357,27.209116556460394]}"
14_0,0.184,0.055714287,0.2,0.845,3.05,0.0877381,381,3.71,92.25,0.29354998,0.45,36,0.09055238,11.78,0.24430001,0.17985715,-0.7537508476367332,0.76,-0.0,205,224,2024-02-25,MAINPURI,155,2024-06-30T00:00:00,7.8,2.5613523,453,441,342,335,0.92740995,2023-07-01T00:00:00,30.351375000000004,Adhar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.21914605571357,27.209116556460394]}"
