system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.18,0.069341466,0.23,0.9,1.12,0.09994634,257,3.3,108,0.28848293,0.48,15.7,0.098197564,14.84,0.22020732,0.16928293,-0.06395316053826827,0.3,180.0,285,280,2024-02-21,MATHURA,184,2024-06-30T00:00:00,8.1,1.6921611,399,399,317,321,0.92740995,2023-07-01T00:00:00,30.343000000000004,Dirawali,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.46258034914626,27.58479200827918]}"
1_0,0.21,0.073817074,0.43,0.1,1.8,0.106443904,268,3.5,117,0.27748048,0.52,11.2,0.1167317,8.78,0.24038048,0.18686098,-2.079925247526751,0.53,323.04993,288,281,2024-02-21,MATHURA,187,2024-06-30T00:00:00,7.1,1.6921611,394,395,319,325,3.4774723,2023-07-01T00:00:00,30.345942857142862,Dirawali,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.46608377875432,27.587756448716775]}"
2_0,0.4,0.096263416,0.28,0.2,1.66,0.123202436,146,6.1,108,0.3038683,0.48,22.5,0.123387806,6.36,0.23517074,0.17826097,-1.1677314625509427,0.41,311.54965,311,308,2024-02-21,MATHURA,187,2024-06-30T00:00:00,8.5,1.6921611,392,390,297,302,1.3980863,2023-07-01T00:00:00,30.35725714285714,Dirawali,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.453148038663,27.591529372910074]}"
3_0,0.19,0.096263416,0.37,0.9,2.19,0.123202436,246,4.69,101.25,0.3038683,0.45,22.5,0.123387806,6.66,0.23517074,0.17826097,-1.1677314625509427,0,311.54965,311,308,2024-02-21,MATHURA,187,2024-06-30T00:00:00,8.1,1.6921611,392,390,297,302,1.3980863,2023-07-01T00:00:00,30.35725714285714,Dirawali,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.453148038663,27.591529372910074]}"
4_0,0.42,0.1094439,0.37,1,3.29,0.13577561,313,12.01,128.25,0.31466585,0.57,11.2,0.13364878,8.48,0.23794635,0.1862561,-1.1676589975146292,0.8,228.44899,287,288,2024-02-21,MATHURA,185,2024-06-30T00:00:00,8.5,1.6921611,400,395,313,317,1.3980486,2023-07-01T00:00:00,30.35725714285714,Dirawali,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.45395652241871,27.586408975790594]}"
5_0,0.41,0.07422439,0.49,0.1,0.6,0.10306341,268,3.69,101.25,0.29241952,0.45,22.5,0.103487805,9.69,0.22949025,0.18143171,-0.8776915097110009,0.96,270.0,294,296,2024-02-21,MATHURA,187,2024-06-30T00:00:00,8.1,1.6921611,397,394,309,311,1.0462898,2023-07-01T00:00:00,30.364285714285707,Dirawali,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.45934641412343,27.58074958950064]}"
6_0,0.44,0.092141464,0.32,0.2,1.09,0.11986586,213,15.12,137.25,0.29072925,0.61,27,0.12907317,6.36,0.24479513,0.18854146,3.5417630277782357,0.45,131.55022,310,307,2024-02-21,MATHURA,184,2024-06-30T00:00:00,7.1,1.6921611,393,391,297,302,1.3980705,2023-07-01T00:00:00,30.35725714285714,Dirawali,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.4523395549073,27.589373416228188]}"
7_0,0.36,0.14540976,0.43,0.4,0.16,0.1845122,179,0.27,69.75,0.33281708,0.31,38.2,0.2086195,17.27,0.32549757,0.28030244,2.90725141198104,0.04,270.0,325,318,2024-02-21,MATHURA,183,2024-06-30T00:00:00,8.1,1.7052935,408,411,267,272,3.1347685,2023-07-01T00:00:00,30.534882352941175,Devseras,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.38873883279163,27.53466601542531]}"
8_0,0.41,0.09956341,0.18,0.9,0.09,0.13849756,213,10.74,29.25,0.32976586,0.13,3.37,0.15504146,13.33,0.2843439,0.2305122,-1.4497593981874435,0.09,180.0,317,315,2024-02-21,MATHURA,184,2024-06-30T00:00:00,7.8,1.7052935,400,399,283,286,1.8543341,2023-07-01T00:00:00,30.525529411764705,Devseras,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.3952067028373,27.530893091232006]}"
9_0,0.36,0.109085366,0.26,0.4,0.89,0.14930488,213,4.13,81,0.31762683,0.36,38.2,0.1691195,11.51,0.29465365,0.23979269,-0.06829060353635624,0.62,48.435177,309,310,2024-02-22,MATHURA,182,2024-06-30T00:00:00,7.9,1.692545,410,406,281,283,1.3976686,2023-07-01T00:00:00,30.490764705882352,Devseras,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.40490850790579,27.533049047913895]}"
10_0,0.3,0.109256096,0.31,0.6,0.41,0.14709024,179,11.05,74.25,0.30318537,0.33,27,0.16791463,11.51,0.3005439,0.24107073,0.3760539545314829,0.54,90.0,315,313,2024-02-22,MATHURA,180,2024-06-30T00:00:00,7.8,1.7052935,404,401,282,286,2.0908303,2023-07-01T00:00:00,30.525529411764705,Devseras,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.39062529488828,27.52550319952729]}"
11_0,0.37,0.1053,0.31,0.4,0.25,0.14449756,201,4.2,63,0.32448292,0.28,42.7,0.16062196,13.36,0.2900878,0.23347561,-0.8945787393465874,1.05,150.58487,315,313,2024-02-22,MATHURA,181,2024-06-30T00:00:00,7.4,1.7052935,404,401,282,286,2.1285298,2023-07-01T00:00:00,30.4965294117647,Devseras,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.39035580030306,27.524964210356817]}"
12_0,0.42,0.16325122,0.24,0.4,0.41,0.19154878,213,4.18,31.5,0.28885365,0.14,31.5,0.2259,11.51,0.3150561,0.28109512,-0.9185133025031688,0.38,106.46835,300,301,2024-02-22,MATHURA,182,2024-06-30T00:00:00,8.1,1.692545,419,417,281,282,3.2681887,2023-07-01T00:00:00,30.49436363636364,Devseras,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.40005760537154,27.521460780748754]}"
13_0,0.4,0.1138275,0.31,0.9,0.7,0.15213,246,5.43,63,0.339355,0.28,40.5,0.17114,11.81,0.298975,0.2386325,1.7624416427400837,0.23,90.0,284,286,2024-02-22,MATHURA,182,2024-06-30T00:00:00,8.3,1.692545,407,403,309,311,1.0457106,2023-07-01T00:00:00,30.457818181818183,Devseras,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.40410002415008,27.520113307822573]}"
