system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.59,0.10618,0.58,0.31,8.76,0.12548,167,7.56,87.75,0.205075,0.39,18,0.137555,22.68,0.21264,0.176905,-1.608871630212952,0.84,209.83887,241,250,2024-03-19,MUZAFFARNAGAR,245,2024-06-30T00:00:00,7.8,3.1765993,377,370,382,381,2.1374927,2023-07-01T00:00:00,30.222999999999995,Khanupur (CT),"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.71536627009749,29.3459391227955]}"
1_0,0.72,0.13033,0.32,0.39,9.38,0.1465925,194,9.36,110.25,0.207295,0.49,18,0.161,32.76,0.2092,0.1827175,-0.9977838202313962,0.64,246.4504,241,250,2024-03-19,MUZAFFARNAGAR,240,2024-06-30T00:00:00,7.54,3.1765993,377,370,382,381,2.3201108,2023-07-01T00:00:00,30.222999999999995,Khanupur (CT),"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.71536627009749,29.34486114445456]}"
2_0,0.95,0.080205,0.69,0.39,7.29,0.10595,162,5.26,96.75,0.27202252,0.43,22.5,0.1044,30.24,0.2200225,0.1605675,1.0182308922255787,0.64,-0.0,243,252,2024-03-19,MUZAFFARNAGAR,240,2024-06-30T00:00:00,7.44,3.1765993,375,368,382,380,0.92740995,2023-07-01T00:00:00,30.18742105263158,Khanupur (CT),"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.7132103134156,29.34728659572168]}"
4_0,0.39,0.072975,0.84,0.33,8.52,0.096085,153,6.89,81,0.272895,0.36,27,0.090025,31.5,0.2022125,0.1459,-1.46184731157393,0.42,300.16058,244,251,2024-03-19,MUZAFFARNAGAR,239,2024-06-30T00:00:00,7.41,3.305854,371,364,386,386,3.6869593,2023-07-01T00:00:00,30.20827777777778,Khanupur (CT),"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.70593395961424,29.350251036159275]}"
5_0,0.91,0.072975,0.63,0.51,8.76,0.096085,131,4.29,92.25,0.272895,0.41,18,0.090025,25.2,0.2022125,0.1459,-1.46184731157393,0.57,300.16058,244,251,2024-03-19,MUZAFFARNAGAR,239,2024-06-30T00:00:00,7.8,3.305854,371,364,386,386,3.6869593,2023-07-01T00:00:00,30.20827777777778,Khanupur (CT),"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.70593395961424,29.350251036159275]}"
6_0,0.42,0.08785714,0.58,0.59,9.38,0.11610714,126,8.67,123.75,0.26987618,0.55,13.5,0.120273806,21.42,0.23644048,0.1837,-0.7735982844562825,0.52,180.0,242,255,2024-03-02,MUZAFFARNAGAR,242,2024-06-30T00:00:00,7.68,3.305854,384,378,373,367,0.92740995,2023-07-01T00:00:00,30.17768421052632,Johra,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.73261392355259,29.356179917034464]}"
7_0,0.42,0.07210714,0.26,0.54,8.76,0.09754524,122,4.29,128.25,0.29518095,0.57,31.5,0.09381191,25.2,0.21314047,0.14911905,6.071075610253329,0.57,-0.0,237,250,2024-03-02,MUZAFFARNAGAR,241,2024-06-30T00:00:00,7.35,3.305854,381,374,383,376,0.0,2023-07-01T00:00:00,30.164263157894737,Johra,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.72803251560357,29.358605368301586]}"
8_0,0.36,0.08985238,0.48,0.59,8.52,0.12017619,158,2.85,117,0.28594285,0.52,27,0.13247381,34.02,0.26559284,0.20769286,-1.6090528536235047,0.68,29.842508,238,248,2024-03-02,MUZAFFARNAGAR,244,2024-06-30T00:00:00,7.59,3.305854,387,381,375,371,2.1375706,2023-07-01T00:00:00,30.147210526315792,Johra,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.73611735316065,29.36076132498347]}"
9_0,0.98,0.07437857,0.48,0.76,9.38,0.100761905,176,8.95,92.25,0.2798857,0.41,36,0.09591429,18.9,0.21351428,0.14450476,-1.4667859554736895,0.52,180.0,240,254,2024-03-02,MUZAFFARNAGAR,243,2024-06-30T00:00:00,7.29,3.305854,385,377,374,368,1.8543341,2023-07-01T00:00:00,30.164263157894737,Johra,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.73234442896735,29.35968334664253]}"
10_0,0.36,0.07824524,0.38,0.83,9.64,0.102026194,180,4.29,123.75,0.28482857,0.55,13.5,0.10042143,15.12,0.22346191,0.15019286,0.3620764352394143,0.68,20.92942,239,252,2024-03-03,MUZAFFARNAGAR,240,2024-06-30T00:00:00,7.4,3.305854,383,376,378,372,2.9763453,2023-07-01T00:00:00,30.164263157894737,Johra,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.73315291272306,29.35833587371635]}"
11_0,0.95,0.07519524,0.48,0.49,9.64,0.09917381,171,5.26,94.5,0.26239523,0.42,31.5,0.09599048,21.42,0.21687143,0.15088572,-1.1936100085460997,0.75,131.07483,242,255,2024-03-03,MUZAFFARNAGAR,241,2024-06-30T00:00:00,7.59,3.305854,384,378,373,367,1.4113257,2023-07-01T00:00:00,30.17768421052632,Johra,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.73315291272306,29.356988400790172]}"
12_0,0.62,0.07579047,0.58,0.69,9.38,0.103159525,153,5.26,114.75,0.28614524,0.51,18,0.10316667,23.94,0.21852857,0.15440714,0.1426441750463573,0.57,-0.0,237,251,2024-03-03,MUZAFFARNAGAR,242,2024-06-30T00:00:00,7.49,3.305854,380,373,383,376,1.8543341,2023-07-01T00:00:00,30.164263157894737,Johra,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.729649483115,29.35968334664253]}"
13_0,0.95,0.07254524,0.86,0.91,6.57,0.09854524,122,4.29,130.5,0.2764262,0.58,13.5,0.087511905,16.38,0.20252143,0.13621905,0.4752957189805716,0.68,270.0,242,256,2024-03-03,MUZAFFARNAGAR,243,2024-06-30T00:00:00,7.61,3.305854,384,377,374,368,1.0639917,2023-07-01T00:00:00,30.17768421052632,Johra,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.73153594521165,29.35375446576734]}"
14_0,0.95,0.07195,0.84,0.44,9.38,0.09626905,162,5.26,114.75,0.27714524,0.51,18,0.08744286,22.68,0.19625,0.12691666,0.1876098861423376,0.43,90.0,242,256,2024-03-03,MUZAFFARNAGAR,241,2024-06-30T00:00:00,7.42,3.305854,384,377,374,368,2.127256,2023-07-01T00:00:00,30.17768421052632,Johra,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.73234442896735,29.354293454937814]}"
15_0,0.88,0.075611904,0.48,0.3,8.52,0.09812143,167,8.95,123.75,0.25025475,0.55,13.5,0.099335715,26.06,0.2074,0.15112142,2.0106577860574704,0.64,-0.0,242,255,2024-03-03,MUZAFFARNAGAR,244,2024-06-30T00:00:00,7.29,3.305854,384,378,373,367,0.0,2023-07-01T00:00:00,30.17768421052632,Johra,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.73315291272306,29.35564092786399]}"
16_0,0.62,0.0846881,0.58,0.61,6.57,0.10974286,176,8.95,83.25,0.2728262,0.37,27,0.11732381,23.94,0.25125238,0.18854761,-1.6090520721380617,0.86,29.842442,238,248,2024-03-03,MUZAFFARNAGAR,244,2024-06-30T00:00:00,7.41,3.305854,387,381,375,371,2.137569,2023-07-01T00:00:00,30.147210526315792,Johra,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.73638684774589,29.36049183039824]}"
17_0,0.55,0.08229231,0.84,0.32,8.29,0.107092306,194,5.26,108,0.27099743,0.48,22.5,0.10358462,21.42,0.21819231,0.1581077,-1.604192504132115,0.57,270.0,231,249,2024-03-12,MUZAFFARNAGAR,231,2024-06-30T00:00:00,7.74,3.2200944,365,354,404,397,2.1273022,2023-07-01T00:00:00,30.163849999999996,Hausainpur Bopara,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.68922529532962,29.3564494116197]}"
18_0,0.32,0.07290257,0.32,0.21,9.64,0.1002,131,3.65,67.75,0.26446924,0.31,13.5,0.09795385,12.16,0.22503845,0.16745128,-2.1551384087925043,0.43,239.84132,229,248,2024-03-22,MUZAFFARNAGAR,234,2024-06-30T00:00:00,7.58,3.2200944,364,353,407,400,3.687169,2023-07-01T00:00:00,30.163849999999996,Hausainpur Bopara,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.68626085489203,29.358066379131113]}"
19_0,0.39,0.0699775,0.45,0.55,8.76,0.0927975,189,8.67,92.25,0.295945,0.41,22.5,0.08366,21.42,0.2041425,0.144125,-0.5103391779282299,0.58,209.84035,227,245,2024-03-12,MUZAFFARNAGAR,234,2024-06-30T00:00:00,7.3,3.2200944,364,353,409,402,2.1375244,2023-07-01T00:00:00,30.163849999999996,Hausainpur Bopara,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.68518287655108,29.35186800367069]}"
20_0,0.39,0.07429231,0.36,0.21,8.76,0.09826667,144,3.65,110.25,0.26762563,0.49,18,0.094469234,17.64,0.20780256,0.1379282,-0.7736060161727062,0.75,-0.0,231,249,2024-03-22,MUZAFFARNAGAR,233,2024-06-30T00:00:00,7.8,3.2200944,365,354,404,397,0.92740995,2023-07-01T00:00:00,30.163849999999996,Hausainpur Bopara,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.69003377908533,29.356718906204936]}"
21_0,0.52,0.087385,0.58,0.8,7.29,0.11592,113,7.56,130.5,0.2911125,0.58,13.5,0.11874,31.5,0.2511475,0.190525,-0.7735326919765989,0.61,180.0,232,243,2024-03-12,MUZAFFARNAGAR,234,2024-06-30T00:00:00,7.21,3.0493176,364,358,404,399,0.92740995,2023-07-01T00:00:00,30.16025641025641,Hausainpur Bopara,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.68814731698868,29.349442552403566]}"
22_0,0.36,0.08309487,0.58,0.79,9.38,0.106515385,131,5.26,123.75,0.27274358,0.55,18,0.10367436,31.5,0.22104359,0.16005385,-2.050239864867615,0.84,286.1996,231,249,2024-03-12,MUZAFFARNAGAR,232,2024-06-30T00:00:00,7.5,3.2200944,369,357,400,394,3.3208082,2023-07-01T00:00:00,30.21594871794872,Hausainpur Bopara,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.69057276825579,29.359952841227766]}"
23_0,0.42,0.08309487,0.68,0.29,7.29,0.106515385,140,2.85,123.75,0.27274358,0.55,18,0.10367436,25.2,0.22104359,0.16005385,-2.050239864867615,0.35,286.1996,231,249,2024-03-12,MUZAFFARNAGAR,232,2024-06-30T00:00:00,7.44,3.2200944,369,357,400,394,3.3208082,2023-07-01T00:00:00,30.21594871794872,Hausainpur Bopara,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.69057276825579,29.359952841227766]}"
24_0,0.32,0.08309487,0.75,0.42,8.76,0.106515385,167,7.56,92.25,0.27274358,0.41,18,0.10367436,23.94,0.22104359,0.16005385,-2.050239864867615,0.75,286.1996,231,249,2024-03-12,MUZAFFARNAGAR,232,2024-06-30T00:00:00,7.21,3.2200944,369,357,400,394,3.3208082,2023-07-01T00:00:00,30.21594871794872,Hausainpur Bopara,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.69057276825579,29.359952841227766]}"
25_0,0.72,0.09022821,0.63,0.49,8.52,0.11726923,144,2.85,130.5,0.2684154,0.58,36,0.12517692,16.38,0.24840769,0.2000564,-1.6910798361807862,0.58,246.4521,237,249,2024-03-12,MUZAFFARNAGAR,237,2024-06-30T00:00:00,7.21,3.2200944,364,356,400,395,2.32027,2023-07-01T00:00:00,30.17380000000001,Hausainpur Bopara,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.69353720869339,29.35321547659687]}"
26_0,0.95,0.0768641,0.68,0.44,8.76,0.101989746,171,6.59,110.25,0.26600257,0.49,27,0.09651795,17.64,0.20511025,0.14140514,-1.316558992409814,0.84,270.0,232,247,2024-03-12,MUZAFFARNAGAR,234,2024-06-30T00:00:00,7.44,3.2200944,365,355,402,397,3.1892097,2023-07-01T00:00:00,30.21594871794872,Hausainpur Bopara,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.69407619786386,29.359144357472058]}"
27_0,0.88,0.0768641,0.84,0.55,8.52,0.101989746,117,4.29,81,0.26600257,0.36,13.5,0.09651795,20.16,0.20511025,0.14140514,-1.316558992409814,0.89,270.0,232,247,2024-03-12,MUZAFFARNAGAR,234,2024-06-30T00:00:00,7.49,3.2200944,365,355,402,397,3.1892097,2023-07-01T00:00:00,30.21594871794872,Hausainpur Bopara,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.69407619786386,29.359144357472058]}"
