system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.52,0.08615429,0.27,0.38,5.51,0.11644571,201.6,2.43,81,0.29108,0.36,31.5,0.12801428,15.48,0.2754886,0.20881428,-0.7396568304854843,0.9,311.96732,262,279,2024-02-29,PRATAPGARH,92,2024-06-30T00:00:00,7.1,2.2965837,291,282,448,439,2.771821,2023-07-01T00:00:00,30.3640625,Tardaha,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.18089154745563,25.924435868641066]}"
1_0,0.59,0.07983,0.29,0.38,5.35,0.115605,219.6,2.66,87.75,0.3094475,0.39,18,0.128255,11.18,0.285725,0.207135,-0.19573198144564866,0.89,286.71262,203,220,2024-02-23,PRATAPGARH,101,2024-06-30T00:00:00,7.1,2.0807786,318,314,479,466,3.221853,2023-07-01T00:00:00,30.311882352941183,Sarayswami,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.60201717836901,25.74144904526592]}"
2_0,0.59,0.11074167,0.29,0.4,5.16,0.14397778,224,2.66,96.75,0.25416943,0.43,18,0.16216111,14.19,0.26586944,0.2196,-1.5416105009126655,0.92,90.0,229,244,2024-03-05,PRATAPGARH,100,2024-06-30T00:00:00,7.1,2.2653933,304,296,467,459,4.11732,2023-07-01T00:00:00,30.484064516129035,Tilauri,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.98281302730727,25.906110236845027]}"
3_0,0.49,0.069725,0.27,0.66,5.51,0.10107778,179.2,2.25,60.75,0.29370832,0.27,22.5,0.10803611,12.96,0.293675,0.19144167,1.6276135069179485,0.66,311.97018,266,273,2024-03-03,PRATAPGARH,93,2024-06-30T00:00:00,7.1,2.3247423,275,269,460,458,1.3866442,2023-07-01T00:00:00,30.303575757575764,Padum Pur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.20784100597922,25.912578106890688]}"
4_0,0.69,0.07343889,0.29,0.69,6.04,0.10766389,235.2,2.47,60.75,0.3151028,0.27,22.5,0.122025,11.61,0.26830277,0.19574167,2.0173092523171796,0.79,131.93776,258,274,2024-03-04,PRATAPGARH,94,2024-06-30T00:00:00,7.4,2.141373,306,296,436,430,4.1560616,2023-07-01T00:00:00,30.356500000000008,Kandharpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.97553667350591,26.04651691575291]}"
5_0,0.72,0.08672821,0.22,0.31,5.35,0.121366665,123.2,2.38,42.75,0.3216641,0.19,18,0.12886924,12.9,0.2668487,0.19792308,-1.6313693429014522,0.74,245.75612,203,221,2024-03-07,PRATAPGARH,104,2024-06-30T00:00:00,7.2,2.0828834,343,334,455,445,2.2575805,2023-07-01T00:00:00,30.373625000000004,Baro,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.70469461534388,25.752767817845825]}"
6_0,0.52,0.068860814,0.25,0.55,4.98,0.1045473,134.4,2.16,83.25,0.29770136,0.37,13.5,0.10550811,12.96,0.2521419,0.18477163,-0.9919077420637873,0.7,347.44016,234,250,2024-03-01,PRATAPGARH,110,2024-06-30T00:00:00,7.6,2.3350105,333,328,433,422,4.7403073,2023-07-01T00:00:00,30.36090322580646,Amishankerpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.56994732272595,26.14218749351164]}"
7_0,0.56,0.11603077,0.27,0.77,5.98,0.13616616,235.2,2.41,67.5,0.31452614,0.3,27,0.14480461,11.61,0.2774754,0.21357693,-0.4524589724879615,0.78,228.04143,272,286,2024-03-14,PRATAPGARH,92,2024-06-30T00:00:00,7.3,2.236971,292,283,435,431,1.3869568,2023-07-01T00:00:00,30.355687500000005,Sonahi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.31348288339167,25.96054814306267]}"
8_0,0.49,0.07976667,0.29,0.43,5.51,0.11621795,201.6,2.25,96.75,0.32681024,0.43,18,0.1224359,14.19,0.28925127,0.20606667,-0.7424073018445229,0.96,-0.0,216,229,2024-03-05,PRATAPGARH,100,2024-06-30T00:00:00,7.2,2.159901,323,320,461,452,0.92740995,2023-07-01T00:00:00,30.290687500000004,Dharupur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.63139208815973,25.88724561587852]}"
9_0,0.42,0.10357436,0.29,0.4,5.14,0.14358461,145.6,2.21,69.75,0.33191794,0.31,13.5,0.1563923,12.55,0.33090514,0.24836154,-2.261737790737685,0.96,29.033073,202,224,2024-02-23,PRATAPGARH,100,2024-06-30T00:00:00,7.4,2.1739118,344,336,454,440,4.235429,2023-07-01T00:00:00,30.541724137931034,Tarapurkandai,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.69930472363916,25.736867637316912]}"
10_0,0.56,0.084602855,0.25,0.32,5.77,0.114808574,145.6,2.34,74.25,0.25051144,0.33,18,0.12716857,11.61,0.26056856,0.19588572,-1.5406293288334487,0.78,270.0,231,239,2024-03-02,PRATAPGARH,101,2024-06-30T00:00:00,7.3,2.1434374,310,307,459,454,2.0602946,2023-07-01T00:00:00,30.39121212121213,Jariyari,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.09977367729964,25.847360417263612]}"
11_0,0.56,0.0685726,0.29,0.5,5.77,0.08918493,179.2,2.25,81,0.3017767,0.36,27,0.08074795,12.96,0.2342411,0.14296438,-1.1434647337127732,0.8,228.00183,297,310,2024-02-29,PRATAPGARH,80,2024-06-30T00:00:00,7.7,1.9376485,301,294,402,396,1.3858923,2023-07-01T00:00:00,30.42926666666668,Harchetpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.50482403890913,25.796425940654036]}"
12_0,0.69,0.09101409,0.25,0.21,5.3,0.11273944,235.2,2.84,74.25,0.28733099,0.33,18,0.10630564,11.61,0.24792957,0.17342113,-1.9472618156127282,0.79,270.0,262,278,2024-03-13,PRATAPGARH,98,2024-06-30T00:00:00,7.6,2.2650173,307,296,431,426,3.0905998,2023-07-01T00:00:00,30.360606060606063,Khujhi Kala,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.09546176393587,25.916890020254463]}"
13_0,0.52,0.06531081,0.25,0.72,5.93,0.091643244,246.4,2.43,67.5,0.31260812,0.3,13.5,0.08414595,11.61,0.23448649,0.15535136,-0.743168959243937,0.84,180.0,236,260,2024-03-04,PRATAPGARH,100,2024-06-30T00:00:00,7.3,2.3464246,316,307,448,433,3.7047918,2023-07-01T00:00:00,30.373937500000004,Sangrampur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.99871320783619,25.977795796517768]}"
14_0,0.52,0.06281538,0.29,0.8,5.14,0.09406154,156.8,2.38,67.5,0.27352566,0.3,13.5,0.10069487,15.33,0.24072821,0.16654615,-1.3744503585954162,0.79,100.20249,204,214,2024-02-25,PRATAPGARH,105,2024-06-30T00:00:00,7.9,2.159901,342,339,454,447,5.2217817,2023-07-01T00:00:00,30.323741935483863,Hernahar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.62303775601741,25.859487673599226]}"
15_0,0.69,0.10428421,0.25,0.33,5.72,0.13497631,179.2,2.66,60.75,0.29862106,0.27,18,0.14528158,15.48,0.27885264,0.21253158,2.902034841084337,0.9,159.65726,199,230,2024-02-25,PRATAPGARH,102,2024-06-30T00:00:00,7.7,2.256197,321,305,480,466,5.9140267,2023-07-01T00:00:00,30.31951515151515,Babhanpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.57425923608972,25.96593803476739]}"
