system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.54,0.12044615,0.4,0.25,7.55,0.15788718,284.48,4.08,135,0.3133641,0.6,18,0.17721538,13.24,0.3170205,0.2604923,-0.06916121820143571,0.8,180.0,225,248,2024-02-22,SAMBHAL,176,2024-06-30T00:00:00,7.4,2.5746179,415,401,360,351,0.92740995,2023-07-01T00:00:00,30.24182857142857,Ghonsli Ramsahai,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.57020309446563,28.15827648566108]}"
1_0,0.54,0.07814615,0.28,0.33,7.69,0.115796156,309.12,4.34,117,0.28772435,0.52,22.5,0.11835,13.26,0.25053847,0.19673206,-2.031964939894755,0.62,286.34735,199,224,2024-03-01,SAMBHAL,187,2024-06-30T00:00:00,7.4,2.7044816,414,395,387,381,3.291663,2023-07-01T00:00:00,30.27245714285715,Rdradeep,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.37589749851058,28.363361865025567]}"
2_0,0.57,0.0658475,0.59,0.28,7.94,0.09266,206.88,4.22,49.5,0.2965975,0.22,22.5,0.0994375,13.53,0.2515425,0.17448,-0.4998411140637084,0.92,330.37015,240,257,2024-02-20,SAMBHAL,188,2024-06-30T00:00:00,7.4,2.9500046,424,411,335,333,2.1330476,2023-07-01T00:00:00,30.09844444444444,Raheli,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.84104515262767,28.466847785756137]}"
3_0,0.54,0.078735,0.33,0.95,7.42,0.1080025,100.8,4.5,103.5,0.30344,0.46,13.5,0.107795,13.21,0.2559,0.1793575,-1.1832275037882656,0.48,131.26491,243,261,2024-02-17,SAMBHAL,205,2024-06-30T00:00:00,6.9,2.8304887,433,421,324,318,1.405984,2023-07-01T00:00:00,30.18876470588235,Saidpur Jaskoli,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.56211825690855,28.665195800489727]}"
4_0,0.58,0.089515,0.48,0.29,7.42,0.125815,225.12,4.18,83.25,0.34259,0.37,9,0.14121,13.69,0.311965,0.2385525,1.5929517137909015,0.69,48.668938,258,275,2024-02-23,SAMBHAL,192,2024-06-30T00:00:00,6.9,2.8544052,434,421,308,304,1.4041381,2023-07-01T00:00:00,30.32494117647059,Chatan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.57208955656228,28.4199557279251]}"
5_0,0.54,0.11397436,0.4,0.51,7.36,0.14684872,291.2,4.6,83.25,0.31970513,0.37,18,0.16401282,12.54,0.32792822,0.26460257,-1.72750877125356,0.58,40.38387,230,246,2024-02-21,SAMBHAL,173,2024-06-30T00:00:00,7.3,2.6262522,424,412,346,342,4.858823,2023-07-01T00:00:00,30.224742857142864,Ghonsli Bahan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.56589118110186,28.14587973474023]}"
6_0,0.53,0.1239975,0.44,0.33,7.42,0.15899,221.76,5,101.25,0.268935,0.45,31.5,0.170365,14.53,0.28839,0.24727,-1.6703746486246709,0.92,293.78708,204,231,2024-02-27,SAMBHAL,181,2024-06-30T00:00:00,7,2.6376488,424,410,372,360,2.298298,2023-07-01T00:00:00,30.236307692307694,Asadpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.45809334700752,28.16797829072957]}"
7_0,0.54,0.09312927,0.23,0.31,7.94,0.12677316,168,4.16,63.25,0.30230245,0.37,22.5,0.14605853,14.56,0.29920974,0.24638537,-1.60145558652324,0.36,150.30992,239,254,2024-02-18,SAMBHAL,208,2024-06-30T00:00:00,6.8,2.9479709,418,408,344,338,2.1343236,2023-07-01T00:00:00,30.231885714285713,Hirapur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.54999100057294,28.723945620071145]}"
8_0,0.58,0.1069075,0.48,0.77,7.94,0.138475,294.56,4.08,67.5,0.30663002,0.3,18,0.14468,13.28,0.2753025,0.2191,0.6234118761636438,0.82,180.0,244,260,2024-02-24,SAMBHAL,181,2024-06-30T00:00:00,7.4,2.6213257,427,415,329,325,0.92740995,2023-07-01T00:00:00,30.236944444444443,Jagannathpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.45782385242228,28.221068724021038]}"
9_0,0.45,0.08674146,0.72,0.41,7.42,0.12823902,269.92,4.5,150.75,0.3291122,0.67,18,0.12750976,13.64,0.27298537,0.1966122,-1.9307291841169678,0.36,159.23792,236,267,2024-02-22,SAMBHAL,195,2024-06-30T00:00:00,7.9,2.9180896,440,421,324,312,2.9730432,2023-07-01T00:00:00,30.275028571428578,Dhadhol,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.61224424976243,28.446905186448685]}"
