system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.56,0.09136744,0.38,0.7,9.95,0.1175814,212,3.48,54,0.2771744,0.24,18,0.1300186,17.16,0.2700907,0.21045814,0.33562264639578276,0.99,180.0,273,275,2024-03-20,SHAHJAHANPUR,167,2024-06-30T00:00:00,7.2,3.2790194,372,368,355,357,0.92740995,2023-07-01T00:00:00,30.347764705882355,Dhakna Lahiya,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.24214750126889,28.231309518259998]}"
1_0,0.63,0.099411905,0.24,0.39,10.11,0.1364619,179,4.19,108,0.29706427,0.48,9,0.15690714,12,0.30918095,0.24974285,2.026217583552716,1.61,-0.0,175,191,2024-03-19,SHAHJAHANPUR,147,2024-06-30T00:00:00,7.3,2.7900016,388,377,437,432,0.0,2023-07-01T00:00:00,30.3709696969697,Gurgawan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.66569858344938,27.689625401935928]}"
2_0,0.6,0.096381396,0.57,0.49,19,0.1244186,201,6.89,56.25,0.22787441,0.25,4.5,0.13918371,11.1,0.27058604,0.23145814,-1.6634403116903578,0.83,113.86769,211,227,2024-03-15,SHAHJAHANPUR,154,2024-06-30T00:00:00,7.3,2.6033752,375,364,414,409,2.2909966,2023-07-01T00:00:00,30.345575757575762,Noungawan Mubarikpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.6673155509608,27.757268542830126]}"
3_0,0.42,0.071738094,0.34,0.4,10.06,0.104230955,134,3.05,63,0.25544167,0.28,9,0.11071429,10.48,0.23271786,0.1799,-1.8653709144167823,1.13,48.53312,227,248,2024-03-20,SHAHJAHANPUR,156,2024-06-30T00:00:00,7.2,2.747824,335,321,438,431,2.7990673,2023-07-01T00:00:00,30.31017647058823,Babauri,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.03275020854062,27.908724499732678]}"
4_0,0.59,0.12439778,0.32,0.9,10.11,0.1515911,212,4.19,110.25,0.27874446,0.49,4.5,0.16155112,14.7,0.27777332,0.21983778,-1.1748909906526686,1.28,311.41785,267,281,2024-03-14,SHAHJAHANPUR,161,2024-06-30T00:00:00,7.5,2.5681677,410,399,323,319,1.4017264,2023-07-01T00:00:00,30.266060606060613,Kajri Noorpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.88021627329712,28.094406268960185]}"
5_0,0.6,0.12184,0.24,0.4,10.11,0.14722222,179,2.99,69.75,0.30906,0.31,9,0.15646,14.2,0.25962445,0.2007,-1.1755176494655564,1.32,131.40651,253,277,2024-03-18,SHAHJAHANPUR,164,2024-06-30T00:00:00,7.1,2.9047735,366,352,381,371,1.4020408,2023-07-01T00:00:00,30.28151515151515,Nagaria Buzurg,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.96699352974308,28.137255908012683]}"
6_0,0.45,0.11936667,1.64,0.2,6.32,0.14305498,134,6.86,83.25,0.32057253,0.37,18,0.15139298,10.68,0.27252164,0.20498714,-0.8846898682770329,2.3,270.0,222,243,2024-03-19,SHAHJAHANPUR,160,2024-06-30T00:00:00,7.6,2.9128084,350,342,428,415,2.0992644,2023-07-01T00:00:00,30.271176470588237,Mahmoodapur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.00822620128416,27.964509878876502]}"
7_0,0.55,0.09146742,0.11,0.7,14.81,0.12353146,213,5.17,83.25,0.29130223,0.37,13.5,0.12623933,11.8,0.24704832,0.17821124,-0.1912114936330863,0.12,90.0,227,247,2024-03-05,SHAHJAHANPUR,153,2024-06-30T00:00:00,7.4,2.7335384,393,378,380,374,1.0498117,2023-07-01T00:00:00,30.282000000000007,Niwadi Bangar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.87320941408099,27.946723236250936]}"
8_0,0.49,0.051965117,0.34,0.93,13.51,0.08488372,168,4.9,74.25,0.29324186,0.33,18,0.08343954,14.71,0.23794419,0.16301163,-2.131517300366025,0.3,59.500366,215,227,2024-03-05,SHAHJAHANPUR,151,2024-06-30T00:00:00,7.9,2.7335384,367,357,418,416,3.6499548,2023-07-01T00:00:00,30.3189696969697,Niwadi Bangar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.87859930578571,27.92570265860254]}"
9_0,0.68,0.07857273,0.32,0.7,7.19,0.102875,134,4.78,67.5,0.26023182,0.3,9,0.09991591,13.47,0.22245227,0.15818636,-0.5726815018656615,1.5,113.77648,239,243,2024-03-19,SHAHJAHANPUR,165,2024-06-30T00:00:00,7.5,3.3321927,370,366,391,391,2.2992625,2023-07-01T00:00:00,30.34364705882352,Bujhia,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.27448685149719,28.221607713191506]}"
