system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.75,0.0706025,1.69,0.62,10.31,0.094195,169,12.3,56.25,0.2563025,0.25,8.55,0.0901725,10.79,0.1907025,0.1306625,-1.6943165376749676,1.18,113.51064,242,258,2024-02-21,SHAMLI,246,2024-06-30T00:00:00,7.67,2.9963467,384,379,374,363,2.323733,2023-07-01T00:00:00,30.14121052631579,Sonta Rasoolpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.39278125157017,29.533507354119656]}"
1_0,0.55,0.07160476,1.18,0.54,7.07,0.09887381,80,6.88,157.5,0.32340714,0.7,36.9,0.09080238,12.87,0.21931191,0.14904761,1.9826760270567638,0.58,48.956734,231,255,2024-02-17,SHAMLI,246,2024-06-30T00:00:00,7.64,3.2994676,381,368,388,377,1.4122182,2023-07-01T00:00:00,30.12871794871795,Butrada,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.43239695559984,29.469906632003994]}"
2_0,0.88,0.08670975,0.9,0.61,9.2,0.11107073,178,6.91,101.25,0.24629757,0.45,10.35,0.112404875,14.56,0.20254634,0.15135366,-1.1943082701143535,0.51,228.93787,203,228,2024-02-14,SHAMLI,240,2024-06-30T00:00:00,7.44,3.005951,432,418,366,353,1.4116846,2023-07-01T00:00:00,30.150894736842098,Kabraut,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.35208756919955,29.402532985695032]}"
3_0,0.59,0.052945,1.82,0.39,10.87,0.0797825,251,15.11,63,0.2693475,0.28,29.7,0.07148,9.23,0.1924,0.1179075,-1.2478125681263486,0.89,339.06265,202,221,2024-03-09,SHAMLI,240,2024-06-30T00:00:00,7.57,2.8281224,401,388,397,391,2.9765027,2023-07-01T00:00:00,30.140256410256423,Mannamajar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.23997782174145,29.40064652359838]}"
4_0,0.45,0.0787675,0.52,0.74,15,0.10333,100,10.83,114.75,0.2639625,0.51,22.5,0.1036975,11.62,0.2274725,0.1716,-1.462877710881878,0.41,120.1459,198,217,2024-03-09,SHAMLI,244,2024-06-30T00:00:00,7.55,2.8281224,412,400,390,384,3.6885805,2023-07-01T00:00:00,30.16318918918919,Mannamajar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.23755237047432,29.41034832866687]}"
5_0,0.82,0.070005,1.32,0.39,13.1,0.0992175,237,15.17,108,0.267515,0.48,16.2,0.09737,7.8,0.2109925,0.1539625,2.350997228217622,1.54,40.701237,199,211,2024-03-01,SHAMLI,239,2024-06-30T00:00:00,7.63,2.4938676,411,396,390,393,4.8817873,2023-07-01T00:00:00,30.14784615384615,Chadhaw,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.2388998434005,29.317642191345737]}"
6_0,0.65,0.07473809,1.24,0.53,10.4,0.10335476,169,8.58,168.25,0.30106428,0.47,17.1,0.09607381,16.64,0.22370714,0.1522119,0.3398980557500767,0.92,270.0,222,236,2024-02-20,SHAMLI,243,2024-06-30T00:00:00,7.67,3.1711054,386,376,392,388,2.1292367,2023-07-01T00:00:00,30.13356756756756,Khanpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.40975941044003,29.448886054355597]}"
7_0,1.01,0.117115,0.35,0.52,7.55,0.1427875,116,9.55,49.5,0.2318875,0.22,11.7,0.163375,10.79,0.2558475,0.22057,-0.9330549872812801,1.55,102.29967,202,216,2024-03-01,SHAMLI,242,2024-06-30T00:00:00,7.68,2.4107363,403,396,395,388,4.3455606,2023-07-01T00:00:00,30.122473684210533,Chadhaw,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.24132529466762,29.29446565701545]}"
8_0,0.59,0.05714359,0.83,0.8,9.86,0.08558205,116,8.27,150.75,0.3117282,0.67,13.05,0.071638465,10.14,0.19731794,0.12309231,-0.7738626308380117,0.85,-0.0,195,213,2024-03-02,SHAMLI,239,2024-06-30T00:00:00,7.8,2.7158558,418,403,386,384,0.92740995,2023-07-01T00:00:00,30.135487179487182,Rasoolpur Gujran,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.310315908488,29.38366836472852]}"
9_0,0.98,0.0887325,0.68,0.65,14.47,0.1149075,136,12.53,168.75,0.29552,0.75,7.2,0.1082075,14.3,0.21195251,0.156885,5.106053076810054,1.51,311.0232,228,240,2024-02-25,SHAMLI,249,2024-06-30T00:00:00,7.54,3.0712314,419,415,354,345,1.412787,2023-07-01T00:00:00,30.13877777777778,Gogwan Jalalpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.453148038663,29.54159219167673]}"
10_0,1.24,0.10698095,0.91,0.45,16.46,0.13376428,172,17.53,42.75,0.25580475,0.19,31.05,0.15011905,13.65,0.26291665,0.2181119,1.975180947054628,1.71,180.0,225,232,2024-03-05,SHAMLI,253,2024-06-30T00:00:00,7.23,3.2309754,403,400,372,368,2.7802885,2023-07-01T00:00:00,30.061947368421055,Ahamadpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.39790164868965,29.63537630733881]}"
