system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.44,0.11648026,0.38,0.29,8.1,0.14129473,179.2,4.28,203.84,0.1978329,0.5,9,0.14000264,4.2,0.17775789,0.13243815,3.3975356539874313,0.42,150.61769,274,270,2024-03-20,SIDDHARTH NAGAR,89,2024-06-30T00:00:00,7.6,3.3497503,332,332,394,398,2.1278431,2023-07-01T00:00:00,30.29424242424243,Bandvari,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.79668667471957,27.377281177647568]}"
1_0,0.56,0.09888163,0.46,0.25,8.46,0.12607959,156.8,4.1,203.84,0.31051224,0.5,27,0.13405511,7.2,0.28530613,0.2185449,-2.0766114351469174,0.56,36.88223,264,274,2024-02-09,SIDDHARTH NAGAR,88,2024-06-30T00:00:00,7.3,3.0537417,309,301,427,426,3.4743876,2023-07-01T00:00:00,30.272999999999996,Belatikar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.16427728898127,27.315836412213795]}"
2_0,0.46,0.14385347,0.36,0.29,8.5,0.16201806,179.2,4.44,206.97,0.23563889,0.5,27,0.17446667,8.4,0.26990834,0.2341632,-0.06192083602337194,0.52,131.68251,273,282,2024-03-02,SIDDHARTH NAGAR,83,2024-06-30T00:00:00,7.6,2.9879093,346,338,381,381,1.3944426,2023-07-01T00:00:00,30.3178064516129,Arji,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.98964479774844,27.073830274671995]}"
3_0,0.26,0.09888163,0.44,0.22,8.44,0.12607959,134.4,4.3,235.2,0.31051224,0.42,9,0.13405511,8.4,0.28530613,0.2185449,-2.0766114351469174,0.62,36.88223,264,274,2024-02-09,SIDDHARTH NAGAR,88,2024-06-30T00:00:00,7.5,3.0537417,309,301,427,426,3.4743876,2023-07-01T00:00:00,30.272999999999996,Belatikar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.16427728898127,27.315836412213795]}"
4_0,0.54,0.13380659,0.38,0.25,8.46,0.15788685,156.8,4.48,235.2,0.31545526,0.42,4.5,0.16586447,8.4,0.28861183,0.22257763,0.044277674980011644,0.46,270.0,286,288,2024-03-18,SIDDHARTH NAGAR,87,2024-06-30T00:00:00,7.4,3.1311195,314,313,400,399,2.0859077,2023-07-01T00:00:00,30.304533333333325,Jokaila,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.87484010443796,27.264632441018982]}"
5_0,0.48,0.14215,0.48,0.26,8.44,0.1714921,179.2,4.2,228.92,0.29196844,0.5,9,0.19150922,6,0.34634867,0.29350922,-1.8538456765760882,0.56,-0.0,274,270,2024-03-20,SIDDHARTH NAGAR,94,2024-06-30T00:00:00,7.1,3.3497503,331,331,395,399,2.7802885,2023-07-01T00:00:00,30.29424242424243,Bandvari,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.79803414764575,27.377011683062335]}"
6_0,0.59,0.09234167,0.38,0.22,8.1,0.12378125,201.6,4.3,214.52,0.31065625,0.35,13.5,0.13436042,7.2,0.2800125,0.21038958,-1.857063762827948,0.6,311.61987,247,261,2024-02-09,SIDDHARTH NAGAR,86,2024-06-30T00:00:00,7.1,3.0537417,316,304,437,435,2.790659,2023-07-01T00:00:00,30.29805714285715,Belatikar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.16643324566316,27.31933984182186]}"
7_0,0.55,0.13715263,0.44,0.22,8.48,0.16440263,179.2,4.15,191.3,0.31768948,0.5,22.5,0.17098552,8.4,0.2999592,0.23111579,-1.6552855765116876,0.39,293.96286,282,288,2024-03-18,SIDDHARTH NAGAR,86,2024-06-30T00:00:00,7,3.1311195,313,307,405,405,2.2824414,2023-07-01T00:00:00,30.304533333333325,Jokaila,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.87484010443796,27.26409345184851]}"
8_0,0.42,0.111771055,0.46,0.32,8.3,0.14254342,134.4,4.5,225.79,0.2981,0.28,22.5,0.15538552,6,0.30275658,0.234975,-1.565651926422481,0.42,90.0,293,288,2024-03-14,SIDDHARTH NAGAR,90,2024-06-30T00:00:00,7.2,3.1311195,316,316,391,396,2.0864236,2023-07-01T00:00:00,30.317454545454538,Ratanpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.89154876872259,27.29212088871304]}"
9_0,0.56,0.10125263,0.42,0.23,8.2,0.12652105,156.8,4.29,222.66,0.3025,0.64,9,0.131375,7.2,0.25009605,0.18713553,-0.7550215064081429,0.56,-0.0,261,263,2024-02-25,SIDDHARTH NAGAR,89,2024-06-30T00:00:00,6.9,3.2189863,288,286,451,452,0.92740995,2023-07-01T00:00:00,30.21976470588235,Pakari tappa barho,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.92038468934282,27.352757170391108]}"
