system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,1.15,0.13626586,0.209,0.478,12.65,0.16346586,156,13.66,87.75,0.2860634,0.39,16.9,0.18230245,18,0.2893634,0.24095854,-1.160481870148337,0.755,180.0,247,269,2024-03-07,SITAPUR,115,2024-06-30T00:00:00,7.9,2.5284593,396,382,357,349,2.7802885,2023-07-01T00:00:00,30.236250000000002,Ataura,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.35947205165674,27.351679192050163]}"
1_0,1.27,0.08903095,0.378,0.521,16.25,0.1150881,168,17.28,87.75,0.31220475,0.39,18.4,0.104571424,19,0.22302143,0.14630952,2.7415306426142765,0.817,-0.0,238,262,2024-03-07,SITAPUR,112,2024-06-30T00:00:00,7.9,2.4893346,383,366,379,373,0.92740995,2023-07-01T00:00:00,30.203333333333333,Ataura,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.34842277366208,27.345211322004502]}"
2_0,1.16,0.08327317,0.318,0.524,12.16,0.10799024,190,15.1,74.25,0.2779951,0.33,13.3,0.10365366,15,0.22298293,0.15681708,-0.047344172766471466,0.418,66.05466,251,274,2024-03-07,SITAPUR,116,2024-06-30T00:00:00,7.4,2.5166216,384,369,366,357,2.2840102,2023-07-01T00:00:00,30.20218181818182,Ataura,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.34384136571306,27.355452116243466]}"
3_0,1.27,0.08327317,0.318,0.54,14.8,0.10799024,145,16.25,96.75,0.2779951,0.43,18.2,0.10365366,19,0.22298293,0.15681708,-0.047344172766471466,0.912,66.05466,251,274,2024-03-07,SITAPUR,116,2024-06-30T00:00:00,7.6,2.5166216,384,369,366,357,2.2840102,2023-07-01T00:00:00,30.20218181818182,Ataura,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.34384136571306,27.355452116243466]}"
4_0,1.27,0.10623903,0.378,0.522,17.1,0.13090488,112,19.15,83.25,0.27072927,0.37,19.2,0.12856829,17,0.22929999,0.17332926,-0.4711540486877454,0.478,131.61295,236,257,2024-03-05,SITAPUR,113,2024-06-30T00:00:00,7.7,2.4976974,383,370,381,373,1.3963472,2023-07-01T00:00:00,30.192882352941176,Ataura,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.36108901916816,27.346289300345447]}"
5_0,1.28,0.108161904,0.415,0.53,18.16,0.12843095,145,17.2,83.25,0.28654525,0.37,17,0.12214762,13,0.23787619,0.16999523,-1.448130823814079,0.59,180.0,241,263,2024-03-05,SITAPUR,119,2024-06-30T00:00:00,7.6,2.4976974,383,367,376,370,1.8543341,2023-07-01T00:00:00,30.19230303030303,Ataura,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.35569912746344,27.348445257027333]}"
6_0,1.41,0.108161904,0.325,0.52,12.68,0.12843095,168,16.78,90,0.28654525,0.4,19.8,0.12214762,21,0.23787619,0.16999523,-1.448130823814079,0.815,180.0,241,263,2024-03-05,SITAPUR,119,2024-06-30T00:00:00,7.9,2.4976974,383,367,376,370,1.8543341,2023-07-01T00:00:00,30.19230303030303,Ataura,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.35569912746344,27.348445257027333]}"
7_0,1.51,0.108161904,0.244,0.518,13.17,0.12843095,235,18.66,83.25,0.28654525,0.37,18.3,0.12214762,20,0.23787619,0.16999523,-1.448130823814079,0.816,180.0,241,263,2024-03-05,SITAPUR,119,2024-06-30T00:00:00,7.2,2.4976974,383,367,376,370,1.8543341,2023-07-01T00:00:00,30.19230303030303,Ataura,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.35569912746344,27.348445257027333]}"
8_0,1.26,0.107258536,0.396,0.521,14.7,0.1309,134,12.8,103.5,0.26695123,0.46,13.3,0.13699757,19,0.22061463,0.17057317,4.804421226916783,0.596,228.38542,245,265,2024-03-05,SITAPUR,113,2024-06-30T00:00:00,7.4,2.4976974,360,347,395,388,1.3963021,2023-07-01T00:00:00,30.19970588235294,Ataura,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.36405345960576,27.340090924885022]}"
9_0,1.15,0.11358537,0.245,0.425,12.15,0.13967317,212,16.8,76.5,0.29865366,0.37,14.4,0.14872684,15,0.2602244,0.20384146,-1.5858243588607808,0.815,209.37726,240,259,2024-03-05,SITAPUR,114,2024-06-30T00:00:00,7.6,2.5284593,391,378,369,363,2.127738,2023-07-01T00:00:00,30.236250000000002,Ataura,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.35704660038962,27.35437413790252]}"
