system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.39,0.09206757,0.4,0.82,2.56,0.121227026,145.6,1.16,81,0.29214054,0.58,22.5,0.12841082,9.32,0.25767028,0.19694865,2.3002474012475664,0.77,180.0,297,328,2024-03-24,SULTANPUR,89,2024-06-30T00:00:00,7.21,2.2739842,310,290,393,382,1.8543341,2023-07-01T00:00:00,30.397249999999996,Chitawanpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.29893017578894,26.11146511079475]}"
1_0,0.32,0.07302143,0.36,0.65,6.51,0.10107857,123.2,3.56,56.25,0.30550715,0.25,9,0.096417144,9.47,0.24499285,0.16929285,-1.1489217043323607,0.54,131.89711,271,288,2024-03-09,SULTANPUR,94,2024-06-30T00:00:00,7.4,2.3771167,285,279,444,434,2.775598,2023-07-01T00:00:00,30.35363636363636,Katghara Patti,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.45415905688479,26.21306456942867]}"
2_0,0.53,0.07817857,0.22,0.68,2.56,0.10591714,134.4,3.61,81,0.29232714,0.36,31.5,0.103345715,11.51,0.23014,0.16877714,-0.4486242658022047,1.09,270.0,259,283,2024-03-22,SULTANPUR,92,2024-06-30T00:00:00,7.6,2.417663,300,292,441,426,2.0671728,2023-07-01T00:00:00,30.369250000000005,Dulahapur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.43340797382163,26.23839706044084]}"
3_0,0.36,0.09946338,0.39,0.63,2.54,0.12876338,145.6,1.99,114.75,0.33635914,0.51,31.5,0.1404493,12.37,0.2984817,0.22063944,-1.4371336519836353,0.89,180.0,295,325,2024-03-23,SULTANPUR,95,2024-06-30T00:00:00,7.4,2.2430341,324,306,381,370,1.8543341,2023-07-01T00:00:00,30.313090909090914,Gauraytikari,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.42909606045785,26.076161320128854]}"
4_0,0.78,0.09771972,0.41,0.52,6.61,0.119928166,10.15,2.56,74.25,0.24198873,0.33,22.5,0.12560986,11.51,0.29843804,0.24075493,-1.9927899207422313,0.31,286.66858,280,308,2024-03-22,SULTANPUR,95,2024-06-30T00:00:00,7.5,2.2430341,338,321,382,371,3.230109,2023-07-01T00:00:00,30.33230303030303,Haripur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.4264011146055,26.071040923009374]}"
5_0,0.42,0.071142465,0.22,0.53,4.21,0.092960276,145.6,2.56,64.12,0.3058863,0.28,13.5,0.095138356,8.46,0.2279137,0.15672192,-2.331413735508145,0.64,114.16255,255,259,2024-02-15,SULTANPUR,101,2024-06-30T00:00:00,7.3,2.2221649,318,310,427,432,4.5223727,2023-07-01T00:00:00,30.3539375,Vikvajitpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.11190093363525,26.199050850996404]}"
6_0,0.77,0.07733784,0.22,0.39,5.62,0.10283513,201.6,1.9,121.5,0.23763649,0.54,18,0.109062165,9.35,0.2407419,0.17153513,5.534910453167773,1.22,-0.0,279,278,2024-03-22,SULTANPUR,94,2024-06-30T00:00:00,8.1,2.0224304,317,317,403,405,0.0,2023-07-01T00:00:00,30.369696969696978,Ramnagar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.09222782891304,26.29633839626655]}"
7_0,0.37,0.11017324,0.21,0.61,6.29,0.1436,190.4,1.96,42.75,0.29275072,0.19,13.5,0.16880845,11.2,0.3534676,0.27202818,3.426501327745169,0.56,-0.0,297,328,2024-03-23,SULTANPUR,94,2024-06-30T00:00:00,7.4,2.2430341,310,291,394,381,0.0,2023-07-01T00:00:00,30.357749999999996,Gauraytikari,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.44257078971965,26.083437673930224]}"
8_0,0.41,0.10063919,0.36,0.59,4.23,0.1441,190.4,2.56,101.25,0.31065404,0.45,22.5,0.16651757,11.57,0.31532434,0.25767434,0.23828145964309552,0.35,228.08612,273,292,2024-03-18,SULTANPUR,88,2024-06-30T00:00:00,7.6,2.2210295,312,300,414,408,1.3881611,2023-07-01T00:00:00,30.404437499999997,Gopinathpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.33180851518772,26.144343450193524]}"
9_0,0.32,0.066972226,0.39,0.37,3.98,0.09273333,168,3.14,64.12,0.25663888,0.285,13.5,0.08963889,9.55,0.2251611,0.15946667,-0.7461322854655131,0.39,180.0,262,274,2024-02-22,SULTANPUR,106,2024-06-30T00:00:00,6.7,2.1964092,296,292,442,435,0.92740995,2023-07-01T00:00:00,30.3931875,Chitaipur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.98469948940394,26.33002521942103]}"
10_0,0.45,0.12065774,0.39,0.59,5.23,0.15387465,145.6,3.22,54,0.3207127,0.24,27,0.1689324,11.38,0.31802958,0.25467888,-1.8402884399922437,1.36,311.92993,295,323,2024-03-22,SULTANPUR,94,2024-06-30T00:00:00,7.9,2.2430341,320,302,385,375,2.773831,2023-07-01T00:00:00,30.313090909090914,Haripur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.42909606045785,26.078586771395976]}"
11_0,0.53,0.080761336,0.24,0.38,3.69,0.111308,112,2.06,64.12,0.29304665,0.285,22.5,0.11535066,10.68,0.26621068,0.20090133,-1.8418901904739926,1.09,228.09962,284,287,2024-03-21,SULTANPUR,104,2024-06-30T00:00:00,7.1,2.2221649,311,306,405,408,2.775422,2023-07-01T00:00:00,30.41006451612903,Haripurbanwa,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.14585725137498,26.199589840166876]}"
12_0,0.47,0.06566143,0.34,0.79,2.63,0.09456286,112,0.51,42.75,0.29954857,0.19,31.5,0.10534857,12.02,0.23564428,0.16297571,3.4252903429634536,0.53,-0.0,244,251,2024-03-20,SULTANPUR,87,2024-06-30T00:00:00,7.1,2.3677247,308,302,448,447,0.0,2023-07-01T00:00:00,30.40703225806451,Banbahasirkhinpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.65466302830026,26.226269804105225]}"
13_0,0.47,0.11256133,0.35,0.79,3.27,0.13980667,145.6,3.61,81,0.33606133,0.36,22.5,0.15006934,12.37,0.268652,0.195584,-2.0626126177034307,0.4,323.4043,267,288,2024-03-10,SULTANPUR,93,2024-06-30T00:00:00,7.3,2.2210295,315,300,418,412,3.4614747,2023-07-01T00:00:00,30.388374999999993,Bhiraura,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.30970995919837,26.128712764249848]}"
14_0,0.39,0.09722535,0.25,0.62,5.64,0.12862253,201.6,2.54,47.25,0.3170169,0.21,22.5,0.14151268,11.89,0.27584648,0.20110704,-1.3689618949741638,0.69,143.41478,296,328,2024-03-20,SULTANPUR,92,2024-06-30T00:00:00,7.4,2.2430341,306,287,398,385,3.4610054,2023-07-01T00:00:00,30.357749999999996,Gauraytikari,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.440684327623,26.083976663100692]}"
15_0,0.39,0.09742464,0.25,0.57,3.25,0.12515073,134.4,1.89,96.75,0.29009855,0.43,13.5,0.13214058,7.4,0.28634927,0.21603334,-0.20377957710411843,0.64,286.64594,263,275,2024-03-22,SULTANPUR,89,2024-06-30T00:00:00,7.2,2.3628132,294,290,444,435,3.234366,2023-07-01T00:00:00,30.349575757575757,Kanakpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.62286266724244,26.23893604961131]}"
16_0,0.29,0.048295714,0.26,0.63,3.48,0.077104285,201.6,3.25,42.75,0.28288287,0.19,36,0.07334,12.99,0.22614,0.14460428,0.9879211845799527,1.09,120.91426,272,301,2024-03-20,SULTANPUR,81,2024-06-30T00:00:00,7.2,2.2399807,311,290,417,409,3.6058683,2023-07-01T00:00:00,30.33248484848485,Shodhanpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.37034624087644,26.07238839593555]}"
