system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.2,0.076931424,0.87,0.15,8.03,0.106382854,291.65,6.63,213.36,0.30396858,0.4,16.66,0.09777143,8.32,0.20886572,0.13737428,-1.4129022449193567,0.55,-0.0,379,383,2024-06-06,24 PARAGANAS NORTH,10,2024-06-30T00:00:00,7.63,3.2773376,99,96,522,522,1.8543341,2023-07-01T00:00:00,30.133379310344832,Chauberia,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.68137043792973,22.983441459962165]}"
1_0,0.46,0.08252432,1.02,0.27,16.2,0.104532436,264,1.96,356,0.28371623,0.62,75,0.09121892,4.36,0.2132919,0.1429027,-1.592764614454157,0.5,65.29577,428,441,2024-02-16,24 PARAGANAS NORTH,10,2024-06-30T00:00:00,6.7,3.281598,115,113,456,446,2.2181187,2023-07-01T00:00:00,30.08510344827586,Gopalnagar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.82258560059331,23.062672868021508]}"
2_0,0.56,0.16402973,1.2,0.33,10.2,0.18380271,286,1.96,450,0.34113514,0.77,67,0.16955405,4.72,0.26097837,0.1910081,2.8600363302445904,0.4,312.6165,413,421,2024-02-16,24 PARAGANAS NORTH,5,2024-06-30T00:00:00,7,3.281598,121,118,466,461,2.737563,2023-07-01T00:00:00,30.08510344827586,Gopalnagar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.81800419264431,23.062403373436272]}"
3_0,0.41,0.16547568,0.52,0.22,18.6,0.18490541,264,3.6,377,0.3457946,0.65,55,0.16819459,4.36,0.25792974,0.18442973,3.9431380091908457,0.72,-0.0,413,421,2024-02-16,24 PARAGANAS NORTH,7,2024-06-30T00:00:00,6.9,3.281598,121,118,466,461,0.92740995,2023-07-01T00:00:00,30.08510344827586,Gopalnagar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.81827368722955,23.062133878851036]}"
4_0,0.15,0.11102162,1.02,0.55,8,0.13321891,92.96,7.63,262.51,0.28645134,0.47,26.11,0.12255406,9.55,0.20215136,0.13445947,3.108431251818294,1.74,270.0,428,441,2024-06-06,24 PARAGANAS NORTH,4,2024-06-30T00:00:00,7.5,3.281598,115,113,456,446,2.0152738,2023-07-01T00:00:00,30.08510344827586,Gopalnagar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.82150762225237,23.0618643842658]}"
5_0,0.56,0.11692162,2.05,0.59,7.66,0.13816486,267.01,6.69,386.86,0.2782081,0.66,16.29,0.1275919,5.24,0.1965973,0.13315405,3.514720778998643,0.55,47.383404,428,441,2024-06-06,24 PARAGANAS NORTH,4,2024-06-30T00:00:00,7.29,3.281598,115,113,456,446,1.3695601,2023-07-01T00:00:00,30.08510344827586,Gopalnagar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.82123812766714,23.0618643842658]}"
6_0,0.2,0.11692162,1.65,0.32,4.44,0.13816486,141.12,4.38,375.2,0.2782081,0.64,21.76,0.1275919,10.78,0.1965973,0.13315405,3.514720778998643,2.23,47.383404,428,441,2024-06-06,24 PARAGANAS NORTH,4,2024-06-30T00:00:00,7.66,3.281598,115,113,456,446,1.3695601,2023-07-01T00:00:00,30.08510344827586,Gopalnagar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.82123812766714,23.0618643842658]}"
7_0,0.5,0.10705789,2.36,0.24,10.1,0.13113683,118.72,8.51,406.29,0.27812895,0.69,9.32,0.12333158,8.39,0.20643158,0.14442368,3.03188975878144,1.23,28.52083,440,452,2024-06-06,24 PARAGANAS NORTH,9,2024-06-30T00:00:00,7.78,3.281598,111,109,449,439,2.1102333,2023-07-01T00:00:00,30.08510344827586,Gopalnagar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.82150762225237,23.06105590051009]}"
8_0,0.22,0.119550005,2.84,0.29,22.97,0.14584737,127.68,8.26,212,0.29398948,0.4,12.56,0.13692895,12.63,0.22985789,0.16580789,3.7711284780757257,0.57,90.0,440,452,2024-06-06,24 PARAGANAS NORTH,9,2024-06-30T00:00:00,7.6,3.281598,111,109,449,439,1.0079403,2023-07-01T00:00:00,30.08510344827586,Gopalnagar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.82150762225237,23.060786405924855]}"
9_0,0.42,0.11485263,1.76,0.3,12.5,0.13929474,265.44,10.95,406.29,0.2927342,0.69,20.64,0.12697631,7,0.21573421,0.14905263,2.672516227647489,0.54,90.0,440,452,2024-06-15,24 PARAGANAS NORTH,8,2024-06-30T00:00:00,7.14,3.281598,111,109,449,439,3.0213292,2023-07-01T00:00:00,30.08510344827586,Gopalnagar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.82177711683761,23.060786405924855]}"
