system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.27,0.08518718,1.22,0.08,36.22,0.105623074,117,9.06,280,0.28783077,0.5,24,0.093502566,6.41,0.19358206,0.121453844,0.27822650571923596,1.1,270.0,252,268,2024-03-20,BIRBHUM,28,2024-06-30T00:00:00,5.36,3.530394,308,299,440,433,1.0165082,2023-07-01T00:00:00,30.07845714285714,Goasbar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.85563902876706,24.170295613340876]}"
1_0,0.2,0.111545,0.8,0.14,37.38,0.1390025,170,13.02,263,0.32555,0.47,31,0.13739,7.6,0.2403775,0.1740925,-1.553066948915972,1,208.72386,230,247,2024-03-20,BIRBHUM,37,2024-06-30T00:00:00,5.62,3.5982196,316,308,454,445,2.1143146,2023-07-01T00:00:00,30.080628571428576,Goasbar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.84351177243146,24.165444710806632]}"
2_0,0.26,0.08427,1.3,0.13,36.42,0.11055,109,10.78,210,0.27869,0.38,22,0.1016325,12.35,0.1898575,0.121515,-1.9195611610973462,1.24,270.0,242,255,2024-03-21,BIRBHUM,29,2024-06-30T00:00:00,5.82,3.5183597,277,275,481,470,3.0478234,2023-07-01T00:00:00,30.087371428571434,Dunigram,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.92193469673508,24.206138393177245]}"
3_0,0.26,0.07370513,1.22,0.2,32.66,0.10101282,118,8.16,263,0.2657077,0.47,32,0.09779744,6.89,0.21279743,0.13538206,3.3068611306644327,1.38,270.0,250,267,2024-03-20,BIRBHUM,36,2024-06-30T00:00:00,5.92,3.5982196,310,303,441,429,1.0164353,2023-07-01T00:00:00,30.125235294117655,Benegram,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.81952675434546,24.161132797442857]}"
4_0,0.16,0.0785,0.96,0.1,38.46,0.107971795,121,12.58,245,0.26454872,0.44,22,0.10431795,6.89,0.20331539,0.12907436,-1.1230893432824132,1.22,47.622795,250,267,2024-03-20,BIRBHUM,35,2024-06-30T00:00:00,5.39,3.5982196,310,303,441,429,1.3758174,2023-07-01T00:00:00,30.125235294117655,Benegram,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.81952675434546,24.161402292028093]}"
5_0,0.27,0.08567949,1.3,0.21,36.42,0.107658975,201,13.3,228,0.24192564,0.41,28,0.10554103,10.93,0.18094616,0.11935128,-2.2319167419174377,1.42,77.15078,250,267,2024-03-20,BIRBHUM,34,2024-06-30T00:00:00,5.38,3.5982196,310,303,441,429,4.1632895,2023-07-01T00:00:00,30.125235294117655,Benegram,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.81952675434546,24.161941281198565]}"
6_0,0.2,0.1105825,0.54,0.18,44.84,0.13464,288,10.8,315,0.28067,0.53,24,0.13192,6.89,0.224535,0.157175,-1.268987160090465,1.5,106.92434,251,268,2024-01-28,BIRBHUM,27,2024-06-30T00:00:00,6.3,3.534264,279,270,470,462,3.182787,2023-07-01T00:00:00,30.04914285714285,Budhigram,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.8987581624048,24.096184602401017]}"
7_0,0.13,0.1105825,0.82,0.15,36.46,0.13464,263,10.28,400,0.28067,0.63,28,0.13192,12.11,0.224535,0.157175,-1.268987160090465,1.46,106.92434,251,268,2024-01-28,BIRBHUM,27,2024-06-30T00:00:00,6.65,3.534264,279,270,470,462,3.182787,2023-07-01T00:00:00,30.04914285714285,Budhigram,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.8987581624048,24.096184602401017]}"
8_0,0.16,0.078535,0.56,0.12,39.22,0.1025525,310,14.22,228,0.2547275,0.41,25,0.10226,6.41,0.20207,0.13576,-0.8190941059751685,1.68,270.0,258,270,2024-01-30,BIRBHUM,33,2024-06-30T00:00:00,6.39,3.4676661,304,304,438,426,2.0310457,2023-07-01T00:00:00,30.124857142857138,Sahapur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.82599462439111,24.086482797332526]}"
9_0,0.16,0.11497369,0.8,0.09,36.62,0.13151579,310,12.08,245,0.29200527,0.44,28,0.12608159,6.89,0.23631842,0.16429473,-0.7282933803748277,1.42,180.0,231,247,2024-04-29,BIRBHUM,33,2024-06-30T00:00:00,6.72,3.567925,311,301,458,452,0.92740995,2023-07-01T00:00:00,30.135294117647064,Sahapur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.82491664605017,24.12529001760649]}"
10_0,0.14,0.11497369,0.68,0.12,49.22,0.13151579,252,15.44,298,0.29200527,0.53,25,0.12608159,7.36,0.23631842,0.16429473,-0.7282933803748277,1.8,180.0,231,247,2024-01-30,BIRBHUM,33,2024-06-30T00:00:00,6.39,3.567925,311,301,458,452,0.92740995,2023-07-01T00:00:00,30.135294117647064,Sahapur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.82491664605017,24.12529001760649]}"
11_0,0.16,0.106387176,1.92,0.06,23.44,0.1315641,206,24.16,389,0.28743333,0.59,21,0.13960257,10.21,0.32193333,0.23765641,-2.5081336751524086,1.94,47.59946,241,244,2024-04-06,BIRBHUM,62,2024-06-30T00:00:00,5.93,3.5590732,380,383,379,373,5.485054,2023-07-01T00:00:00,30.28118918918919,Narasinhapur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.56835780090564,24.056568898371346]}"
12_0,0.15,0.07632105,1.18,0.11,34.86,0.10123421,229,19.22,316,0.2950421,0.53,40,0.08827632,11.88,0.19806579,0.12841842,-1.1198133109948698,2.46,47.5617,309,324,2024-03-06,BIRBHUM,39,2024-06-30T00:00:00,5.42,3.4338872,283,278,408,398,1.3742126,2023-07-01T00:00:00,30.13948571428571,Naopara,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.8206047326864,23.886248320502286]}"
13_0,0.2,0.09183684,1.04,0.16,28.8,0.11578684,231,13.08,281,0.30717105,0.5,24,0.101507895,10.93,0.23203158,0.1489079,4.13723270196721,1.44,-0.0,298,315,2024-03-06,BIRBHUM,36,2024-06-30T00:00:00,5.76,3.4338872,277,270,425,415,0.0,2023-07-01T00:00:00,30.13097142857143,Rambati,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.82518614063541,23.88382286923516]}"
14_0,0.14,0.07776842,2.02,0.11,25.06,0.10684737,221,15.34,384,0.3051158,0.59,19,0.0989921,8.79,0.21892895,0.15042105,5.659851653832727,1.94,132.43433,294,312,2024-03-07,BIRBHUM,31,2024-06-30T00:00:00,5.63,3.3997228,288,281,419,407,1.3743172,2023-07-01T00:00:00,30.176000000000005,Dakshin Maligram,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.83327097819249,23.90430445771309]}"
15_0,0.26,0.10867298,2.16,0.13,21.8,0.12934594,221,8.14,263,0.30214596,0.47,36,0.12535946,6.65,0.26371622,0.1869946,-0.2151647236676521,1.88,114.599976,318,329,2024-04-04,BIRBHUM,31,2024-06-30T00:00:00,5.44,3.2793467,260,249,422,422,2.2269218,2023-07-01T00:00:00,30.15556756756757,Sehala,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.8723476930517,23.698949583763365]}"
16_0,0.4,0.072960526,2.22,0.31,24.08,0.0889421,319,4.74,245,0.21613684,0.44,22,0.09177895,12.83,0.18493421,0.13242105,-0.9138755871934644,1.34,245.46672,266,286,2024-03-07,BIRBHUM,43,2024-06-30T00:00:00,5.8,3.603075,362,348,372,366,2.2325938,2023-07-01T00:00:00,30.207485714285713,Goala,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.72277819824579,24.096993086156726]}"
17_0,0.39,0.07501052,1.5,0.23,23.84,0.096936844,308,13.22,253,0.2728342,0.44,19,0.094,9.03,0.21691053,0.14382632,1.5168678046030535,1.92,132.3938,271,282,2024-03-13,BIRBHUM,42,2024-06-30T00:00:00,6.12,3.603075,361,352,368,366,1.3753809,2023-07-01T00:00:00,30.234171428571425,Goala,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.71172892025112,24.087021786502998]}"
18_0,0.35,0.07411052,2.92,0.19,15.04,0.09769474,287,11.82,288,0.2779421,0.5,34,0.09523684,13.78,0.22983947,0.15521052,0.7498762259522435,2.66,200.05844,271,282,2024-03-13,BIRBHUM,42,2024-06-30T00:00:00,5.46,3.603075,361,352,368,366,2.9595122,2023-07-01T00:00:00,30.234171428571425,Goala,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.71199841483636,24.087021786502998]}"
19_0,0.41,0.07411052,1.74,0.03,19.24,0.09769474,329,9.56,270,0.2779421,0.47,31,0.09523684,14.01,0.22983947,0.15521052,0.7498762259522435,1.64,200.05844,271,282,2024-03-13,BIRBHUM,42,2024-06-30T00:00:00,5.89,3.603075,361,352,368,366,2.9595122,2023-07-01T00:00:00,30.234171428571425,Goala,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.71199841483636,24.087021786502998]}"
20_0,0.16,0.121807694,0.4,0.02,18.82,0.13564871,237,3.22,210,0.20301539,0.38,26,0.14861025,9.74,0.25161794,0.22362565,-1.603237531883198,1.48,294.57855,274,288,2024-02-05,BIRBHUM,50,2024-06-30T00:00:00,5.26,3.4508643,314,312,412,400,2.2287405,2023-07-01T00:00:00,30.200457142857132,Tekedda,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.69313379386985,23.827498500920868]}"
21_0,0.3,0.10468684,1.44,0.24,16.7,0.12951316,332,9.76,288,0.3196842,0.5,22,0.12549211,10.93,0.25475,0.18328159,4.484514258355459,2.4,245.4646,272,285,2024-03-12,BIRBHUM,42,2024-06-30T00:00:00,6.13,3.603075,357,346,371,368,2.2324135,2023-07-01T00:00:00,30.234171428571425,Birajpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.70499155562023,24.08432684065064]}"
