system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
2_0,0.38,0.09408889,1.94,0.43,21.5,0.122658335,470.4,5.1,359,0.3371722,0.6,134.4,0.11376111,5.7,0.2617472,0.18690278,3.0649142833468126,0.95,-0.0,283,298,2024-06-01,HOOGHLY,20,2024-06-30T00:00:00,6.35,3.3810892,246,243,471,459,0.92740995,2023-07-01T00:00:00,30.185937500000005,Raghunathpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.63923487682267,22.917145791994145]}"
3_0,0.18,0.075682856,3.41,0.67,17.3,0.10286572,126,4.57,338,0.26954,0.57,35.8,0.10827714,21.2,0.2573657,0.19014858,0.35405094550553745,0.81,294.71527,315,331,2024-02-08,HOOGHLY,24,2024-06-30T00:00:00,5.75,3.1849194,238,232,447,437,2.2171917,2023-07-01T00:00:00,30.16916129032258,Punia,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.72412567117196,22.994490737956834]}"
4_0,0.32,0.086205885,1.84,0.58,19.5,0.11663529,100.8,3.54,460,0.28315294,0.78,60.4,0.124938235,4.8,0.2494647,0.17332648,-1.1096089561332223,0.54,132.6292,331,357,2024-05-30,HOOGHLY,28,2024-06-30T00:00:00,6.52,3.2734864,247,238,422,405,1.3692331,2023-07-01T00:00:00,30.172333333333334,Punia,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.69798469640409,23.002575575513912]}"
7_0,0.44,0.09135406,1.8,0.59,21.8,0.12014054,481.6,4.81,401,0.31937838,0.69,78.4,0.11495135,14.2,0.24202703,0.17324054,0.42318593226516193,1.09,19.894705,293,312,2024-05-30,HOOGHLY,24,2024-06-30T00:00:00,6.57,3.3283956,261,254,445,435,2.9564447,2023-07-01T00:00:00,30.163235294117644,Tarui,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.66887928119861,22.91418135155655]}"
8_0,0.41,0.061764866,0.85,0.3,17.6,0.08755946,291.2,4.9,460,0.31295407,0.78,87.3,0.07078919,7.7,0.21952973,0.12516487,-1.8793204023916983,0.58,19.893389,287,304,2024-06-01,HOOGHLY,18,2024-06-30T00:00:00,6.32,3.3810892,242,239,470,457,2.9564202,2023-07-01T00:00:00,30.1534375,Shripur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.63977386599315,22.90447954648806]}"
9_0,0.42,0.08701714,2.21,0.65,13.1,0.11804,353.9,4.18,421,0.30433428,0.72,70.6,0.11385143,12.8,0.22540857,0.15203428,2.538512399241049,1.15,-0.0,287,300,2024-06-04,HOOGHLY,25,2024-06-30T00:00:00,6.33,3.1849194,248,245,465,455,0.92740995,2023-07-01T00:00:00,30.1519375,Senai,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.70175762059739,22.958108968949993]}"
10_0,0.3,0.08701714,1.91,0.49,14.4,0.11804,227.9,4.07,375,0.30433428,0.63,86.3,0.11385143,17.7,0.22540857,0.15203428,2.538512399241049,1.94,-0.0,287,300,2024-02-08,HOOGHLY,25,2024-06-30T00:00:00,6.17,3.1849194,248,245,465,455,0.92740995,2023-07-01T00:00:00,30.1519375,Senai,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.70175762059739,22.958108968949993]}"
11_0,0.51,0.07554545,3.93,0.62,17.8,0.09731212,275.4,2.78,359,0.21746667,0.6,103.1,0.09970606,18.7,0.20618485,0.14887878,-2.0606974548016233,0.8,58.457405,315,330,2024-02-08,HOOGHLY,33,2024-06-30T00:00:00,6.43,3.3300626,274,270,411,401,3.5413969,2023-07-01T00:00:00,30.26086666666667,Shaljhar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.65756050861872,22.96619380650707]}"
12_0,0.16,0.09811765,2.07,0.58,14.4,0.10582647,115.5,3.3,482,0.19641764,0.81,31.3,0.12400883,30,0.2775147,0.25700882,-0.8018791924238207,0.91,270.0,308,323,2024-06-04,HOOGHLY,30,2024-06-30T00:00:00,5.36,3.3283956,257,256,435,421,1.0070654,2023-07-01T00:00:00,30.164125000000002,Idalbati,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.68316249421612,22.943556261347258]}"
13_0,0.44,0.09321176,2.11,0.76,21.3,0.11341765,268.8,4.7,492,0.26218823,0.87,73.9,0.11119706,8.6,0.21371177,0.14759412,-0.7194780388740717,0.84,-0.0,300,316,2024-05-30,HOOGHLY,29,2024-06-30T00:00:00,6.55,3.3283956,250,248,450,436,0.92740995,2023-07-01T00:00:00,30.164125000000002,Idalbati,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.68127603211947,22.945173228858675]}"
