system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.21,0.11082,2,0.04,24.2,0.13583384,39.8,9.2,110,0.30323383,0.3,53.3,0.15164308,7.2,0.29448,0.21754462,-1.62353145782677,0.64,245.66321,313,319,2024-02-17,MALDAH,34,2024-06-30T00:00:00,5.5,4.4174175,264,269,423,411,2.2494912,2023-07-01T00:00:00,30.136799999999997,Lakshmipur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.26796574417793,25.233182257511096]}"
1_0,0.32,0.117924616,1.4,0.03,19.8,0.14227846,24.9,5.4,110,0.31572154,0.3,64,0.16100615,7.4,0.32382616,0.24374461,-1.623533367566867,0.67,294.33673,313,319,2024-02-17,MALDAH,33,2024-06-30T00:00:00,5.8,4.4174175,264,269,423,411,2.2494955,2023-07-01T00:00:00,30.156068965517246,Lakshmipur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.26796574417793,25.233451752096332]}"
2_0,0.27,0.10949688,2.09,0.08,20.9,0.13519062,9.9,1.9,193,0.31491876,0.52,16,0.12445,3.2,0.22887188,0.15958437,-0.7322067747866209,0.29,132.10573,322,324,2024-02-01,MALDAH,29,2024-06-30T00:00:00,5.8,4.5239415,249,252,429,425,2.764415,2023-07-01T00:00:00,30.014374999999998,Balarampur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.11381484142301,25.344483521213505]}"
3_0,0.17,0.11728451,3.2,0.46,1.2,0.13712536,14.1,7.2,165,0.3191493,0.45,15.3,0.12595353,1.8,0.23386338,0.16051127,-2.5289940989430204,2.2,146.4396,260,274,2024-06-17,MALDAH,27,2024-06-30T00:00:00,6,4.45705,271,278,468,448,5.547742,2023-07-01T00:00:00,29.98557575757576,Bijali,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.96586231412853,25.25366384598902]}"
4_0,0.34,0.10971549,1.6,0.43,14.8,0.13949859,34.8,5.6,27,0.27256337,0.07,45.3,0.14079577,3.4,0.25102463,0.18486479,-2.5234119710560483,1.3,132.11598,269,285,2024-06-17,MALDAH,27,2024-06-30T00:00:00,5.7,4.416978,289,286,442,430,5.5149326,2023-07-01T00:00:00,30.09521212121212,Bangapal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.00871195318103,25.300825398405294]}"
5_0,0.18,0.08617015,0.48,0.08,22.2,0.110741794,16.6,1.6,27,0.2857627,0.07,47.3,0.09983582,3.4,0.2123806,0.1427612,-1.8363517013599195,0.18,180.0,260,274,2024-03-01,MALDAH,30,2024-06-30T00:00:00,6.9,4.416978,273,272,467,455,2.7802885,2023-07-01T00:00:00,30.033818181818177,Shimultala,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.03458343336368,25.31995951395704]}"
6_0,0.09,0.08617015,0.78,0.11,23.6,0.110741794,5.8,6.4,165,0.2857627,0.45,17,0.09983582,18.6,0.2123806,0.1427612,-1.8363517013599195,0.58,180.0,260,274,2024-03-01,MALDAH,30,2024-06-30T00:00:00,6.7,4.416978,273,272,467,455,2.7802885,2023-07-01T00:00:00,30.033818181818177,Shimultala,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.03458343336368,25.31995951395704]}"
7_0,0.27,0.12497879,1.67,0.08,18.4,0.1482697,8.3,4.5,304,0.34005454,0.82,35,0.13187575,3.7,0.26128486,0.18732122,2.0462043074222644,0.29,-0.0,297,304,2024-02-01,MALDAH,28,2024-06-30T00:00:00,6.6,4.9328156,252,251,451,445,0.0,2023-07-01T00:00:00,30.008937500000002,Kanaipur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.10573000386594,25.358497239645768]}"
8_0,0.28,0.1194,2.2,0.05,16.2,0.13980606,11.6,3.7,110,0.32507274,0.3,17,0.13289697,7.2,0.26569092,0.18879394,-1.564794992388836,0.53,151.04271,301,304,2024-02-01,MALDAH,29,2024-06-30T00:00:00,6.6,4.9328156,260,261,438,435,2.119059,2023-07-01T00:00:00,30.00445161290323,Kanaipur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.1130063576673,25.36307864759478]}"
9_0,0.25,0.0928197,0.78,0.08,21.8,0.11557273,9.1,1.9,276,0.25804394,0.75,16,0.106366664,6.8,0.1883,0.12601666,-1.5319786493759346,0.24,90.0,314,318,2024-02-01,MALDAH,26,2024-06-30T00:00:00,6.4,4.5844407,247,252,439,430,2.0513396,2023-07-01T00:00:00,30.030562500000002,Baharabad,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.07743307241617,25.325618900246994]}"
10_0,0.24,0.08965313,2.71,0.08,15.8,0.10622813,9.1,2.3,304,0.24931562,0.82,8.3,0.09790625,4.3,0.19686562,0.132575,-1.5643084552188942,0.35,28.947708,304,309,2024-02-01,MALDAH,27,2024-06-30T00:00:00,6.2,4.5844407,256,255,440,436,2.118863,2023-07-01T00:00:00,30.023437499999996,Baharabad,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.09683668255316,25.31537810600803]}"
