system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.32,0.15022895,1.05,0.4,32.16,0.16905527,266.58,16.9,360,0.35485527,0.51,27.36,0.16013947,8.96,0.30535525,0.22236842,-1.8159090699984377,0.94,180.0,311,317,2024-02-02,MEDINIPUR WEST,31,2024-06-30T00:00:00,5.6,3.5971344,319,317,370,366,2.7802885,2023-07-01T00:00:00,30.189741935483877,Surat Ganja,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.44465978628239,22.64226131505357]}"
1_0,0.55,0.16204722,1.53,0.41,18.52,0.17183334,111.1,8.53,157,0.37054724,0.22,49.03,0.16416389,5,0.28526667,0.20309444,-0.7987450792630384,0.7,270.0,231,223,2024-04-19,MEDINIPUR WEST,49,2024-06-30T00:00:00,3.94,3.6575317,395,396,374,382,1.0054716,2023-07-01T00:00:00,30.198000000000008,Chhota Tara,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.39345581508756,22.727960593158574]}"
2_0,0.16,0.081825,3.41,0.02,18.18,0.11032222,155.54,16.56,374,0.30047777,0.53,45.73,0.107830554,7.12,0.23338333,0.15921667,2.8096241862759066,0.98,270.0,302,313,2024-02-20,MEDINIPUR WEST,50,2024-06-30T00:00:00,4.6,3.4686263,328,328,369,359,1.006764,2023-07-01T00:00:00,30.100685714285717,Penkalia,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.50206213293762,22.90313207356188]}"
3_0,0.29,0.05558788,2.31,0.08,36.17,0.07745909,122.18,17.91,207,0.28614697,0.3,43.78,0.06194697,4.47,0.20103484,0.112410605,-1.5098410896507202,1.12,47.272793,300,319,2024-02-05,MEDINIPUR WEST,12,2024-06-30T00:00:00,6.02,3.7014832,201,191,499,491,4.093885,2023-07-01T00:00:00,30.118,Bar Kashimpur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.68558794548323,22.533924491788756]}"
4_0,0.21,0.07258387,2.78,0.04,33.35,0.102893546,66.66,7.02,518,0.28583226,0.73,13.13,0.10474194,6.05,0.24064516,0.17109355,-1.1034925715699322,0.76,312.74384,301,292,2024-04-15,MEDINIPUR WEST,33,2024-06-30T00:00:00,5.05,3.6229222,328,332,371,377,1.3662671,2023-07-01T00:00:00,30.127419354838704,Khangardihi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.40800852269031,22.453345610803236]}"
5_0,0.14,0.111132436,3.71,0.14,21.23,0.13404053,44.43,18.34,274,0.32007298,0.39,28.14,0.123832434,6.05,0.25024325,0.17711893,-0.4148112372490129,0.47,132.66017,244,240,2024-02-05,MEDINIPUR WEST,44,2024-06-30T00:00:00,5.13,3.451257,410,404,345,355,2.7353005,2023-07-01T00:00:00,30.198500000000003,Lapuria,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.35572657315456,22.855431531975135]}"
6_0,0.37,0.12389677,1.41,0.07,37.933,0.14610645,55.55,22.49,335,0.3470355,0.48,28.02,0.13811614,2.1,0.25357097,0.1725871,-1.5803184797346146,0.76,294.8544,370,376,2024-03-12,MEDINIPUR WEST,18,2024-06-30T00:00:00,5.32,3.9845736,271,266,359,357,2.2055721,2023-07-01T00:00:00,30.09882758620689,Kantabani,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.34548577891559,22.11405192799129]}"
7_0,0.15,0.06972973,1.28,0.24,20.87,0.09169189,377.74,16.85,479,0.27424866,0.68,6.64,0.088537835,7.63,0.20674324,0.13598649,-2.057220831179897,0.65,238.40541,298,304,2024-03-13,MEDINIPUR WEST,15,2024-06-30T00:00:00,5.5,3.665891,192,192,511,504,3.5361834,2023-07-01T00:00:00,30.017272727272733,Radhanagar,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.65270960608446,22.68915337288461]}"
8_0,0.36,0.076897144,3.56,0.2,30.87,0.10314714,66.64,10.69,318,0.29063427,0.45,26.57,0.09034857,11.31,0.22101143,0.14397429,-0.7777328116422819,0.8,160.15623,319,330,2024-02-06,MEDINIPUR WEST,8,2024-06-30T00:00:00,5.61,3.7927961,178,173,503,497,2.9554965,2023-07-01T00:00:00,30.12131034482759,Panchberia,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.74811068925796,22.53365499720352]}"
9_0,0.296,0.109251425,1.09,0.04,35.44,0.13394856,21.11,17.8,287,0.3092543,0.41,48.41,0.12924571,1,0.27061713,0.18918857,-1.58983135001375,0.67,245.26042,272,273,2024-02-21,MEDINIPUR WEST,46,2024-06-30T00:00:00,5.1,3.5457058,359,362,368,365,2.215151,2023-07-01T00:00:00,30.239,Amlagora (CT),"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.32958559838667,22.843034781054286]}"
10_0,0.16,0.07127419,2.68,0.07,20.52,0.099003226,133.32,23.81,550,0.30003548,0.79,10.51,0.09371613,3.95,0.20184839,0.13020323,2.152133433177721,0.53,90.0,308,321,2024-04-30,MEDINIPUR WEST,16,2024-06-30T00:00:00,5.75,3.8336039,214,205,478,474,1.0022199,2023-07-01T00:00:00,30.110903225806457,Jamna,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.54679823408678,22.28006059249658]}"
