system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
0_0,0.2,0.12368,0.58,0.16,6.34,0.14594571,132,5.47,517,0.27356,0.62,29,0.15013714,8.32,0.24013142,0.18346857,-0.9158906884234903,0.62,65.49086,372,394,2024-02-05,MURSHIDABAD,22,2024-06-30T00:00:00,7.86,2.8800995,218,208,410,398,2.2346551,2023-07-01T00:00:00,30.169925925925924,Ramnagar Doemkanun,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.50350401167407,24.23955572174649]}"
1_0,0.24,0.07486286,0.74,0.16,8.64,0.10278,204,4.38,402,0.2935943,0.51,35,0.095385715,8.02,0.21505429,0.14679714,0.667791102922365,0.48,227.63933,367,389,2024-02-05,MURSHIDABAD,19,2024-06-30T00:00:00,7.69,2.8800995,238,224,395,387,1.3762525,2023-07-01T00:00:00,30.182444444444446,Ramnagar Doemkanun,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.51617025718015,24.23524380838272]}"
2_0,0.21,0.09020286,0.68,0.42,7.06,0.11496285,160,4.6,487,0.28558,0.59,21,0.112814285,10.96,0.23266572,0.17068857,-1.817130281229835,0.7,47.63939,369,392,2024-02-05,MURSHIDABAD,24,2024-06-30T00:00:00,8.11,2.8800995,242,227,388,380,2.750922,2023-07-01T00:00:00,30.131428571428575,Ramnagar Doemkanun,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.51859570844726,24.235513302967956]}"
3_0,0.17,0.09020286,0.53,0.24,7.26,0.11496285,138,5.67,517,0.28558,0.62,37,0.112814285,6.32,0.23266572,0.17068857,-1.817130281229835,0.54,47.63939,369,392,2024-02-05,MURSHIDABAD,24,2024-06-30T00:00:00,8.2,2.8800995,242,227,388,380,2.750922,2023-07-01T00:00:00,30.131428571428575,Ramnagar Doemkanun,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.51859570844726,24.235513302967956]}"
4_0,0.13,0.09020286,0.79,0.3,7.36,0.11496285,138,6.36,436,0.28558,0.54,47,0.112814285,6.48,0.23266572,0.17068857,-1.817130281229835,0.52,47.63939,369,392,2024-02-05,MURSHIDABAD,24,2024-06-30T00:00:00,7.92,2.8800995,242,227,388,380,2.750922,2023-07-01T00:00:00,30.131428571428575,Ramnagar Doemkanun,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.51859570844726,24.235513302967956]}"
5_0,0.22,0.09020286,0.62,0.21,6.48,0.11496285,160,4.17,537,0.28558,0.64,39,0.112814285,6.42,0.23266572,0.17068857,-1.817130281229835,0.34,47.63939,369,392,2024-02-05,MURSHIDABAD,24,2024-06-30T00:00:00,8.06,2.8800995,242,227,388,380,2.750922,2023-07-01T00:00:00,30.131428571428575,Ramnagar Doemkanun,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.51859570844726,24.235513302967956]}"
6_0,0.2,0.09880572,0.67,0.2,6.37,0.12114857,149,4.43,216,0.2611943,0.32,28,0.12376,5.92,0.24189143,0.17716,-0.8213999563451722,0.42,90.0,369,392,2024-02-05,MURSHIDABAD,26,2024-06-30T00:00:00,8.17,2.8800995,242,227,388,380,1.0170221,2023-07-01T00:00:00,30.131428571428575,Ramnagar Doemkanun,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.51832621386204,24.234704819212247]}"
7_0,0.2,0.090242855,0.42,0.26,8.32,0.112985715,175,4.24,566,0.29773143,0.67,25,0.104462855,6.59,0.21536857,0.14737715,-1.5147154779722092,0.43,270.0,396,414,2024-02-06,MURSHIDABAD,23,2024-06-30T00:00:00,7.36,2.9166112,238,233,366,354,2.0335813,2023-07-01T00:00:00,30.1245625,Bilpachakopra,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.61399679162076,24.245754097206916]}"
8_0,0.24,0.094934285,0.72,0.29,7.89,0.11697714,194,4.2,479,0.2963457,0.58,23,0.10652286,6.24,0.21677142,0.14815429,-0.7292247960755845,0.62,-0.0,396,414,2024-02-06,MURSHIDABAD,23,2024-06-30T00:00:00,7.24,2.9166112,238,233,366,354,0.92740995,2023-07-01T00:00:00,30.1245625,Bilpachakopra,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.61399679162076,24.246023591792152]}"
9_0,0.16,0.09169706,0.78,0.2,7.36,0.1128647,161,4.56,546,0.2858853,0.65,20,0.10567647,6.67,0.21076764,0.14347354,-1.6091437624888962,0.47,65.49204,396,414,2024-02-06,MURSHIDABAD,21,2024-06-30T00:00:00,8.16,2.9166112,238,233,366,354,2.234756,2023-07-01T00:00:00,30.1245625,Bilpachakopra,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.614266286206,24.24629308637739]}"
10_0,0.17,0.092480004,0.65,0.15,7.72,0.117091425,135,3.17,386,0.29678,0.49,25,0.11025429,7.54,0.23025714,0.16437143,-0.8215562391185459,0.35,270.0,392,410,2024-02-06,MURSHIDABAD,21,2024-06-30T00:00:00,7.28,2.9166112,238,232,370,357,1.0171043,2023-07-01T00:00:00,30.140812500000006,Bilpachakopra,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.60402549196704,24.24494561345121]}"
11_0,0.17,0.088905714,0.45,0.27,9.18,0.11064571,189,5.34,658,0.26043144,0.94,38,0.11205429,5.84,0.23323429,0.17505714,0.4853804353335234,0.45,132.3593,374,385,2024-02-06,MURSHIDABAD,18,2024-06-30T00:00:00,8.17,2.9166112,238,235,388,380,1.3762887,2023-07-01T00:00:00,30.122588235294113,Bilpachakopra,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.60429498655228,24.241442183843144]}"
12_0,0.2,0.08901471,0.65,0.19,7.12,0.11922059,112,4.22,327,0.31825,0.43,27,0.103838235,7.39,0.2257,0.15458235,-0.8215982636060172,0.47,270.0,385,402,2024-02-06,MURSHIDABAD,21,2024-06-30T00:00:00,8.16,2.9166112,243,237,372,360,1.0171264,2023-07-01T00:00:00,30.1245625,Bilpachakopra,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.61264931869458,24.24764055930357]}"
13_0,0.14,0.08577059,0.67,0.23,9.54,0.11014117,102,6.11,482,0.2873294,0.59,23,0.103567645,5.96,0.21728824,0.14964117,-1.4223866699424954,0.59,180.0,385,402,2024-02-06,MURSHIDABAD,21,2024-06-30T00:00:00,7.48,2.9166112,243,237,372,360,1.8543341,2023-07-01T00:00:00,30.1245625,Bilpachakopra,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.61211032952411,24.247910053888805]}"
14_0,0.24,0.08577059,0.54,0.41,8.07,0.11014117,138,4.63,607,0.2873294,0.79,18,0.103567645,7.29,0.21728824,0.14964117,-1.4223866699424954,0.24,180.0,385,402,2024-02-06,MURSHIDABAD,21,2024-06-30T00:00:00,7.92,2.9166112,243,237,372,360,1.8543341,2023-07-01T00:00:00,30.1245625,Bilpachakopra,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.61211032952411,24.247910053888805]}"
15_0,0.16,0.08850882,0.68,0.24,8.82,0.11980882,173,3.16,362,0.3285647,0.47,29,0.102617644,6.32,0.22430295,0.14854705,0.6676504352532552,0.73,312.35812,396,414,2024-02-06,MURSHIDABAD,21,2024-06-30T00:00:00,8.18,2.9166112,238,233,366,354,2.751053,2023-07-01T00:00:00,30.1245625,Bilpachakopra,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.61372729703552,24.246562580962625]}"
16_0,0.17,0.11391428,0.54,0.67,6.56,0.13747428,183,3.67,117,0.31631714,0.22,36,0.13375714,11.82,0.23419143,0.17114572,-0.8608758406982436,0.52,208.74287,430,440,2024-05-21,MURSHIDABAD,20,2024-06-30T00:00:00,7.83,2.8839602,219,215,351,344,2.114699,2023-07-01T00:00:00,30.157133333333327,Nabipur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.60860689991604,24.26569669651437]}"
17_0,0.2,0.114274286,0.58,0.26,7.85,0.14234857,197,3.31,425,0.31493428,0.53,45,0.13691714,9.89,0.23816857,0.17674857,-0.03623694269834192,0.57,180.0,430,440,2024-05-21,MURSHIDABAD,21,2024-06-30T00:00:00,7.96,2.8839602,219,215,351,344,0.92740995,2023-07-01T00:00:00,30.157133333333327,Nabipur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.60887639450128,24.26569669651437]}"
18_0,0.14,0.14666857,0.54,0.29,8.68,0.16685714,166,3.21,483,0.32097715,0.59,45,0.15942286,8.89,0.2555343,0.19364285,2.054874691405311,0.74,-0.0,430,440,2024-02-07,MURSHIDABAD,22,2024-06-30T00:00:00,7.49,2.8839602,219,215,351,344,0.0,2023-07-01T00:00:00,30.157133333333327,Nabipur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.60752892157511,24.26569669651437]}"
19_0,0.16,0.11846,0.47,0.36,7.53,0.12887429,164,3.38,572,0.32005998,0.68,39,0.11754,10.85,0.20417143,0.13218571,-1.1242509295100602,0.62,227.64444,391,407,2024-02-07,MURSHIDABAD,25,2024-06-30T00:00:00,8.16,2.8839602,254,245,356,348,1.376387,2023-07-01T00:00:00,30.194000000000003,Nabipur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.60321700821133,24.258150848127766]}"
20_0,0.2,0.09931143,0.58,0.34,7.98,0.11725429,176,4.62,622,0.27527428,0.73,45,0.11426286,8.69,0.22315429,0.15680857,-0.128630432778815,0.48,90.0,391,407,2024-02-07,MURSHIDABAD,25,2024-06-30T00:00:00,7.76,2.8839602,254,245,356,348,1.0172198,2023-07-01T00:00:00,30.157133333333327,Nabipur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.60402549196704,24.259498321053947]}"
21_0,0.24,0.13897714,0.64,0.25,6.65,0.16190286,192,4.2,476,0.30238858,0.58,42,0.1619,11.89,0.26413715,0.20671143,-0.1284591185370933,0.42,90.0,378,395,2024-03-21,MURSHIDABAD,20,2024-06-30T00:00:00,8.66,2.9166112,240,235,382,370,1.0171309,2023-07-01T00:00:00,30.140812500000006,Nabipur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.60294751362609,24.248449043059274]}"
22_0,0.21,0.13897714,0.55,0.14,5.69,0.16190286,144,3.89,313,0.30238858,0.42,56,0.1619,17.62,0.26413715,0.20671143,-0.1284591185370933,0.81,90.0,378,395,2024-05-20,MURSHIDABAD,20,2024-06-30T00:00:00,8.17,2.9166112,240,235,382,370,1.0171309,2023-07-01T00:00:00,30.140812500000006,Nabipur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.60294751362609,24.248449043059274]}"
23_0,0.16,0.13897714,0.56,0.32,7.56,0.16190286,154,3.18,553,0.30238858,0.66,45,0.1619,8.82,0.26413715,0.20671143,-0.1284591185370933,0.73,90.0,378,395,2024-02-07,MURSHIDABAD,20,2024-06-30T00:00:00,7.46,2.9166112,240,235,382,370,1.0171309,2023-07-01T00:00:00,30.140812500000006,Nabipur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.60294751362609,24.248449043059274]}"
24_0,0.17,0.13897714,0.42,0.24,6.49,0.16190286,129,3.24,473,0.30238858,0.59,40,0.1619,11.89,0.26413715,0.20671143,-0.1284591185370933,0.64,90.0,378,395,2024-02-07,MURSHIDABAD,20,2024-06-30T00:00:00,8.56,2.9166112,240,235,382,370,1.0171309,2023-07-01T00:00:00,30.140812500000006,Nabipur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.60294751362609,24.248449043059274]}"
25_0,0.16,0.13897714,0.62,0.42,7.19,0.16190286,129,3.63,569,0.30238858,0.67,40,0.1619,8.74,0.26413715,0.20671143,-0.1284591185370933,0.52,90.0,378,395,2024-02-07,MURSHIDABAD,20,2024-06-30T00:00:00,7.72,2.9166112,240,235,382,370,1.0171309,2023-07-01T00:00:00,30.140812500000006,Nabipur,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.60294751362609,24.248449043059274]}"
