district,village,date,lat,long,N,P,K,B,Fe,Zn,Cu,S,OC,pH,Mn,EC
MOKOKCHUNG,Longmisa,"11/25/23, 12:00 AM",26.3513135,94.6035829,284.6,45.3,238.1,1.22,32.08,4.22,0.28,28.2,1.18,5.58,14.02,0.08
MOKOKCHUNG,Longkong,"10/30/23, 12:00 AM",26.38602689,94.60190743,352.6,9.4,268.4,1.22,32.06,1.22,0.02,29.36,2.24,5.24,8.04,0.3
MOKOKCHUNG,Merangkong,"11/26/23, 12:00 AM",26.620116666666664,94.66669333333331,355.2,8.5,191.5,0.86,40.09,0.32,0.36,4.65,1.06,4.34,9.06,0.16
MOKOKCHUNG,Waromong,"11/29/23, 12:00 AM",26.53009855,94.54984104,324.1,14.3,189.6,0.96,44.08,0.94,0.38,6.24,0.92,4.25,4.22,0.12
MOKOKCHUNG,Mangmetong,"10/26/23, 12:00 AM",26.292531,94.4019746,258.4,55.6,355.2,2.44,34.66,0.64,0.2,44.14,1.42,5.26,0.72,0.07
MOKOKCHUNG,Longkong,"10/30/23, 12:00 AM",26.38826224,94.59195916,350.2,8.6,240.5,1.22,44.06,2.21,0.02,31.94,2.56,5.23,10.02,0.3
MOKOKCHUNG,Unger,"11/22/23, 12:00 AM",26.4912603,94.66097916,317.48,20.2,304.2,1.56,42.26,5.22,0.28,28.22,2.36,5.24,13.42,0.04
MOKOKCHUNG,Longmisa,"10/30/23, 12:00 AM",26.359447895498697,81.01307932287453,264.3,25.6,350.1,1.05,35.02,4.06,0.48,30.06,1.02,5.52,9.22,0.15
MOKOKCHUNG,Longmisa,"10/30/23, 12:00 AM",26.3554328,94.6038844,254.2,33.2,265.1,0.96,40.12,3.32,0.28,36.05,1.06,5.52,5.24,0.15
MOKOKCHUNG,Longmisa,"11/25/23, 12:00 AM",26.3516457,94.6037366,281.4,48.5,336.2,1.22,42.26,5.42,0.68,28.6,1.14,5.55,21.08,0.03
MOKOKCHUNG,Longmisa,"11/26/23, 12:00 AM",26.359447895498697,81.01307932287453,284.1,35.2,248.1,1.44,33.09,4.66,0.62,33.2,1.12,5.55,14.02,0.04
MOKOKCHUNG,Chungtiayimsen,"11/26/23, 12:00 AM",26.52920769,94.37231289,285.4,17.6,72.6,1.24,35.06,0.66,0.38,8.84,0.84,4.36,3.08,0.05
MOKOKCHUNG,Waromong,"11/29/23, 12:00 AM",26.56551564,94.50022745,289.6,12.6,145.2,0.62,32.06,0.66,0.38,4.42,0.88,4.25,4.06,0.16
MOKOKCHUNG,Waromong,"11/30/23, 12:00 AM",26.57781087,94.54512541,311.3,33.5,215.4,0.94,32.08,0.64,0.42,6.32,0.94,4.55,5.26,0.12
MOKOKCHUNG,Waromong,"11/30/23, 12:00 AM",26.52651736,94.5528606,284.3,14.2,184.6,1.06,34.08,0.72,0.48,4.44,0.85,4.62,2.24,0.14
MOKOKCHUNG,Mangmetong,"12/7/23, 12:00 AM",26.2851898,94.3964147,365.2,9.4,256.2,1.22,36.02,1.12,0.08,31.04,2.42,5.26,8.08,0.3
MOKOKCHUNG,Longkong,"10/30/23, 12:00 AM",26.38534343,94.5871289,370.2,5.6,288.5,1.24,41.02,1.32,0.08,33.02,2.58,5.24,8.88,0.3
MOKOKCHUNG,Longmisa,"11/25/23, 12:00 AM",26.359447895498697,81.01307932287453,288.6,35.2,260.5,1.22,36.04,4.22,0.64,24.5,1.25,5.32,14.08,0.08
MOKOKCHUNG,Longkong,"10/30/23, 12:00 AM",26.38635933,94.58923699,384.2,9.3,254.6,1.22,33.06,1.06,0.02,22.32,2.45,5.24,8.04,0.03
MOKOKCHUNG,Longmisa,"11/23/23, 12:00 AM",26.359447895498697,81.01307932287453,288.6,35.4,214.9,1.24,42.02,4.08,0.36,26.44,1.05,5.54,7.44,0.14
MOKOKCHUNG,Unger,"11/23/23, 12:00 AM",26.49087,94.661605,172.4,7.8,112.3,1.42,26.58,0.32,0.02,31.22,1.24,5.29,0.86,0.01
MOKOKCHUNG,Unger,"11/22/23, 12:00 AM",26.49498673,94.6560851,172.2,7.7,110.2,1.42,27.44,0.36,0.02,30.26,1.26,5.48,0.84,0.01
MOKOKCHUNG,Unger,"11/22/23, 12:00 AM",26.49272082,94.66032722,319.22,20.6,302.6,1.52,44.28,5.22,0.28,28.62,2.36,5.32,13.16,0.04
MOKOKCHUNG,Waromong,"11/29/23, 12:00 AM",26.53523868,94.55533067,320.4,36.8,215.6,1.24,34.04,0.82,0.54,7.14,0.84,4.57,5.04,0.16
MOKOKCHUNG,Waromong,"11/28/23, 12:00 AM",26.5351144,94.55234294,326.4,18.5,196.2,1.66,32.04,0.74,0.36,4.06,0.96,4.55,4.24,0.12
MOKOKCHUNG,Waromong,"11/29/23, 12:00 AM",26.5320153,94.55082874,312.3,16.2,204.6,0.98,33.04,0.98,0.32,7.26,0.85,4.22,2.18,0.12
MOKOKCHUNG,Mangmetong,"10/29/23, 12:00 AM",26.2910119,94.3923182,245.2,45.2,305.1,1.04,35.02,0.52,0.2,44.5,1.44,5.26,0.78,0.07
MOKOKCHUNG,Longkong,"10/30/23, 12:00 AM",26.3556084,94.5984,362.2,8.8,266.5,1.62,44.02,2.24,0.04,35.26,2.54,5.55,9.06,0.3
MOKOKCHUNG,Longmisa,"10/30/23, 12:00 AM",26.35417592,94.60472802,255.3,39.8,255.6,0.66,45.06,2.26,0.62,27.44,1.08,5.54,10.44,0.11
MOKOKCHUNG,Mangmetong,"10/27/23, 12:00 AM",26.2933566,94.4031492,248.6,44.5,356.2,1.22,48.22,0.44,0.2,30.66,1.45,5.56,0.68,0.07
MOKOKCHUNG,Longkong,"10/30/23, 12:00 AM",26.38779766,94.59132423,354.6,9.5,255.4,1.24,36.02,1.24,0.02,30.12,2.55,5.23,8.02,0.03
MOKOKCHUNG,Longmisa,"10/30/23, 12:00 AM",26.35491655,94.60227442,251.3,26.3,345.6,0.56,33.04,4.22,0.46,35.04,1.04,5.52,8.44,0.12
MOKOKCHUNG,Merangkong,"11/27/23, 12:00 AM",26.6065393,94.6661872,380.2,8.4,177.8,0.42,34.06,0.62,0.46,4.55,0.93,4.18,9.56,0.14
MOKOKCHUNG,Waromong,"11/28/23, 12:00 AM",26.56689952,94.50058358,346.5,12.9,214.5,0.66,32.08,0.94,0.86,4.22,1.16,4.25,4.28,0.12
MOKOKCHUNG,Unger,"11/22/23, 12:00 AM",26.49138561,94.66099699,172.2,7.8,111.4,1.45,28.12,0.38,0.02,32.68,1.24,5.36,0.84,0.01
MOKOKCHUNG,Merangkong,"11/26/23, 12:00 AM",26.619746666666668,94.67050833333332,380.4,3.4,192.8,1.26,33.08,0.52,0.34,4.25,1.04,4.15,8.02,0.14
MOKOKCHUNG,Chungtiayimsen,"11/26/23, 12:00 AM",26.5230239,94.36334822,287.5,25.3,122.4,2.26,36.02,0.84,0.14,5.65,0.82,4.58,1.26,0.05
MOKOKCHUNG,Waromong,"11/30/23, 12:00 AM",26.52963956,94.5544882,301.4,41.5,214.8,1.26,44.66,0.86,0.46,6.24,0.94,4.46,3.26,0.14
MOKOKCHUNG,Mangmetong,"10/26/23, 12:00 AM",26.292531,94.4019746,271.1,62.1,381.6,2.56,43.92,0.58,0.2,58.18,1.49,5.65,0.74,0.07
MOKOKCHUNG,Longkong,"10/30/23, 12:00 AM",26.3818188,94.58112841,360.2,7.5,268.4,1.04,48.56,1.32,0.08,31.06,2.68,5.22,9.02,0.3
MOKOKCHUNG,Longmisa,"11/25/23, 12:00 AM",26.359447895498697,81.01307932287453,284.5,25.1,255.4,1.24,34.02,2.24,0.62,34.02,1.02,5.56,10.88,0.14
