district,village,date,lat,long,N,P,K,B,Fe,Zn,Cu,S,OC,pH,Mn,EC
SOUTH GOA,Cazur,"2/1/24, 12:00 AM",15.082330000000002,74.164605,413.0,4.0,90.0,0.53,21.34,0.822,3.832,9.96,18.78,5.7,18.78,0.055
SOUTH GOA,Bandoli,"3/21/24, 12:00 AM",15.2989204,74.1355571,522.0,0.44,134.0,0.0,32.98,3.286,2.15,30.0,1.9,5.4,62.82,0.063
SOUTH GOA,Xeldem (CT),"4/19/24, 12:00 AM",15.2208925,74.0861727,348.0,0.0,101.0,0.0,6.886,1.032,0.562,1.85,1.2,5.6,17.71,0.054
SOUTH GOA,Cola,"3/15/24, 12:00 AM",15.0724869,73.9658893,325.0,8.0,224.0,0.44,30.84,2116.0,1.894,32.5,1.0,5.5,25.6,0.072
SOUTH GOA,Canacona,"2/6/24, 12:00 AM",15.0212647,74.0771935,825.0,16.0,369.0,0.0,30.22,0.472,1.79,12.0,3.0,6.0,24.68,0.115
SOUTH GOA,Canacona,"3/4/24, 12:00 AM",15.03387531,74.07329667,2.0,522.0,9.0,0.43,27.26,0.218,1.854,4.0,2.0,5.6,26.7,0.082
SOUTH GOA,Canacona,"3/15/24, 12:00 AM",15.02862786,74.07421944,413.0,3.0,370.0,0.36,17.78,0.218,0.89,2.5,1.5,6.2,3.712,0.299
SOUTH GOA,Canacona,"2/12/24, 12:00 AM",15.03772355,74.03280848333334,413.0,12.0,302.0,0.32,9.82,0.422,1.312,27.5,1.5,6.8,12.34,0.182
SOUTH GOA,Nuvem (CT),"4/26/24, 12:00 AM",15.30291674,73.95394382,550.0,29.8,291.0,2.726,9.826,2.29,0.694,11.0,2.0,6.8,18.13,0.28
SOUTH GOA,Varca (CT),"6/28/24, 12:00 AM",15.22038658,73.94172199,180.0,0.58,112.0,2.773,67.12,1.956,0.516,2.0,0.4,4.9,4.824,0.03
SOUTH GOA,Pirla,"5/28/24, 12:00 AM",15.1108054,74.13089,325.0,2.2,123.0,0.94,19.07,1.048,0.544,3.0,1.05,6.1,9.394,0.03
SOUTH GOA,Barcem,"6/25/24, 12:00 AM",15.0738334,74.0294614,413.0,20.1,705.0,0.47,77.12,3.274,8.208,0.4,1.5,4.8,71.5,0.31
SOUTH GOA,Cazur,"6/27/24, 12:00 AM",15.085553333333332,74.16948333333333,440.0,24.01,134.0,0.517,15.21,1.022,5.156,26.0,1.6,6.1,29.72,0.13
SOUTH GOA,Molem,"2/6/24, 12:00 AM",15.362956666666664,74.22542666666666,770.0,5.0,358.0,0.25,22.0,0.516,1.534,18.0,2.8,5.9,26.38,0.151
SOUTH GOA,Marcaim (CT),"2/28/24, 12:00 AM",15.4179434,73.9575416,440.0,21.0,1066.0,2.29,45.77,3.776,7.348,205.0,1.6,5.3,18.54,8.82
SOUTH GOA,Xelvona,"6/18/24, 12:00 AM",15.27347294613719,74.08463495783508,315.0,12.06,78.0,0.094,20.36,0.094,0.618,4.0,0.93,5.5,17.82,0.06
SOUTH GOA,Cundaim,"2/20/24, 12:00 AM",15.4488926,73.947922,440.0,29.0,685.0,1.39,57.22,5.762,8.626,330.0,1.6,5.1,23.02,0.003
SOUTH GOA,Adnem,"3/5/24, 12:00 AM",15.1732795,74.0579891,495.0,2.0,224.0,0.0,38.38,3.998,9.582,13.0,1.8,5.7,30.52,0.069
SOUTH GOA,Porteem,"5/24/24, 12:00 AM",15.1381734,74.2215738,200.0,0.0,421.0,0.0,43.86,4.922,29.94,18.0,0.5,7.2,55.22,0.03
SOUTH GOA,Usgao (CT),"2/21/24, 12:00 AM",15.45646116603166,74.07156036235392,413.0,4.0,134.0,1.03,26.5,5.346,3.384,14.0,1.5,6.4,27.78,0.164
SOUTH GOA,Colem,"2/8/24, 12:00 AM",15.3434415,74.2357237,660.0,30.0,168.0,0.44,30.26,2.806,2.334,4.0,2.4,6.1,30.86,0.178
SOUTH GOA,Mulem,"7/5/24, 12:00 AM",15.2431502,74.0173429,95.0,11.1,78.0,0.141,63.74,0.7,1.352,2.0,0.23,4.7,1.23,0.05
SOUTH GOA,Porteem,"5/24/24, 12:00 AM",15.1384645,74.2220362,95.0,0.0,392.0,0.564,15.3,1.458,0.752,11.0,0.22,7.3,6.0,0.15
